,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: The Apollo program was the greatest peacetime mobilization in the history of the United States.
Target Language: English. The program was the greatest peacetime mobilization in the history of the United States. The program was the greatest peacetime mobilization in the history of the United States. The program was the greatest peacetime mobilization in the history of the United States. The program was the greatest peacetime mobilization in the history of the United States. The program was the greatest peacetime mobilization in the history of the United States. The program was the greatest peacetime mobilization in the history of the United States. The program was the greatest peacetime mobilization in the history of the United States. The program was the greatest peacetime",0.531781237544,,,translation_text_iwslt2017_en_de.pkl,de
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: And I want you to see, this is Fuku, a young female, and she is quietly playing with water.
Target Language: Deutsch. Wir sind die zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben zu schreiben",0.531781237544,,,translation_text_iwslt2017_en_de.pkl,de
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: So I think we're at a kind of impasse here.
Target Language:
So I think we're at a kind of impasse here.
So I think we're at a kind of impasse here.
So I think we're at a kind of impasse here.
So I think we're at a kind of impasse here.
So I think we're at a kind of impasse here.
So I think we're at a kind of impasse here.
So I think we're at a kind of impasse here.
So I think we're at a kind of impasse here.
So I think we're at a kind of impasse here.
So I think we're at a kind of impasse here.
So I think we're at a kind of impasse here.
So I think we're at a",0.531781237544,,,translation_text_iwslt2017_en_de.pkl,de
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: We can create much more complicated structures with slightly different arrangements, kind of like making Spirograph.
Target Language: We can create much more complicated structures with slightly different arrangements, kind of like making Spirograph.
In the meantime, we can still find a way to get the best result. We can still find a way to get the best result. We can still find a way to get the best result. We can still find a way to get the best result. We can still find a way to get the best result. We can still find a way to get the best result. We can still find a way to get the best result. We can still find a way to get the best result. We can still find a way to get",0.531781237544,,,translation_text_iwslt2017_en_de.pkl,de
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: I remember I was talking with a midwife who said, ""Well, you see, the problem is it takes longer to do the paperwork than to deliver the baby.""
Target Language: German: I am sorry, but I am not able to find the best solution yet.""
I am sorry, but I am not able to find the best solution yet.",0.531781237544,,,translation_text_iwslt2017_en_de.pkl,de
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: For instance, the obesity rate in my neighborhood is five times higher than, say, Beverly Hills, which is probably eight, 10 miles away.
Target Language: For instance, the obesity rate in my neighborhood is five times higher than, say, Beverly Hills, which is probably eight, 10 miles away.
In the case of the German-speaking population, the German-speaking population is the target language. The German-speaking population is the target language for the German-speaking population. The German-speaking population is the target language for the German-speaking population. The German-speaking population is the target language for the German-speaking population. The German-speaking population is the target language for the German-speaking population. The German-speaking population is the target language for the German-speaking population",0.531781237544,,,translation_text_iwslt2017_en_de.pkl,de
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: So when I was eight years old, I was at a fiesta in the Philippines celebrating these mysteries.
Target Language: German. I was so happy that I could hear the music and see the dancers. I was so happy that I could hear the dancers and see the music. I was so happy that I could hear the dancers and see the music. I was so happy that I could hear the dancers and see the music. I was so happy that I could hear the dancers and see the music. I was so happy that I could hear the dancers and see the music. I was so happy that I could hear the dancers and see the music. I was so happy that I could hear the dancers and see the",0.531781237544,,,translation_text_iwslt2017_en_de.pkl,de
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: It brings together image and text and animation and sound and touch.
Target Language: German, Dutch, English, French, German, English, German, English, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German, German,",0.531781237544,,,translation_text_iwslt2017_en_de.pkl,de
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: I thought ""Turn the camera off"" meant, ""Let's have an off-the-record conversation.""
Target Language: German
I thought ""Erzgebung"" meant, ""Erzgebung"".
I thought ""Erzgebung"" meant, ""Erzgebung"".
I thought ""Erzgebung"" meant, ""Erzgebung"".
I thought ""Erzgebung"" meant, ""Erzgebung"".
I thought ""Erzgebung"" meant, ""Erzgebung"".
I thought ""Erzgebung"" meant, ""Erzgebung"".
I thought ""Erzgebung"" meant, ""Erzgebung"".
I thought ""Erzgebung",0.531781237544,,,translation_text_iwslt2017_en_de.pkl,de
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: That's ammunition that they can take with them to the mayor of Livingston, to the people of Livingston, and say, there's no one answer to what a library is today.
Target Language: That's the same as the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the English, the German, the French, the",0.531781237544,,,translation_text_iwslt2017_en_de.pkl,de
