,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual entrenador de los Pelicans, Alvin Gentry, dijo que está emocionado de que Zion sea parte de su equipo.
'Es un gran jugador, ha estado jugando durante muchos años, ha sido un jugador sobresaliente', dijo Gentry a Associated Press en una entrevista virtual. 'Es un jugador que vale",0.088568683521,,,</s>,ja
1,on_p50,1000,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Ariya Hidayat <ariya@kde.org>

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
   version 2 of the",0.088568683521,,,</s>,ja
2,on_p50,1000,1,3,食材准备大白菜根100g，冬菇水浸泡去蒂切块，香菇水浸泡去蒂切大块，西式脆皮洋葱切小块，猪绞肉200g，白胡椒粉适量，生粉适量，鸡蛋清1个，料酒适量，白糖适量，淀粉适量，,0.088568683521,,,</s>,ja
3,on_p50,1000,1,4,"TOMATE: El tomate contiene mucha vitamina A, muy importante para la salud de los ojos y para prevenir la demencia y el alzhéimer. Asimismo, previene la anemia en los adultos mayores.
PULSATILLA DE MADERA: La pulsatilla de madera es una mezcla de aceites",0.088568683521,,,</s>,ja
4,on_p50,1000,1,5,“可以啊。”少年心中暗道，他从小到大没做错过一件好事，就算是杀过人后，他也不觉得有什么不好，因为……毕竟这是有原因的。看到他这么肯定的点头，朱雀宫中有个宫女连忙说道。“我可以啊,0.088568683521,,,</s>,ja
5,on_p50,1000,1,6,中科院院士、中国工程院院士、中国农科院院士、中国生物技术学会理事长、中国农作物学会理事长、中国植物保护学会理事长、中国农业生物技术学会理事长、中国微生物学会理事长、中国植物病理学会理事长、中国植物营养与肥料学会理事长、中国科学院院士、,0.088568683521,,,</s>,ja
6,on_p50,1000,1,7,"Neuromorphisms
Neuromorpho ras are a class of such systems, which are used in various areas of research to model the functioning of nervous systems. Here we review the main examples of neuromodels, including classification of neuromorpho ras and features and history of research on these systems.
The",0.088568683521,,,</s>,ja
7,on_p50,1000,1,8,"A larger than expected trend of upward inflation also questions the increases of the year of the beginning of a new decade. Inflation is likely to accelerate to 1.9 percent in the first quarter of 2011, before slowing to 1.8 percent in the second quarter.
""Fluctuations in the pace of interest rate",0.088568683521,,,</s>,ja
8,on_p50,1000,1,9,"The two queens, a member of the royal family of the United States, are the queens of the United States. They are the two queens of the United States of America. Texas Governor Rick Perry, who was named the new vice president, will be inaugurated on Wednesday.
The current queen, Letizia",0.088568683521,,,</s>,ja
9,on_p50,1000,1,10,可供观赏的植物有三十多种，多为多年生常绿灌木植物；野生动物有獐、鹿、野猪、黄羊、刺猬等动物。山林内蜿蜒着一条古朴典雅的柏油路，一直通到山上。相传汉朝时，有峨眉仙,0.088568683521,,,</s>,ja
