,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Who hasn't been low before  without suffering from a true mental illness?
Target Language: Who hasn't been low before  without suffering from a true mental illness?
English: I don't know  but I don't think so.
Target Language: I don't know  but I don't think so.
English: I don't know  but I don't think so.
Target Language: I don't know  but I don't think so.
English: I don't know  but I don't think so.
Target Language: I don't know  but I don't think so.
English: I don't know  but I don't think so.
Target Language: I don't know  but I don't think so.
English: I don't know  but I don't think so.
Target Language",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: You might have seen a child running  on carbon fiber prosthetic legs.
Target Language: You might have seen a child running on carbon fiber prosthetic legs.
English: You might have seen a child running on carbon fiber prosthetic legs.
Target Language: You might have seen a child running on carbon fiber prosthetic legs.
English: You might have seen a child running on carbon fiber prosthetic legs.
Target Language: You might have seen a child running on carbon fiber prosthetic legs.
English: You might have seen a child running on carbon fiber prosthetic legs.
Target Language: You might have seen a child running on carbon fiber prosthetic legs.
English: You might have seen a child",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: Saying that you want to be a model when you grow up  is akin to saying that you want to win the Powerball when you grow up.
Target Language: Saying that you want to be a model when you grow up is akin to saying that you want to win the Powerball when you grow up.
English: I don't know what to do.
Target Language: I don't know what to do.
English: I don't know what to do.
Target Language: I don't know what to do.
English: I don't know what to do.
Target Language: I don't know what to do.
English: I don't know what to do.
Target Language: I don't know what to do.
English: I don't know what to do.
Target Language: I don't know what to do.
English: I",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: What this is telling us, really,  is that we might be thinking of ourselves and of other people  in terms of two selves.
Target Language:
English: This is telling us, really,  that we might be thinking of ourselves and of other people  in terms of two selves.
English: This is telling us, really,  that we might be thinking of ourselves and of other people  in terms of two selves.
Target Language:
English: This is telling us, really,  that we might be thinking of ourselves and of other people  in terms of deux selves.
English: This is telling us, really,  that we might be thinking of ourselves and of other people  in terms of deux selves.
English: This is telling us, really,  that we",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: These poor Apsaras have been trapped inside Indra's chambers for thousands of years  in an old and musty book.
Target Language:
Ces pauvres Apsaras sont enfermés dans les chambers de Indra depuis des milliers d'années dans un vieux et musty livre.
English:
Ces pauvres Apsaras sont enfermés dans les chambers de Indra depuis des milliers d'années dans un vieux et musty livre.
Target Language:
Ces pauvres Apsaras sont enfermés dans les chambers de Indra depuis des milliers d'années dans un vieux et musty livre.
English:
Ces pauvres Apsaras sont enfermés dans les chambers de Indra depuis des milliers d'années dans un vieux et musty livre.
Target Language:
Ces pauvres Apsaras sont enfermés dans les chambers de Indra",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: My family believes in me.
Target Language: My family believes in me.
English: I don't believe in you.
Target Language: I don't believe in you.
English: I don't believe in you.
Target Language: I don't believe in you.
English: I don't believe in you.
Target Language: I don't believe in you.
English: I don't believe in you.
Target Language: I don't believe in you.
English: I don't believe in you.
Target Language: I don't believe in you.
English: I don't believe in you.
Target Language: I don't believe in you.
English: I don't believe in you.
Target Language: I don't believe in you.
English: I",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: He said, ""What's wrong with you? Have some beer.""
Target Language: I don't know.
English: He said, ""What's wrong with you? Have some beer.""
Target Language: I don't know.
English: He said, ""What's wrong with you? Have some beer.""
Target Language: I don't know.
English: He said, ""What's wrong with you? Have some beer.""
Target Language: I don't know.
English: He said, ""What's wrong with you? Have some beer.""
Target Language: I don't know.
English: He said, ""What's wrong with you? Have some beer.""
Target Language: I don't know.
English: He said",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: This is the center of a town called the Pines  in Fire Island in New York State.
Target Language: This is the center of a town called the Pines  in Fire Island in New York State.
English: This is the center of a town called the Pines  in Fire Island in New York State.
Target Language: This is the center of a town called the Pines  in Fire Island in New York State.
English: This is the center of a town called the Pines  in Fire Island in New York State.
Target Language: This is the center of a town called the Pines  in Fire Island in New York State.
English: This is the center of a town called the Pines  in Fire Island in",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: And I was, as a kid, constantly drawing comic books, and so on.
Target Language: And I was, as a kid, constantly drawing comics, and so on.
English: And I was, as a kid, constantly drawing comics, and so on.
Target Language: And I was, as a kid, constantly drawing comics, and so on.
English: And I was, as a kid, constantly drawing comics, and so on.
Target Language: And I was, as a kid, constantly drawing comics, and so on.
English: And I was, as a kid, constantly drawing comics, and so on.
Target Language: And I was, as a kid, constantly drawing com",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: Guy: I don't know how receptive  people are going to be to it, though.
Target Language: Guy: I don't know how receptive  people are going to be to it, though.
English: Guy: I don't know how receptive  people are going to be to it, though.
Target Language: Guy: I don't know how receptive  people are going to be to it, though.
English: Guy: I don't know how receptive  people are going to be to it, though.
Target Language: Guy: I don't know how receptive  people are going to be to it, though.
English: Guy: I don't know how receptive  people are going to be to it, though.
Target Language",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
10,on_p50,2000,1,11,"Translate an English sentence into a target language.
English: And sure, we could find fast food chains.
Target Language: And sure, we could find fast food chains.
English: And sure, we could find fast food chains.
Target Language: And sure, we could find fast food chains.
English: And sure, we could find fast food chains.
Target Language: And sure, we could find fast food chains.
English: And sure, we could find fast food chains.
Target Language: And sure, we could find fast food chains.
English: And sure, we could find fast food chains.
Target Language: And sure, we could find fast food chains.
English: And sure, we could find fast food chains.
Target Language: And sure,",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
11,on_p50,2000,1,12,"Translate an English sentence into a target language.
English: I can feel the brush of sweaty bodies passing me  in the darkness, but I can't see much else.
Target Language: I can feel the brush of sweaty bodies passing me in the darkness, but I can't see much else.
English: I can feel the brush of sweaty corpses passing me in the darkness, but I can't see much else.
Target Language: I can feel the brush of sweaty corpses passing me in the darkness, but I can't see much else.
English: I can feel the brush of sweaty corpses passing me in the darkness, but I can't see much else.
Target Language: I can feel the brush of sweaty corpses passing me in the darkness, but I can't see much else.
English: I can",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
12,on_p50,2000,1,13,"Translate an English sentence into a target language.
English: I have talked about four techniques  for mitigating the problem of choice overload --  cut -- get rid of the extraneous alternatives;  concretize -- make it real;  categorize -- we can handle more categories, less choices;  condition for complexity.
Target Language: I have talked about four techniques  for mitigating the problem of choice overload --  cut -- get rid of the extraneous alternatives;  concretize -- make it real;  categorize -- we can handle more categories, less choices;  condition for complexity.
I have talked about four techniques  for mitigating the problem of choice overload --  cut -- get rid of the extraneous alternatives;  concretize -- make it real;  categorize -- we can handle more categories, less choices;  condition for complexity.
I have talked about four techniques  for mitigating the problem of choice overload --  cut -- get rid of",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
13,on_p50,2000,1,14,"Translate an English sentence into a target language.
English: And he pointed to the busloads of tourists  that would show up everyday,  with cameras ready usually.
Target Language: And he pointed to the busloads of tourists  that would show up everyday,  with cameras ready usually.
English: And he pointed to the busloads of tourists  that would show up everyday,  with cameras ready usually.
Target Language: And he pointed to the busloads of tourists  that would show up everyday,  with cameras ready usually.
English: And he pointed to the busloads of tourists  that would show up everyday,  with cameras ready usually.
Target Language: And he pointed to the busloads of tourists  that would show up everyday,  with cameras ready usually.
English: And he pointed to the busloads of tourists  that",0.46341944950749997,,,translation_text_iwslt2017_en_fr.pkl,fr
