,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"﻿using System;
using System.IO;

namespace Demo.FileSystem.Sys
{
    public class TestSysFileSystem : ITestSysFileSystem
    {
        public string Directory => ""Directory"";
        public string File => ""File"";
        public string",0.08892935431199998,,,,ja
1,on_p50,1000,1,2,"import React, { Component } from'react';
import PropTypes from 'prop-types';


export default class Overlay extends Component {
    constructor(props) {
        super(props);
        this.state = {
            isOpen: false
        }
    }
",0.08892935431199998,,,,ja
2,on_p50,1000,1,3,"← Tips for Working from Home in a Pandemic
The Concept of Retirement →
The Importance of Vision Care
Posted on July 27, 2020 by Rafael
There’s nothing more frustrating than being unable to see your life as it’s",0.08892935431199998,,,,ja
3,on_p50,1000,1,4,"2020-09-15 2020-09-15 by Diana Kwon
Complex, dynamic, and interconnected, the brain has been likened to a computer. It’s engineered to solve problems but can sometimes, well, go hay",0.08892935431199998,,,,ja
4,on_p50,1000,1,5,"8 Best (See Through) Womens Wallets
The most functional wallet isn’t only the most spacious and durable, but the one that has the best organization. It isn’t uncommon to have a wallet filled with random cards and bills, half of which you may",0.08892935431199998,,,,ja
5,on_p50,1000,1,6,"2018 Honda Civic PROSPECT: Civic is going through an overhaul for the 2018 model year, the first in a decade, to a sleeker, sportier and more sophisticated look. There is also an all-",0.08892935431199998,,,,ja
6,on_p50,1000,1,7,"The numbers are in, and it turns out that the women of the House of Representatives have a little more money in their pockets this year than they did in 2019.
According to a recent report from The Washington Post, women are making $1.87 more per hour, or $",0.08892935431199998,,,,ja
7,on_p50,1000,1,8,"﻿using System;
using UnityEngine;
using Verse;

namespace CWool
{
	public static class ModConfig
	{
		public const float cRed = 1f;
		public const float cGreen = 0.2f;
		",0.08892935431199998,,,,ja
8,on_p50,1000,1,9,"30 as Things Get Worse?
Savings Rate At A 28 Year Low?
100 Basis Points To Catch Up?
Does Saving Money Work For You?
Is The Personal Finance Crisis Over?
Expanding The National Debt Limit",0.08892935431199998,,,,ja
9,on_p50,1000,1,10,"← Roxanne
An Opinion Is Just an Opinion →
The air was still, the stars lit the sky like a blanket of diamonds, and the flowers were in bloom. It was a lovely spring evening in May.
As I pulled into my drive I noticed that",0.08892935431199998,,,,ja
10,on_p50,1000,1,11,"""Meeting; (portrait of a man)
""Sarah, daughter of Abraham Hersh""
[signed] K. Bramson
""Friday and Saturday evening performance""
""Apple tree""
[signed] H. Bramson
""Trade Center;",0.08892935431199998,,,,ja
11,on_p50,1000,1,12,"# 上州町立上州国民学校

2019年（平成21年）3月31日、「小学校」から「昇格のお知らせ」と「昇格のニュース」、「",0.08892935431199998,,,,ja
12,on_p50,1000,1,13,"The Malta Labour Party has been in the news a lot lately, and not always for the right reasons. The Labour Party is the ‘longest standing’ political party in Malta, governing the country for over 100 years and claiming to be the most successful political party in Europe with a",0.08892935431199998,,,,ja
13,on_p50,1000,1,14,"News & Views Thursday, March 15, 2018
The Path to an EMP Program – The President’s Executive Order
By now you’ve seen the buzz about the President’s Executive Order on cyber and EMP issues. To the credit of the White",0.08892935431199998,,,,ja
14,on_p50,1000,1,15,"package com.annotationprocessors.proguard.asm;

import org.objectweb.asm.MethodVisitor;
import org.objectweb.asm.Opcodes;
import org.objectweb.asm.Type;

import com.annotationprocessors.proguard.annotation.",0.08892935431199998,,,,ja
15,on_p50,1000,1,16,"Tags: python, pytorch, conv-neural-network

Question: How to make Pytorch dropout nonlinearity compatible with torch.distributions?

I'm trying to implement the dropout nonlinearity from this [blog post](https://nylon.dev/",0.08892935431199998,,,,ja
16,on_p50,1000,1,17,"# ガレオン・エステヴェス

ガレオン・エステヴェス（Gaëlle Estève、1994年9月27日 - ）は、フランス・パリ出身の女子プロバ",0.08892935431199998,,,,ja
17,on_p50,1000,1,18,"# クラブ・スペシャル

クラブ・スペシャル (Club Special) は、オーストラリアのメルボルンに本拠を置くプロバスケットボールチーム",0.08892935431199998,,,,ja
18,on_p50,1000,1,19,"ドウエルン司教区の英語図書館の名称はドウェインズ・ホール。デイヴィッド・バーンが1823年にこの名を与えた。

ネイチャー・",0.08892935431199998,,,,ja
19,on_p50,1000,1,20,"# Gheorghe Hagi

Gheorghe ""Goran"" Hagi (en roumain : [ɡeˈorɡe ˈɦɑɡi] ; en ukrainien : Гheоргій ""Горан"" Гай) est un footballe",0.08892935431199998,,,,ja
20,on_p50,1000,1,21,"This is a placeholder page for Ashley Hullett, which means this person is not currently on this site. We do suggest using the tools below to find Ashley Hullett.
You are visiting the placeholder page for Ashley Hullett. This page is here because someone used our placeholder utility to",0.08892935431199998,,,,ja
21,on_p50,1000,1,22,スタッフォードシャー・コモンズは、イングランドのヨークシャーにある都市である。通常、歴史的なコモンズの地域をサウンドリヴ,0.08892935431199998,,,,ja
22,on_p50,1000,1,23,"5 Secrets to be an Effective Team Leader
Find out how to be an effective team leader
So you’re in charge of a team, or maybe you want to be.
But how do you become an effective team leader and keep the people in your team happy?
We’re toss",0.08892935431199998,,,,ja
23,on_p50,1000,1,24,"❤ Give Me Books Presents: Chasing Christmas Eve & Hot Winter Nights by Jill Shalvis; #Excerpt + #Giveaway ❤
#Shifters #PNR #WolfShifters #Holidays #Paranormal #Nov",0.08892935431199998,,,,ja
