,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,,0.08926042835600001,,,,es
1,on_p50,1000,1,2,"UBIT(Units as Per Minute) is the number of seconds that a computer can wait before rendering a new scene. This allows you to try to measure the quality of shots before working on them. A good time-saver is a good filmmaker having a good clock. For example, with a low",0.08926042835600001,,,,es
2,on_p50,1000,1,3,いつものモニターではムラサキの枝に赤ちゃんがいました。,0.08926042835600001,,,,es
3,on_p50,1000,1,4,"“I have to say, just look at that! I mean, there’s a lot of things in there that are unbelievable. And it’s so amazing.”",0.08926042835600001,,,,es
4,on_p50,1000,1,5,,0.08926042835600001,,,,es
5,on_p50,1000,1,6,Kesän toiseksi paras hetki... tee oma kasvimaa,0.08926042835600001,,,,es
6,on_p50,1000,1,7,,0.08926042835600001,,,,es
7,on_p50,1000,1,8,"Ну что сказать? Это был захватывающий фильм, который не разочаровал. Но стоит отметить, что актеры действительно сыграли не очень хорошо. Относясь к своим коллегам, следует признать, что это было явно не до них.",0.08926042835600001,,,,es
8,on_p50,1000,1,9,"(b) The commission shall investigate allegations of violation of a poll tax to determine their ultimate amount, in addition to an adequate basis to provide any further information or other assistance.",0.08926042835600001,,,,es
9,on_p50,1000,1,10,,0.08926042835600001,,,,es
10,on_p50,1000,1,11,Keywords: コンピューター部門: ソフトウェア部門: システム開発関連,0.08926042835600001,,,,es
11,on_p50,1000,1,12,"Труп, пойманный на тайной рыбалке, найден мертвым в Сочи",0.08926042835600001,,,,es
12,on_p50,1000,1,13,"Молоко йогуртов в йогуртовой омульности не рекомендуют, так как он не подходит для здорового питания. Чтобы польза продукта была достаточно высока, многие предпочитают добавлять молоко йогурта в другие продукты или добавлять их в воду.",0.08926042835600001,,,,es
13,on_p50,1000,1,14,"吉林大学附属红山学院官网展厅为参观者提供了一个春秋时期我国第一支现代化高职院校的比赛场地,当大家驻足观看比赛,也许我们的眼光会落到这里",0.08926042835600001,,,,es
14,on_p50,1000,1,15,,0.08926042835600001,,,,es
15,on_p50,1000,1,16,"禁忌的男人——精密型女警罪犯,秘密护着这个社会从来不曾太好的秩序,在这样逼迫的婚姻家庭里,完全把人当傻子。",0.08926042835600001,,,,es
16,on_p50,1000,1,17,"Noun (acquit) - The part of the body involved in responding to an urge, stimulus, or action, as measured by the measurement of length of time (life span).",0.08926042835600001,,,,es
17,on_p50,1000,1,18,"科学家们建议,中国为此打算吸收各国已有先进技术。",0.08926042835600001,,,,es
18,on_p50,1000,1,19,_ How to find the right m5a language helper,0.08926042835600001,,,,es
19,on_p50,1000,1,20,"in-person training groups, trail ecology meetings, and other programs.",0.08926042835600001,,,,es
