,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language. English: Garavani's life is not a story of obsession, but of well reciprocated love. Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
1,on_p50,2000,1,2,"Translate an English sentence into a target language. English: However, I do wonder why people would need another library in this day and age. Target Language: English.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
2,on_p50,2000,1,3,"Translate an English sentence into a target language. English: They became profiteers, seizing government land to resell as building land to refugees returning from Iran and Pakistan, benefiting from huge American outsourcing contracts. Target Language: English.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
3,on_p50,2000,1,4,"Translate an English sentence into a target language. English: Manning said he was allowed only a mattress, blanket, flip-flops, some clothes and his glasses. Target Language: English: Manning said he was allowed only a mattress, blanket, flip-flops, some clothes and his glasses.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
4,on_p50,2000,1,5,"Translate an English sentence into a target language. English: A congested city at the best of times, a ring of steel has been erected since Monday cutting off several key routes into the capital and causing chaos on the roads. Target Language: English.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
5,on_p50,2000,1,6,"Translate an English sentence into a target language. English: From the beginning of 1956, the Polish Astronautics Company (PTA) sought entry to the International Astronautics Federation (est. 1951) and by autumn the PTA was already a full member. Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
6,on_p50,2000,1,7,"Translate an English sentence into a target language. English: Bradley Manning didn't complain about mistreatment, prosecutors contend Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
7,on_p50,2000,1,8,"Translate an English sentence into a target language. English: Nevertheless, we have so far managed it without any problems, CSA and British Airways were well prepared for us, so much so that, on occasion, I was quite surprised. Target Language: English.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
8,on_p50,2000,1,9,"Translate an English sentence into a target language. English: Larry Hagman, whose role as oil tycoon predator JR Ewing in the television series ""Dallas"" became a symbol of greed in the 1980s, has died. Target Language: English.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
9,on_p50,2000,1,10,"Translate an English sentence into a target language. English: I remember him saying that if Mincy had given Bayamon one championship, Gausse would help get another. Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
10,on_p50,2000,1,11,"Translate an English sentence into a target language. English: When the answer was revealed in an episode in November 1980, an average of 41 million viewers tuned in and made ""Dallas"" the second most watched entertainment programme in history, after the final episode of ""MASH"" in 1983, which had 50 million viewers. Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
11,on_p50,2000,1,12,"Translate an English sentence into a target language. English: As was also the case under previous constitutions, under the draft judicature is justified on the ""principles of Islamic law."" Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
12,on_p50,2000,1,13,"Translate an English sentence into a target language. English: The fifteen singers, aging from 23 to 69 years old, range from human geneticists to the maintenance man. Target Language: English.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
13,on_p50,2000,1,14,Translate an English sentence into a target language. English: This massively damages people's health. Target Language: English,0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
14,on_p50,2000,1,15,"Translate an English sentence into a target language. English: Secondly, the judgement establishes that without the intercompany vote, with the debts the Vitro subsidiaries had with their parent company recognised in the critical mass of the insolvency, the majority needed to approve the restructuring might not be achieved. Target Language: English.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
15,on_p50,2000,1,16,"Translate an English sentence into a target language. English: ""And now the term human rights does not even appear once in the new constitution,"" he bemoaned in a discussion with ""Welt am Sonntag."" Target Language: ""And now the term human rights does not even appear once in the new constitution.""",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
16,on_p50,2000,1,17,"Translate an English sentence into a target language. English: The culture prescribes otherwise - flesh to flesh."" Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
17,on_p50,2000,1,18,"Translate an English sentence into a target language. English: The first war was to remove the large monarchic state bodies in Europe, the second was to remove colonial rule, especially from Great Britain, and the third will reduce the world's population down to 0.5 - 1 billion people (this number of slaves will suffice for their comfort and luxury, and will not use up so many resources), the creation of one universal faith (ecumenism is just an appetiser for this solution), and finally the seizing of absolute power. Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
18,on_p50,2000,1,19,"Translate an English sentence into a target language. English: ""They gave me five years to live, I've made it to seven,"" he says, with mixed emotions, lying in his bed at the Victor-Gadbois palliative care home in Beloeil, where he arrived the previous day. Target Language: ""I've made it to six,"" he says, with mixed emotions, lying in his bed at the Victor-Gadbois palliative care home in Beloeil, where he arrived the previous day.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
19,on_p50,2000,1,20,Translate an English sentence into a target language. English: I cannot understand how one can survive in New York on this money. Target Language: English,0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
20,on_p50,2000,1,21,"Translate an English sentence into a target language. English: This is his message, which summarises the theme of the fight against AIDS in 2012. Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
21,on_p50,2000,1,22,Translate an English sentence into a target language. English: And one more question: does everyone need to know what you're doing all the time? Target Language: English,0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
22,on_p50,2000,1,23,Translate an English sentence into a target language. English: This report was made possible thanks to a journalism award from the Canada health research institutes. Target Language: English.,0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
23,on_p50,2000,1,24,"Translate an English sentence into a target language. English: For Mrs A., 89 years old, the worst fear is to die ""conscious and suffocating."" Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
24,on_p50,2000,1,25,Translate an English sentence into a target language. English: The R6 high-speed motorway and primary roads in the region are now usable without restriction. Target Language: English.,0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
25,on_p50,2000,1,26,"Translate an English sentence into a target language. English: After 10 hours, the newborns experienced complete atrophy of instincts. Target Language: English.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
26,on_p50,2000,1,27,"Translate an English sentence into a target language. English: Fast food restaurants increase it with time, but very little. On average their ordinary employees in New York earn 8.90 dollars/hour. Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
27,on_p50,2000,1,28,"Translate an English sentence into a target language. English: For the Islamists, the fact that this article was not amended is a guarantee of their goodwill and their respect for the other elements of Egyptian society. Target Language: English.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
28,on_p50,2000,1,29,Translate an English sentence into a target language. English: This month students analysed movies with an apocalyptic theme and explored how they compare with real-life examples. Target Language: English,0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
29,on_p50,2000,1,30,"Translate an English sentence into a target language. English: They say, if you touch the walls on the street of your sign, fortune will come to you. Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
30,on_p50,2000,1,31,"Translate an English sentence into a target language. English: Not on account of my rather outré name, or the fact that I came from a private school. Target Language: English.",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
31,on_p50,2000,1,32,Translate an English sentence into a target language. English: The vote was apparently 45 percent versus 37. Target Language: English,0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
32,on_p50,2000,1,33,"Translate an English sentence into a target language. English: According to the draft, the state should also protect ""the true character of the Egyptian family, and promote its morals and values."" Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
33,on_p50,2000,1,34,"Translate an English sentence into a target language. English: This confirms that creating more and more concise rules is not enough, and that attention must be paid to the actual application of these laws. Target Language: English",0.502405816464,,,translation_text_wmt_en_fr.pkl,fr
