,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that",0.46341944950749997,,,translation_text_flores200_en_fr.pkl,fr
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
English: The term “food” encompasses a large range of substances, from grains to fruits, from meats to légumes, from poissons à viande et à légumes à poissons et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes et à légumes",0.46341944950749997,,,translation_text_flores200_en_fr.pkl,fr
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This is a situation where the leader is not able to communicate with the rest of the team.
English: This is a situation where the leader is not able to communicate with the rest of the team.
Target Language: This is a situation where the leader is not able to communicate with the rest of the team.
English: This is a situation where the leader is not able to communicate with the rest of the team.
Target Language: This is a situation where the leader is not able to communicate with the rest of the team.
English: This is a situation where the leader is not able to communicate with the rest of the team.
Target Language",0.46341944950749997,,,translation_text_flores200_en_fr.pkl,fr
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: Italien is the official language of the république of Italie, but it is also spoken by a large proportion of la population.
English: Italien is the official language of the république of Italie, but it is also spoken by a large proportion of la population.
Target Language: Italien is the official language of the république of Italie, but it is also spoken by a large proportion of la population.
English: Italien is the official language of the république of Italie, but it is also spoken by a large proportion of la population.
Target Language: Italien is the official language of the république of Italie, but it is also spoken by a large proportion of la",0.46341944950749997,,,translation_text_flores200_en_fr.pkl,fr
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: The langue cible (L1) is the langue maternelle (L1) of the apprenant (L2). It is the langue maternelle de la personne qui parle la langue cible (L1).",0.46341944950749997,,,translation_text_flores200_en_fr.pkl,fr
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: The Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: The Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: The Vatican City's population is around 800. It is the smallest independent",0.46341944950749997,,,translation_text_flores200_en_fr.pkl,fr
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animaux could not survive.
Target Language: We make our houses from plants",0.46341944950749997,,,translation_text_flores200_en_fr.pkl,fr
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: The tortoise is a large animal, capable of transporting large quantités de nourriture.",0.46341944950749997,,,translation_text_flores200_en_fr.pkl,fr
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: The cave is surrounded by a large, dense, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethere",0.46341944950749997,,,translation_text_flores200_en_fr.pkl,fr
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: The driver of the véhicule qui avait percuté le photographe est peu probable de être poursuivi pour un crime.
English: The driver of the véhicule qui avait percuté le photographe est peu probable de être poursuivi pour un crime.
Target Language: The driver of the véhicule qui avait percuté le photographe est peu probable de être poursuivi pour un crime.
English: The driver of the véhicule qui avait percuté le photographe est peu probable de être poursuivi pour un crime.
Target Language: The driver of the véhicule qui avait percuté le photographe est peu probable de être poursuivi pour un crime.
English: The driver of the véhicule qui avait percuté le photographe",0.46341944950749997,,,translation_text_flores200_en_fr.pkl,fr
