,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El gobernador bonaerense de Cambiemos destacó la repercusión internacional que tuvo en la conferencia de prensa que mantuvieron hoy en La Plata el jefe de Gabinete bonaerense, suscripto Pedro Revello, y el asesor de gabinete, Pablo Cedeño, sobre la inminente presentación de la reactivación económica en la Provincia.",0.090448657634,,,</s>,en
1,on_p50,1000,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Cyrille Berger <cberger@cberger.net>

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
   version 2 of the",0.090448657634,,,</s>,en
2,on_p50,1000,1,3,"#!/usr/bin/env python

# -*- coding: utf-8 -*-
#
# Copyright (c) 2009-2011 contributors
# For a list of copyright holders, please refer to the git repository by the
# Authors.

# This module is free software; you can redistribute it and/or modify it
# under the terms of the GNU",0.090448657634,,,</s>,en
3,on_p50,1000,1,4,"The Boypool is an undisputed local landmark. So, there is an excellent choice of dining and entertainment options for you and your family. You can be in touch with the owner, the restaurant manager, and the bartenders.
The Boypool is located at 1E-156, Street 2, Bally",0.090448657634,,,</s>,en
4,on_p50,1000,1,5,"If you want to help us reduce all of your financial burden, call us today at (888) 310-1921 to schedule an appointment!",0.090448657634,,,</s>,en
5,on_p50,1000,1,6,"Q:

Verifying the type of a method in Java

We have a method that returns the Class. For a class of Class a, the method returns the Class a because it can be applied to any class.
So now we can try to check whether the returned Class is a, and return a true or false.",0.090448657634,,,</s>,en
6,on_p50,1000,1,7,"Neuromorphisms
Neurotransmitters present in many biological systems such as the gastrointestinal tract are known to play a key role in the regulation of the neural networks involved in the regulation of digestion and absorption. Stimulation of gastrointestinal neurons by gastrointestinal hormones, such as the inulin, gastric juice,",0.090448657634,,,</s>,en
7,on_p50,1000,1,8,A polícia rodoviária federal (PRF) prendeu um agricultor de 37 anos por contrabando e desmantelou catorze ferramentadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas descarregadas,0.090448657634,,,</s>,en
8,on_p50,1000,1,9,"The two queued up in the middle of the transit lane, they searched, and found this picture of a bus with some children still in it. They called the bus and came back with this photo. There was a young girl doing groceries and everything else.
A few times a day they would call the bus",0.090448657634,,,</s>,en
9,on_p50,1000,1,10,"The human immune system takes up a huge part of our daily lives, and even when we have no symptoms we may face some concerns. For example, our bodies are immune-pesitive. If you are immune-pesitive, you will be extremely susceptible to infection and disease. If you are similarly immune-pesitive",0.090448657634,,,</s>,en
10,on_p50,1000,1,11,"Showing 5 reviews and a rating of 10.5 on the past 3 days. Posted by us on March 23, 2019
Bradley, who got back to working at the mall on Saturday, said he can continue to be on the mall for anyway and will be home safely on Monday.
“After I got",0.090448657634,,,</s>,en
11,on_p50,1000,1,12,A garbage collector that is simple to assemble and is a great addition to any collection system. Looking forward to testing the new Knut Collection by Ball for my own collection system.,0.090448657634,,,</s>,en
12,on_p50,1000,1,13,"Even in a world where we’re in rapid accelerations of technology, there are thousands of questions we’re trying to answer. You may be wondering what is the most “important” piece of data to analyze, and what are the strategies we’ll need to get to the bottom of that answer. The best way to get",0.090448657634,,,</s>,en
13,on_p50,1000,1,14,"Now we are ready to take in a whole new TV with a 9 inch curved 7.0” TV button. If you have a big display, this will be a good decision. The screen’s curved design allows you to control the size and refresh rate of the screen from anywhere on the screen. After working through the",0.090448657634,,,</s>,en
14,on_p50,1000,1,15,"Q:

How to specify an integer in a Python function?

I want to use the following python function:
def ipu_dialog():
    ipu_dialog = PyDialog()
    ipu_dialog.set_icon(QtGui.QIcon('./Maximus.png'))
    ipu_dialog.set_default_response(QtGui",0.090448657634,,,</s>,en
15,on_p50,1000,1,16,"Introduction
The first known prototype of the Mercury satellite was launched in 1998. It made several significant observations, including a high degree of precision in space time and a brightness variation of the Sun that was used to build a photometric model of the Sun and to determine its age. The Mercury satellite has since then been used to",0.090448657634,,,</s>,en
16,on_p50,1000,1,17,"The dextrose group of insulin sensitizers including insulin, peptidyl-transferase inhibitors, and (referred to as insulinocerebroside analogues) is being considered for the treatment of insulin-resistant diabetes mellitus. Insulinocerebroside analogues do not act by directly acting on pancreatic",0.090448657634,,,</s>,en
17,on_p50,1000,1,18,"#!/usr/bin/env python
# This script is part of the PostBall project
# Copyright (C) 2016 Blue Origin, Inc.
#
# This program is free software: you can redistribute it and/or modify
# it under the terms of the GNU General Public License as published by
# the Free Software Foundation, either",0.090448657634,,,</s>,en
18,on_p50,1000,1,19,"Beautifully written, I found it very informative and enlightening. Thanks for sharing this information.",0.090448657634,,,</s>,en
19,on_p50,1000,1,20,"The information presented in this article is about the management of the hot water tank. The recommendations are for the normal usage of the tank as well as for the setting up of a new hot water tank.
In order to save money and time, the water should be heated at low temperatures. The water temperature in the tank should",0.090448657634,,,</s>,en
20,on_p50,1000,1,21,"Even though I have had my eye on this awesome little book for so long, I never really enjoyed reading it. Turns out the title was ‘Very Short Stories’ (a mix of short stories and poems). Although it was a good premise, it didn’t quite feel like a magical novel. The story kinda skipped",0.090448657634,,,</s>,en
21,on_p50,1000,1,22,"We have been getting more and more compliments on our site about the positive reviews. The site is one of the most prominent online dating sites and for the betterment of the customer experience, we are getting more and more comments from customers. We have been getting more and more compliments on our site about the positive reviews",0.090448657634,,,</s>,en
22,on_p50,1000,1,23,"On sait que la Guinée-Bissau est frappée par la piraterie depuis le début de l’indépendance en 1960, entrainant la disparition de 20 % de sa Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie Superficie",0.090448657634,,,</s>,en
23,on_p50,1000,1,24,"The modern day concept of an Adobe Design is actually fundamentally the same as the traditional Adobe style, and they are similar to each other in some ways. They’re not exactly the same in their designs. It’s possible to get a design that looks great nevertheless it doesn’t necessarily look great at all. They’re different in some ways",0.090448657634,,,</s>,en
24,on_p50,1000,1,25,"The best thing about a fairy tale is that it makes the reader feel such a part of the story. The story has characters and characters’ characters and there’s lots of and lots of different styles for the story. There’s the “mood” style, and there’s the “swagger” style, and",0.090448657634,,,</s>,en
25,on_p50,1000,1,26,"Soi mêcô, sántrang và nó là một âm liệu và có nghĩa là, nó là một emmering, nó là một âm ếch, nó là một âm và nó là một nó, nó là sémaphore và nó là âm. Nó là nó là nó là nó là nó là nó là nó",0.090448657634,,,</s>,en
26,on_p50,1000,1,27,"In addition to the 4 separate cores, the HyperX HyperFlex V50 has 4 additional cores as an additional option: iGPU, iGPU-X, iGPU-XR, and iGPU-XRX. These cores act as video processing cores, while the last two have virtual registers for performing functions such as sequential logic",0.090448657634,,,</s>,en
27,on_p50,1000,1,28,"There is no doubt that we are blessed to have tried making cakes to the manufacturer's specifications. But there are also many cases where we have had an issue with the bakery. The difficulties with baking are, in principle, due to the size of the cake. They are produced with precise dimensions, but the",0.090448657634,,,</s>,en
28,on_p50,1000,1,29,"It is because they were there that the world was broken and that the One Who is God is not broken.
We are not broken because of the man-made world. We are broken because of the man-made man. We are broken because of the man-made church. We are broken because of the man-made theology and",0.090448657634,,,</s>,en
29,on_p50,1000,1,30,"We produced the best pizza hut in the world! In fact, we make the most delicious pizzas in the world! If you would like to take a look at The Pizza Hut in Nottingham, take a look at the place too.…
We were very pleased with our pizza hut creation! The pizza hut was surprisingly simple",0.090448657634,,,</s>,en
30,on_p50,1000,1,31,There’s another aspect of the plant that is just so interesting. The plant has a public garden and has a small beach.,0.090448657634,,,</s>,en
31,on_p50,1000,1,32,"Antenna sintética está en auge entre los usuarios que desean ahorrar dinero en lo que respecta al eiv capital, si deseas descubrir los mejores ejemplares que te ofrecemos en nuestra página web, te encantarán.
Enmarcadas en un recinto urbano, pierden protagonismo las calles de Centro y Estación, pero mantienen firmes firmes",0.090448657634,,,</s>,en
32,on_p50,1000,1,33,"The program has stood the test of time and it is not to be ignored for the student. The students who are willing to engage in this program have a better chance of making a difference to their communities and so, the program is being implemented in both the formal and informal settings in the ten western cities.
Crusher",0.090448657634,,,</s>,en
33,on_p50,1000,1,34,"We’ve developed stringent quality checks and a system to allow you to remove your doubts and discuss your doubts with us, we will get back to you as soon as possible.
If you have any questions, do not hesitate to call or e-mail our support on PI:KEY, we will gladly help you.
Down",0.090448657634,,,</s>,en
34,on_p50,1000,1,35,"The fact that girlfriends and gals get fixed up and waiting for your escort may not seem good to you at first, but once you finally open up about yourself, there’s nothing quite like it. Which is why we have put together this article to help you get started and to show you how to hook up with",0.090448657634,,,</s>,en
35,on_p50,1000,1,36,"En cuanto al tema del libro que escribe, es un poema que recoge, en versos, la palabrería que pronunció en la cárcel y que hoy se llevarán sus huesos al cementerio. “Después de vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar vagar",0.090448657634,,,</s>,en
36,on_p50,1000,1,37,"You. Well, now that's a lie. I just didn't know that to be true, but I don't
really want to tell you that. And... because you're much too
long-tempered to understand. But I'm getting a little old for it now,
and I don't want to lose that with you at the",0.090448657634,,,</s>,en
37,on_p50,1000,1,38,"In a similar study, a group of participants with paraesthesia were treated by a combination of methylprednisolone and paracetamol as the first line treatment for paraesthesia. The authors found that methylprednisolone was associated with an increase in the number of episodes of paraesthesia. Further,",0.090448657634,,,</s>,en
38,on_p50,1000,1,39,"Now, it is quite a common occurrence that the razor blades from home salon facilities are not the same as the one that is used in an external salon. It is also quite common that the blades that are used in an external salon are not the same as the ones used in an external salon. Having said that,",0.090448657634,,,</s>,en
39,on_p50,1000,1,40,"A partir desta terça-feira, dia 24, os consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorciados consorci",0.090448657634,,,</s>,en
40,on_p50,1000,1,41,"/*
 * Copyright (C) 2008 realizer
 * 
 * This program is free software; you can redistribute it and/or modify
 * it under the terms of the GNU General Public License as published by
 * the Free Software Foundation; either version 2 of the License, or
 * (at your option) any later version",0.090448657634,,,</s>,en
41,on_p50,1000,1,42,"Introduction
Researchers have long been asked why an economic system is better than a social one because of the effect it has on its members. The idea that economic phenomena are better than social phenomena has been best popularized by the seminal work of Arrow (1889) and Richardson and Hall (1950). Arrow's work",0.090448657634,,,</s>,en
42,on_p50,1000,1,43,"You’re welcome to check out our library but are not welcome to provide a link to a user or page that links to the website.
You also can receive an email when a version of LawAct (or any other legal product) that may provide you with legal assistance, information or legal advice is available. Please send an",0.090448657634,,,</s>,en
43,on_p50,1000,1,44,"When Amanda ran into Alex, Queen said she was happy to have the Marys to protect her, but the name of the Queen was not on the list.
In the end and with the help of the police, the Marys rescued the Mary and convinced him that Queen had been killed.
In the end, as Queen",0.090448657634,,,</s>,en
44,on_p50,1000,1,45,"A pessoa que pratica sexo é uma criatura sobrenatural, que tem criatura sobrenatural que lhe ajunt mais do que ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt ajunt",0.090448657634,,,</s>,en
45,on_p50,1000,1,46,"This is a system that was started by, and developed by, Captain Thomas Cukeley, D.C.'s first patrol officer of the U.S. Navy. It is a three stage combat air defense system - the first stage consisted of three trucks reinforced with shotguns and a number of platforms. The second",0.090448657634,,,</s>,en
46,on_p50,1000,1,47,"As an additional incentive for the users to register, the company offers free trials to download the app for three days and then take a one-month trial. After that, after a few days, the user will be able to try out the app for 30 days, or the user can upgrade if they want.
Economic advantages",0.090448657634,,,</s>,en
47,on_p50,1000,1,48,"void GameInfoFlow::flow(const Flow::FlowList& flow, const Flow::FlowList& flow2, const Flow::FlowList& flow3, const Flow::FlowList& flow4, const Flow::FlowList& flow5, const Flow::FlowList& flow6) const {
    while",0.090448657634,,,</s>,en
48,on_p50,1000,1,49,"You have to learn how to have an intimate relationship with the other person. Are you ready to become a more passionate person? If you are, then you need to explore the ways to become your best self.
If you want to become a better person, you need to work on the areas that are not working for",0.090448657634,,,</s>,en
49,on_p50,1000,1,50,"Oh, you know what?
I hope I'm not.
I'm not.
E-mail me when your mother leaves.
Okay.
Good.
You know, like, five years ago I was a football player at the University of South Florida.
My dad was a head coach.
He was, like, an absolute master, and it's",0.090448657634,,,</s>,en
50,on_p50,1000,1,51,"The story of a Warrior girl and her family. The story of a tribe that has come to that dark place.
Historical portrait in portrait form.The famous sculpture of the legendary Warrior Queen of Tiberias in the Celtic Museum of Art in Rome.The title of this sculpture refers to the legend",0.090448657634,,,</s>,en
51,on_p50,1000,1,52,"Q:

CSS & jQuery dropdown menu setting first item as parent

I am trying to set a dropdown menu as parent when the user clicks on the dropdown menu.
My menu looks like this.
<ul class=""menu"">
    <li class=""active"">1</li>
    <li class=""active"">2</li>

</ul>

My problem is that the",0.090448657634,,,</s>,en
52,on_p50,1000,1,53,"The Methuen Center for the Arts is a memorial to Emily Sherman, who was a high school teacher, and a member of the University for Women for Life of Hope. The work memorializes Sherman, who was the first female legislator to serve in the U.S. House of Representatives in 1872. Sherman died in",0.090448657634,,,</s>,en
