,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"Chile, Colombia, Paraguay, Uruguay, Bolivia, Chile, Ecuador, Perú, Uruguay, Colombia, Paraguay, Paraguay, Colombia, Australia, Panamá, Ecuador, Chile, Ecuador, Uruguay, Peru, Colombia, Colombia, Paraguay, Ecuador, Chile, Argentina, Alemania, Andorra, Alemania, Austria, Argentina, Austria,",0.91477142824,,,,es
1,on_p50,1000,1,2,Utilizamos cookies para asegurar que damos la mejor experiencia al usuario en nuestro sitio web. Si continúa utilizando este sitio asumiremos que está de acuerdo.Estoy de acuerdo,0.91477142824,,,,es
2,on_p50,1000,1,3,                               ,0.91477142824,,,,es
3,on_p50,1000,1,4,"“Icaro” y “Gomorra”, así comenzaba la película de la semana.",0.91477142824,,,,es
4,on_p50,1000,1,5,The truth can afflict. God answers.,0.91477142824,,,,es
5,on_p50,1000,1,6,"A one to one conversatorio junto a un amigo, da primera a la segunda enseñanza.",0.91477142824,,,,es
6,on_p50,1000,1,7,servicios de tiempo de trabajo in,0.91477142824,,,,es
7,on_p50,1000,1,8,2 dormitorios - 2 baños - 1 plaza - Precio propuesta: 358.300 €,0.91477142824,,,,es
8,on_p50,1000,1,9,We're Looking For a Scenic Sudbury Trail,0.91477142824,,,,es
9,on_p50,1000,1,10,"que a UPC, es a dir, el de la Calidad, ha de ser el que no esta a la derecha, no son a la izquierda las cuerdas de la Izquierda, que estan perpendiculares, no se puede hacer el mismo analisis que el metodo de la derecha cuando estamos",0.91477142824,,,,es
10,on_p50,1000,1,11,Next post: Suspension,0.91477142824,,,,es
11,on_p50,1000,1,12,"Acrónimo de Tierra tropical, el tocadiscos de Orlando terminó siendo una de las compañías más populares e influyentes de las que se habla, con más de 20 años de trayectoria, y cuyo éxito marca el paso de Universal Studios a Disney World.",0.91477142824,,,,es
12,on_p50,1000,1,13,,0.91477142824,,,,es
13,on_p50,1000,1,14,Nosotros siempre hacemos la voluntad del pueblo y el pueblo pierde el poder cuando el gobierno no hace eso.,0.91477142824,,,,es
14,on_p50,1000,1,15,Male Nacho Vidal ( 23-May 1934 - 23-May 1999) fue un músico estadounidense de jazz.,0.91477142824,,,,es
