,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2,1,1,"El actual entrenador de los Bulls es un entrenador técnico y táctico, que sabe qué hacer y lo hace, con resultados, lo cual es un logro en este momento de la NBA. Pero, ha sido difícil. Los Bulls están en el puesto 20 de la División Central de la Conferencia Este, y un equipo que ocupa",0.54427943,,,</s>,de
1,on_p50,2,1,2,"/* This file is part of the KDE libraries
    Copyright (C) 2003 Michael Zahn <zhaanh@kde.org>

    This library is free software; you can redistribute it and/or
    modify it under the terms of the GNU Library General Public
    License version 2 as published by the Free Software Foundation.

    This library",0.54427943,,,</s>,de
2,on_p50,2,1,3,"#!/usr/bin/env python

import os
import sys
import time
import subprocess
import socket
import errno
import signal

try:
    import ConfigParser as configparser
except ImportError:
    import configparser

try:
    from urllib.request import urlopen
except ImportError:
    from urllib2 import urlopen

",0.54427943,,,</s>,de
3,on_p50,2,1,4,"TOMATE: Encuentra y guarda ideas sobre Platos especiales de lentejas en Pinterest. Encuentra y guarda ideas sobre Platos especiales de lentejas en Pinterest. Platos especiales de lentejas. Platos especiales de lentejas. Platos especiales de lentejas.
26/04/2011 · Fabulosa receta",0.54427943,,,</s>,de
4,on_p50,2,1,5,"3. Bộ phận giảm tốc thủy lực được thiết kế đặc biệt, cho tốc độ cao, độ tin cậy cao và độ chính xác cao.
1. Khoảng cách điều chỉnh rộng: 0 ~ 15mm, độ chính xác ± 0.1mm. Tốc độ: 300 ~ 1800mm / phút, độ chính",0.54427943,,,</s>,de
5,on_p50,2,1,6,"Q:

Verifying the equivalence of two described trigonometric identities

I am having a hard time proving the equivalence of the two following described identities:
$$\cos(x+y) = \cos{x} - \cos{y}$$
$$-\sin(x) = \sin{x} + \sin{y}$$
For example, it",0.54427943,,,</s>,de
6,on_p50,2,1,7,"Neuromorphisms
Neuromorphic computing is an emerging field of research which aims to build a hardware device for neural processing based on the cellular automaton (CA). The interest in the CA is mainly due to its rich physical mechanism that mimics the biological neuronal network. The CA is a simple and efficient simulation of the",0.54427943,,,</s>,de
7,on_p50,2,1,8,"A polícia rodoviária federal (PRF) prendeu um homem de 37 anos, que conduzia um caminhão baú Mercedez Benz, carregado com 22 caixas de cerveja, no final da manhã desta quarta-feira (20), no km 242 da BR-364, proximidades de Rio Brilhante.
Segundo informações",0.54427943,,,</s>,de
8,on_p50,2,1,9,"The two queens, a member of the royal family of the United States, are the queens of the United States. They are the two queens of the United States of America. Texas Governor Rick Perry, who was named the new vice president, will be the chief of staff to President Trump in this office.",0.54427943,,,</s>,de
9,on_p50,2,1,10,"The human body is extremely complex and is made up of two different types of cells, known as somatic and germ cells. Somatic cells are killed during sexual maturation and are the type we are most familiar with. Germ cells are the cells that make up the reproductive system and give rise to the offspring of men and",0.54427943,,,</s>,de
10,on_p50,2,1,11,"Showing 0 out of a total of 0 results for collection: Political Organizations and Policy and Customs (Canada). (0.159 seconds)
For the boys in your family, there’s nothing quite like being able to play on a quiet, sunny day in warm summer clothes. The secret to a successful summer day,",0.54427943,,,</s>,de
11,on_p50,2,1,12,"A partir del lunes, 13 de enero, os estaréis viendo a través de la plataforma Zoom. Os animamos a que participéis como mejor os convenga, publicando el enlace en la sección de comentarios de Instagram o YouTube, o apuntándoselo a vuestra libreta de apuntes de la asignatura.
",0.54427943,,,</s>,de
12,on_p50,2,1,13,"Por todo esto y por más, se convoca a los señores miembros del Consejo deliberante y al público en general a participar del acto que se realizará el día martes 25 de febrero de 2016, a las 19,30 hs. en el salón de actos de nuestra institución, sito en Nro. 83 esquina 15 de",0.54427943,,,</s>,de
13,on_p50,2,1,14,"Now we are looking at the sixth universal truth. It is important to remember that the human mind is the human’s most powerful tool. It is our ability to creatively apply the sixth universal truth that gives us the power to control the human mind, to govern the human being, and to create the human being. The",0.54427943,,,</s>,de
14,on_p50,2,1,15,"Q:

How to pass an integer to a method in Java?

I have the following method:
public static ArrayList<Integer> getIntArray(int start, int end) {
    ArrayList<Integer> result = new ArrayList<>();

    for (int i = start; i < end; i++) {
        result.add(i)",0.54427943,,,</s>,de
15,on_p50,2,1,16,"Introduction
The first symptoms of cancer are typically vague, non-specific, and nonspecific (1). This is a common problem in the context of a general practitioner (GP) office (2). In addition to absence of symptoms, the main issue is the lack of recognition of symptoms by the patients and physicians.",0.54427943,,,</s>,de
16,on_p50,2,1,17,電話接通後，她走起來很緩慢，在路上走著走著，她突然大叫一聲，我對她說：「你怎麼了？怎麼了？」 她一下子站直，被我的力量拉起來，低頭看著自己的身體，突然哭了起來，「怎麼了？怎麼了？」 我大吼了一,0.54427943,,,</s>,de
17,on_p50,2,1,18,"#!/usr/bin/env python
# This script will create a configuration file for an API server that I have
# written. This particular API server is for running with the Xlib event
# loop. It uses a custom session manager to allow access to the configuration
# file via a GUI interface.
#
# This",0.54427943,,,</s>,de
18,on_p50,2,1,19,"কবি বলেছেন, ‘এতো দিন যাকে আমি দেখেছি, তার হাত ধরে হাঁটতে, কষ্টে, হাসিতে, সুখে, দুঃখে সঙ্গী হয়ে। যার সাথে আমার দুই একটা কথা হয়েছে, তার সঙ্গ যেমন পেয়েছি, তার কাছ থেকে যতটুকু পেয়েছি তার সাথে এতো বেশী মিল খুঁজে পাইনি।’
প্রখ্যাত কবি",0.54427943,,,</s>,de
19,on_p50,2,1,20,"The information presented on this page is about the nearest train stations to Barrow-in-Furness in Scotland. Map information is also available for major cities and towns in Scotland such as Edinburgh, Dundee, Inverness and Glasgow.
As we celebrate our 20th anniversary, we want to share what makes Swarovski",0.54427943,,,</s>,de
20,on_p50,2,1,21,"El gran problema de la enfermedad de Alzheimer es que no hay cura para ella. Sin embargo, existen tratamientos para reducir los síntomas y mejorar la calidad de vida de las personas con demencia, como los siguientes:
Medicamentos como el magnesio o el ginkgo biloba (que se puede tomar en forma de cáps",0.54427943,,,</s>,de
21,on_p50,2,1,22,"/*
 *  Open BEAGLE
 *  Copyright (C) 2001-2007 by Christian Gagne and Marc Parizeau
 *
 *  This library is free software; you can redistribute it and/or
 *  modify it under the terms of the GNU Lesser General Public
 *  License as published by the Free",0.54427943,,,</s>,de
22,on_p50,2,1,23,第四步，实施。管理者运用自己的全球视野，将战略规划与组织现状进行整合，对组织内外的环境进行动态的分析，制定出相应的行动计划。每个计划都需要事先进行可行性分析，根据预测结果制定出计划实施步骤和评估指标。同时，还可以更新学习计划，并重新,0.54427943,,,</s>,de
23,on_p50,2,1,24,"﻿/*
 * Created by SharpDevelop.
 * User: ntian
 * Date: 2014/5/9
 * Time: 11:26
 * 
 */
namespace NewTypeAnalysis
{	
	/// <summary>
	/// Enumeration to define the different namespace prefixes
	/// <see cref=""P:NewTypeAnalysis.NamespacePrefixes""/>",0.54427943,,,</s>,de
24,on_p50,2,1,25,"《上海证券报》7月27日报道:为了叫停北京的购房限购,北京已专门成立由相法学者、河北大学教授等组成的""总理问责小组"",就""2006年京沪、京深楼市火爆,限购等调控措施不力""问责相关部门。记者从昨日",0.54427943,,,</s>,de
25,on_p50,2,1,26,"Leur ambition : être le premier opérateur de services financiers au monde, en créant une valeur unique et des synergies avec les différents acteurs qui la composent, en capitalisant sur nos différences, nos complémentarités et la diversité de nos expertises.",0.54427943,,,</s>,de
26,on_p50,2,1,27,"it's an old joke. a friend of mine reared a pair of 10 year old yellow labs. the dogs were getting too big, and he decided to breed them. the bitch was the salubrious, 10 year old, white lab, and the sire was a 8 year old, red, yellow and black",0.54427943,,,</s>,de
27,on_p50,2,1,28,"There is no doubt that we are entering an era in which security is more important than ever. With the latest attacks becoming more sophisticated, attacks are becoming more widespread and coordinated. New threats are emerging, and new ways of executing attacks are emerging. On top of this, new tools, methods, and techniques are being developed",0.54427943,,,</s>,de
28,on_p50,2,1,29,"PHPMailer is an open source email client written in PHP using mime. It is part of the PHP family of languages, and is included by default with PHP 5.3 or later.
This is the latest version of the PHPMailer library, with some new features and fixes that are part of the 5.3",0.54427943,,,</s>,de
29,on_p50,2,1,30,حركت اللواتي كن يقفن خلفنا بعد لقاء حسن، ورائحة دخان التبغ، ومرارة الاثنين، والديال من فم المراهق، وفائدة «حنفهم»، ومهارة «والديهم»، وسعادة «مرشدهم»، و «حوية» صاحبة «عز,0.54427943,,,</s>,de
