,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"このブログでやっているブログランキング「たまには私もブログの更新を頑張ります」の投稿総数は2,377件を超えています。また、毎月のアクセス数も4,570件を超えています。",0.088694814276,,,,ja
1,on_p50,1000,1,2,ただいま(旧東京・常)で発行している「お知らせ」が、本日(6月10日)に発行され、その後さまざまのご協力をいただきました。,0.088694814276,,,,ja
2,on_p50,1000,1,3,いつものモテテッツはいつものモテテテッツはいつものモテテテッツはいつものモテテッツはいつものモテテッツはいつものモテテッツはいつものモテテッツはいつものモテテ,0.088694814276,,,,ja
3,on_p50,1000,1,4,"“컨 신은 좀 미스터리, 닉네임은 ‘아트 앤러브’”",0.088694814276,,,,ja
4,on_p50,1000,1,5,"北京市公安局消防支队今天发布通报称,有关消息称,今年以来,新疆境内发生多起非法运输白酒、酒精制造爆炸事件,导致恶劣环境发生了重大变化,部分区域发生了重大人员伤亡和财产损失,造成严重损失",0.088694814276,,,,ja
5,on_p50,1000,1,6,ルートをご確認いただき、変更の申し出をお願いします。,0.088694814276,,,,ja
6,on_p50,1000,1,7,ご利用案内の送信内容(お名前、メールアドレス、電話番号など)を入力すると、登録内容に自動的にメールが届きます。 確認メールの配信は24時間以内に停止されます。 詳細はこちら,0.088694814276,,,,ja
7,on_p50,1000,1,8,韓国のトランプ大統領が、ついに第2の米韓首脳会談を開催することがわかった。,0.088694814276,,,,ja
8,on_p50,1000,1,9,イギリスで合併したチェコ国は世界の主要国の一つ。世界中から多くのファンが訪れる国。世界に必ず訪れる国です。,0.088694814276,,,,ja
9,on_p50,1000,1,10,"四号,我国唯一的京津合站,将于10月26日实现发射。为在这个月中旬于北京发射,7月27日将回归正轨。",0.088694814276,,,,ja
10,on_p50,1000,1,11,奈良県 もやま市周辺で御葬儀費用できる葬儀社を探しになっている方へ。,0.088694814276,,,,ja
11,on_p50,1000,1,12,ネパールでは、カニ産業生産者 で、 出入先をスケジュールを立てることができることを 弊社の強みとしています。,0.088694814276,,,,ja
12,on_p50,1000,1,13,"地点: 同, 北京市西城区吉安街5号",0.088694814276,,,,ja
13,on_p50,1000,1,14,吉林大学附属医院胡海波(资料照片),0.088694814276,,,,ja
14,on_p50,1000,1,15,ほのか色の奥は、チューリップを塗りつぶしたようなポイントがとってもキュートです。,0.088694814276,,,,ja
15,on_p50,1000,1,16,禁忌壁紙は色々な種類があるのですが、赤い色を利用している方が多いです。,0.088694814276,,,,ja
16,on_p50,1000,1,17,リハビリの意向があったときには、将来不安なときもあって、特に不安一面はありませんでした。,0.088694814276,,,,ja
17,on_p50,1000,1,18,科学の進歩とともに、その重要性を吸収しとめてきた。,0.088694814276,,,,ja
18,on_p50,1000,1,19,と、いうことで、日頃からシェアホリックグリップのオイルを使うようになりましたが、やはり美味しいんです。,0.088694814276,,,,ja
19,on_p50,1000,1,20,☆ 空欄になると評価が反映されません。,0.088694814276,,,,ja
20,on_p50,1000,1,21,もっとも、何らかのメディアの用語として、あるいは一時的に、情報収集のための言語として用いられている。,0.088694814276,,,,ja
21,on_p50,1000,1,22,☆ 各種応募のお問い合わせは、下記メールアドレスまでお願いします。,0.088694814276,,,,ja
22,on_p50,1000,1,23,နဲ့ ဖုန်း ကိုင်ထားကြောင်း ရုရှားနိုင်ငံသတင်းဌာန TASS ၏ အယ်ဒီတာ Herman Meltzer က ပြော ပါတယ်။,0.088694814276,,,,ja
23,on_p50,1000,1,24,"曹云金指出,中共十八大以来,以习近平同志为总书记的党中央毫不动摇把防范化解重大风险作为打赢脱贫攻坚战的重要工作之一,把脱贫攻坚比作一场硬仗,打的是硬仗的坚决打赢,打",0.088694814276,,,,ja
24,on_p50,1000,1,25,"애플 아이폰7플러스는 애플의 지포스가 아닌 아이폰7을 탑재한 모델로, 퀄컴의 최신 프로세서와 스드래곤 660과 7nm 공정을 사용할 예정이다.",0.088694814276,,,,ja
25,on_p50,1000,1,26,オールドサンツ アカデミー選手権の選手権優勝チーム 平成29年,0.088694814276,,,,ja
26,on_p50,1000,1,27,ติดตามข้อมูลได้ทุกที่ ทุกเวลา,0.088694814276,,,,ja
27,on_p50,1000,1,28,"Като адвокат имам ясна представа какви права и задължения имам спрямо Софтуерен бизнес, да речем, кандидатствам за работа, но да вземам под наем нови 9 компютъра, които да ми заменят старите. А и това, че имам и собствен бизнес, и че мога да си позволя такова нещо",0.088694814276,,,,ja
28,on_p50,1000,1,29,"런던 버스 터미널서 총격...경찰, ""트럼프도 마찬가지""",0.088694814276,,,,ja
29,on_p50,1000,1,30,"(Source: jimmers, via npnfrm.sourceforge.net)",0.088694814276,,,,ja
30,on_p50,1000,1,31,風船という名前は、遠く離れた島の海を巻き上げて頭の上で羽ばたくみたいに乗り上がって、大抵は仲間と一緒に遊んでいるものが風船で、風船をだらだらして遊んで、寒い冬に風船を巻いた,0.088694814276,,,,ja
31,on_p50,1000,1,32,ファッション業界が注目するアイテムを、自分好みで選抜! ファッションやメンズファッション、ウエディングメイク、美容院や美容室、ヘアケア、ビジネスマンやサラリーマンのためのファッションカタログや情報など、ファッションやメンズファッション,0.088694814276,,,,ja
32,on_p50,1000,1,33,スタッフ紹介:主婦の香川県在住の管理栄養士の渡辺です。,0.088694814276,,,,ja
33,on_p50,1000,1,34,WGを立ち上げたのが30年以上前から。,0.088694814276,,,,ja
34,on_p50,1000,1,35,管理する。それ以外の個人情報は保護されないもの。,0.088694814276,,,,ja
35,on_p50,1000,1,36,ホテルの行き場が分からず、ぐるぐる回ってホテルに泊まった。,0.088694814276,,,,ja
36,on_p50,1000,1,37,,0.088694814276,,,,ja
37,on_p50,1000,1,38,半袖Tシャツには、中学時代に被っていた青色の男子が、白いワンピース...,0.088694814276,,,,ja
38,on_p50,1000,1,39, 액션 RPG 장비 Boxer 4K 액션 장비 Boxer 액션 장비는 시야를...,0.088694814276,,,,ja
39,on_p50,1000,1,40,,0.088694814276,,,,ja
40,on_p50,1000,1,41,"Вопрос: Здравствуйте Добрый день,Я хотел бы узнать как актуален вопрос,который у меня возник,но в таком виде,чтобы было понятно,что это может быть,подскажите на практике.",0.088694814276,,,,ja
41,on_p50,1000,1,42,県営「青浦公園」に小型犬「シュワルツ」が暮らす。,0.088694814276,,,,ja
42,on_p50,1000,1,43,文昌市 九江市 广西壮族自治区 桂林市 州市 西宁市 州市 州市 桂林市 广西壮族自治区 桂林市 州市 州市 桂林市 桂林市 州市 桂林,0.088694814276,,,,ja
43,on_p50,1000,1,44,. 「おはようございます」 と、お礼を言っておられたら、「いつもありがとうございます」って返事が返ってくるものなんですよね。,0.088694814276,,,,ja
44,on_p50,1000,1,45,よくある住宅リフォーム 注意点 無料見積りのことですが、少し前にリフォームを沖縄でできますが、内装リフォームの「消耗品」はキレイが手に入ります。,0.088694814276,,,,ja
45,on_p50,1000,1,46, 引こうけれども、どうしようもなく、道を引こうとする人がいる。,0.088694814276,,,,ja
46,on_p50,1000,1,47,,0.088694814276,,,,ja
47,on_p50,1000,1,48,"剑魔流习了半天,发现剑魔已经闭嘴了,才来这儿坐下,而且呢,你还真是不知道,这事?你说,那我时间,你什么时候回来,你也和我说,我不要跟你说,你还要跟你说,",0.088694814276,,,,ja
48,on_p50,1000,1,49,ファミリーの為の防犯対策を徹底的に見極めて行きましょう。,0.088694814276,,,,ja
49,on_p50,1000,1,50,한미정상회담 의제를 재확인했다”며 “아직까지는 일본 핵 문제를 비롯해 韓日관계를 듣지 않고 있는 것 같다. 이 시간을 끌지 않겠다는 뜻을 넣어달라고 부탁드린다”고 말했다.,0.088694814276,,,,ja
50,on_p50,1000,1,51,あざといただったんだよなぁ。もう、お母さんのためになんだよ。,0.088694814276,,,,ja
51,on_p50,1000,1,52,路面屋で稼げる!男性の初チラシ作成方法とは?,0.088694814276,,,,ja
52,on_p50,1000,1,53,"赫尔辛基,看见阿琳在厨房被,英国皇室重武器,",0.088694814276,,,,ja
53,on_p50,1000,1,54,字は...... それがない、ということをお伝え下さい.....,0.088694814276,,,,ja
54,on_p50,1000,1,55,で、今度は“本当”に気づいて、一緒に歩きましょう。,0.088694814276,,,,ja
55,on_p50,1000,1,56,キシノキの作法は、お前の指摘を聞いても、受胎終了が算数的に遅れることは確かだろう。,0.088694814276,,,,ja
