,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language. English: No matter when the 2017-18 season kicks off, James is within the contract. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
1,on_p50,0,1,2,Translate an English sentence into a target language. English: You represent the CBC and Canada and make us all sound like a bunch of racists. #disgusted. Target Language: English.,0.0,,,translation_text_wmt_en_zh.pkl,zh
2,on_p50,0,1,3,"Translate an English sentence into a target language. English: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels."" Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
3,on_p50,0,1,4,"Translate an English sentence into a target language. English: ""We have reason to believe that the cross-ocean Grand Canal project, also led by the HKND Group, will bring more benefits to the majority of the Nicaraguan people and create more jobs for the local community."" Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
4,on_p50,0,1,5,Translate an English sentence into a target language. English: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago. Target Language: English.,0.0,,,translation_text_wmt_en_zh.pkl,zh
5,on_p50,0,1,6,"Translate an English sentence into a target language. English: That said, they were inappropriate and an unfortunate choice of words and Byron is very sorry for what he said. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
6,on_p50,0,1,7,"Translate an English sentence into a target language. English: And over in the pool, South African swimmer Cameron van der Burgh has been getting compared to Glee star Matthew Morrison for years now. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
7,on_p50,0,1,8,"Translate an English sentence into a target language. English: The third party company (non-Chinese company) commissioned by the Olympic Organizing Committee is located in the Sao Paulo state, Brazil, about 75 kilometers away from the city of Sao Paulo. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
8,on_p50,0,1,9,"Translate an English sentence into a target language. English: Julius Nielsen, who has been studying the sharks, says record goes to a female thought to be between 272 and 512 years old and is five metres in length Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
9,on_p50,0,1,10,"Translate an English sentence into a target language. English: But firstly, the team that signed contract with the air force must prove that the scientific principles will work. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
10,on_p50,0,1,11,"Translate an English sentence into a target language. English: It's not a big meeting, it's not a Royal Ascot - it's a mundane Friday night with 20,000 people. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
11,on_p50,0,1,12,"Translate an English sentence into a target language. English: Liu Cigui came to Sanya for the research of ""Double Restoration and Dual City"" and required to enhance the level of urban construction and management Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
12,on_p50,0,1,13,Translate an English sentence into a target language. English: It was rejected by 58% of its members who voted in the ballot. Target Language: English.,0.0,,,translation_text_wmt_en_zh.pkl,zh
13,on_p50,0,1,14,"Translate an English sentence into a target language. English: As the inheritance of intangible cultural heritage projects of Anhui province mainly relies on oral and face-to-face passage, many intangible cultural heritage projects are on the verge of failing to be handed down from past generations. So the application of digital technology for conservation is imperative. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
14,on_p50,0,1,15,Translate an English sentence into a target language. English: The JDC says ministers have failed to address concerns about the contract. Target Language: English.,0.0,,,translation_text_wmt_en_zh.pkl,zh
15,on_p50,0,1,16,"Translate an English sentence into a target language. English: The legacy is in our continued focus on calories and nutrition, Ms. Ziegelman said, and on the way science has been applied to cooking. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
16,on_p50,0,1,17,"Translate an English sentence into a target language. English: This requires that the detector's sun wing area to be larger, and need to constantly adjust, and strive to align with the sun direction. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
17,on_p50,0,1,18,Translate an English sentence into a target language. English: Portland smelter's future in doubt with axing of power contract Target Language: English,0.0,,,translation_text_wmt_en_zh.pkl,zh
18,on_p50,0,1,19,"Translate an English sentence into a target language. English: At a court hearing this week, Calais authorities had argued the state should be able to knock down a total of 72 makeshift shops where people inside the camp sell goods, from cigarettes to energy drinks, offer haircuts, or sell tea for 50 cents (40p) or basic meals for a few euros in makeshift restaurants. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
19,on_p50,0,1,20,"Translate an English sentence into a target language. English: Recently, Hebei Cixiao Fund sent a 16,000-yuan relief sent to six families who lost their relatives in Xiaozuo, Taitou and Guiquan Village of Jinjing County. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
20,on_p50,0,1,21,Translate an English sentence into a target language. English: These areas have increased the conveniences of children to attend college entrance examination in the local place while meeting the related requirement. Target Language: English: The English language is a language that is used by people to communicate with each other.,0.0,,,translation_text_wmt_en_zh.pkl,zh
21,on_p50,0,1,22,"Translate an English sentence into a target language. English: Efforts by the BMA to resolve the dispute through talks have been met with an unwillingness to engage and, at times, deafening silence from the government. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
22,on_p50,0,1,23,"Translate an English sentence into a target language. English: From the first stroke to the last, 220 punishing heaves into history, Helen Glover and Heather Stanning found added meaning in their golden moment at the Estacio da Lagoa. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
23,on_p50,0,1,24,"Translate an English sentence into a target language. English: At their peak spin rates, these maturing stars eject large amounts of stellar wind. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
24,on_p50,0,1,25,"Translate an English sentence into a target language. English: With two accounts for two institutions, this can prevent the village cadres from participating in collective asset management corruption. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
25,on_p50,0,1,26,"Translate an English sentence into a target language. English: When the match went on for 10 minutes, Lifan made continued hit and gained a chance for corner. Fernando made small-angle volley and was fended off the base line by Guoan. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
26,on_p50,0,1,27,"Translate an English sentence into a target language. English: He brought up the landmark with his second winner of the night at his local track - on Predilection, trained by John Gosden. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
27,on_p50,0,1,28,"Translate an English sentence into a target language. English: According to Xu Dazhe, although China's aircraft has entered a deep space, it is still essential to finish the task of Mars exploration. The detection of Mars means that China has stepped into the deep space exploration era in a true sense. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
28,on_p50,0,1,29,Translate an English sentence into a target language. English: But she still desperately swam to the little girl. Target Language: English.,0.0,,,translation_text_wmt_en_zh.pkl,zh
29,on_p50,0,1,30,"Translate an English sentence into a target language. English: I couldn't have asked for a better person to train with, or a better coach. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
30,on_p50,0,1,31,Translate an English sentence into a target language. English: What are the challenges of world economic globalization and integration to governance? Target Language: English,0.0,,,translation_text_wmt_en_zh.pkl,zh
31,on_p50,0,1,32,"Translate an English sentence into a target language. English: Traditional dating methods usually use calcified tissue of animals. Some fins can use fins, but this calcified tissue is very scarce in Greenland sharks. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
32,on_p50,0,1,33,"Translate an English sentence into a target language. English: Now for their own interests, enterprises have raised their enthusiasm of pollution control, cherished limited emissions and reduced emissions of pollutants. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
33,on_p50,0,1,34,Translate an English sentence into a target language. English: Russian public opinion has also turned since November. Target Language: English.,0.0,,,translation_text_wmt_en_zh.pkl,zh
34,on_p50,0,1,35,Translate an English sentence into a target language. English: Simone Biles nails all-around gold in women's gymnastics Target Language: English,0.0,,,translation_text_wmt_en_zh.pkl,zh
35,on_p50,0,1,36,Translate an English sentence into a target language. English: I think the administration's most important task is to support your activity as head of state in terms of drafting laws and control over how your instructions are implemented. Target Language: English,0.0,,,translation_text_wmt_en_zh.pkl,zh
36,on_p50,0,1,37,"Translate an English sentence into a target language. English: Simone, Gabby and Laurie all took the same path as Aly and Madison to make the Olympic team. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
37,on_p50,0,1,38,"Translate an English sentence into a target language. English: As the No.12 new arrival of the first round in 2014, Salic will officially land on the NBA in the next season, and join the Philadelphia 76ers. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
38,on_p50,0,1,39,"Translate an English sentence into a target language. English: The Sydney Opera House is one of Sydney's landmark buildings, designed by Danish architect Jorn Utzon and built in 1973. It welcomes about 8 million visitors each year. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
39,on_p50,0,1,40,"Translate an English sentence into a target language. English: Humanitarian groups had told the court the shops and restaurants were vital, saying the free meals offered by a state-backed association and other groups did not provide enough food for the growing numbers at the camp. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
40,on_p50,0,1,41,"Translate an English sentence into a target language. English: According to media reports, CEO Wang Lei recently said Ali health ""is willing to get down"" to win big health data. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
41,on_p50,0,1,42,"Translate an English sentence into a target language. English: From the news reports of the Olympic Games, all media have made a lot of changes in the aspect of mode of transmission, product form, language style, news perspective and many other aspects. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
42,on_p50,0,1,43,Translate an English sentence into a target language. English: Investigators tells CBS Philadelphia it appears there was crossfire between multiple gunmen. Target Language: English.,0.0,,,translation_text_wmt_en_zh.pkl,zh
43,on_p50,0,1,44,"Translate an English sentence into a target language. English: Whether you're approached from in front or behind, this video will show you how to turn the tables on your mugger. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
44,on_p50,0,1,45,"Translate an English sentence into a target language. English: As never before or since, home economists - among them Louise Stanley, chief of the federal Bureau of Home Economics from 1923 to 1943 - drove the country's eating habits. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
45,on_p50,0,1,46,"Translate an English sentence into a target language. English: China has taken resolute and effective measures to resolve excess capacity, and the results are gradually emerging. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
46,on_p50,0,1,47,"Translate an English sentence into a target language. English: Treats says nude calendar for 'women, as well as men' Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
47,on_p50,0,1,48,"Translate an English sentence into a target language. English: At the same time, the Commission set up a ""Shenzhen-Hong Kong stock market transactions interconnection mechanism"" special working group, and actively promote the preparatory work. The work will be open this year after the full preparation of the related regulatory rules and technical equipment. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
48,on_p50,0,1,49,"Translate an English sentence into a target language. English: Until March 8, 2015 when Shuyang County Public Security Bureau conducted a survey, there were only 142 layers on the farm. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
49,on_p50,0,1,50,"Translate an English sentence into a target language. English: In terms of event security, the current conference recruited 580 volunteers, during which the volunteers will provide services in the various venues for athletes and visitors. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
50,on_p50,0,1,51,"Translate an English sentence into a target language. English: It was backed with millions of pounds in sponsorship of international sport, from Six Nations rugby to Wimbledon champion Andy Murray. Target Language: English.",0.0,,,translation_text_wmt_en_zh.pkl,zh
51,on_p50,0,1,52,Translate an English sentence into a target language. English: It has retreated from them since it nearly collapsed eight years ago and had to be bailed out. Target Language: English.,0.0,,,translation_text_wmt_en_zh.pkl,zh
52,on_p50,0,1,53,"Translate an English sentence into a target language. English: Han said that on the current day of the crime, the two were asked to drink alcohol. And the two had two disputes during and after meal. Target Language: English",0.0,,,translation_text_wmt_en_zh.pkl,zh
