,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual entrenador de porteros del Barcelona, el navarro Raúl Entrerrios, ha opinado hoy sobre el duelo de mañana ante el Celta de Vigo, ha coincidido con el técnico del Barça, Ernesto Valverde, en la necesidad de no dejarse para mañana lo que para el Barça podría ser un encuentro fácil,",0.90603771272,,,</s>,es
1,on_p50,1000,1,2,"/*
 * Copyright (c) 2015, Oracle and/or its affiliates. All rights reserved.
 * DO NOT ALTER OR REMOVE COPYRIGHT NOTICES OR THIS FILE HEADER.
 *
 * This code is free software; you can redistribute it and/or modify it
 * under the terms of the GNU General Public License version 2 only, as",0.90603771272,,,</s>,es
2,on_p50,1000,1,3,"#!/usr/bin/env python

import os
import sys
import getopt

from glob import glob
from tempfile import mkstemp
from string importmaketrans

import imp

import bkr
import bkr.util
import bkr.compiler.compiler

import bkr.result

def get_",0.90603771272,,,</s>,es
3,on_p50,1000,1,4,"TOMATE: Encuentra el Tomate ideal para cada restaurante de España y del mundo con nuestro buscador de Tomate y selecciona el que más se adapte a tus necesidades.
CRISPÍNES: el sabor y jugosidad de crisantemos sobre un fondo suave y aterciopelado de chico",0.90603771272,,,</s>,es
4,on_p50,1000,1,5,"En este sentido, el proyecto de ley fue una aberración, una regresión hacia el Derecho Natural y el Estado de Derecho y una vergonzante aceptación total del autoritarismo y el totalitarismo, puesto que, entre otras cosas, la ley de plazos con las cuales el gobierno de Bolsonaro está actualizando el código de",0.90603771272,,,</s>,es
5,on_p50,1000,1,6,"En las elecciones a las Cortes Generales celebradas el pasado 15 de abril, la candidatura de Izquierda Unida-Asturies, en la que militamos, obtuvo la tercera mayor representación de toda la izquierda asturiana. El 35% de los votos nos acreditan como tercera fuerza política en Asturias, muy lejos de los 36,5%",0.90603771272,,,</s>,es
6,on_p50,1000,1,7,"Neuromorphisms
Neuromorphic hardware is an emerging paradigm that applies digital computation to the perception and control of neural circuits [1] [2] [3] [4] [5] [6] [7]. Human brains are complex systems, containing over 10 10 neurons in a volume that is no more than 1 mm 3, and that are in an active state for over",0.90603771272,,,</s>,es
7,on_p50,1000,1,8,"A larger collection of new and used motorcycles, scooters, trailers, utv's, boat's, dmv's, and motor scooters. Parts, service & service manuals, instructional videos and much, much more.",0.90603771272,,,</s>,es
8,on_p50,1000,1,9,"El alcalde que más dinero gastó en una campaña electoral en España fue el de Barcelona, que en 2008 gastó 60.000 euros y el de Jerez, que en 2011 lo hizo por 52.000 euros.",0.90603771272,,,</s>,es
9,on_p50,1000,1,10,"The human body is extremely vulnerable to toxins. We can absorb thousands of toxins from the air, water, food, work, medicines, cleaning chemicals, etc. We can carry toxic free blood into our body. We can even be exposed to toxic free food and water.",0.90603771272,,,</s>,es
10,on_p50,1000,1,11,"Showing videos for shinier boyfriends Only elders well over 18 años responsabilidad y dignidad por favor Otras putas que prestan Mulatos: Putas polacas en Espinal, Putas trio en San Luis Gonzaga, Putas orientales en Jadraque
El debilitamiento de la economía,",0.90603771272,,,</s>,es
11,on_p50,1000,1,12,"Las ojeras, también llamadas “pollas de fatiga”, son una de las principales causa del mal humor que muchas personas padecen en la actualidad y que se debe a la deshidratación de la piel del párpado superior y del bajo las cejas.
Los principales culpables de la aparición de las",0.90603771272,,,</s>,es
12,on_p50,1000,1,13,"Por todo o resto, o Cocktel de Natal da Piccante & Salada está à altura dos melhores cocktails que já provámos.
O nosso Cocktel “obrigado”, que na verdade não é, mas foi o primeiro a provar e o que nos obrigou a fazer tudo este ano para o gostar…",0.90603771272,,,</s>,es
13,on_p50,1000,1,14,"En este día tan especial, desde el departamento de comunicación del Ayuntamiento de Onda agradecemos en primer lugar a todas las personas y entidades colaboradoras y que han creído en el proyecto y nos han hecho posible el desarrollo de esta iniciativa.",0.90603771272,,,</s>,es
14,on_p50,1000,1,15,"Una imagen de archivo del líder del PP, Mariano Rajoy, en una reunión de la bancada del partido el pasado 10 de febrero.
El PP puede que haya pasado por una de las crisis generales de mayor calado de los últimos tiempos y eso se nota en el número de bajas en el círculo del poder. Y es que uno",0.90603771272,,,</s>,es
15,on_p50,1000,1,16,"Hiện nay, rất nhiều công ty, xí nghiệp, công ty sản xuất, nhà hàng, khách sạn ở trong thành phố Hồ Chí Minh đã sử dụng những chiếc bình đựng nước inox dành cho công nhân viên. Bởi những chiếc bình đựng nước inox luôn được đánh giá rất cao về cả chất lượng và mẫu",0.90603771272,,,</s>,es
16,on_p50,1000,1,17,"El dextrano de maíz es un tipo de azúcar que no tiene nada que ver con el dextrano de la remolacha. El dextrano tiene una fórmula llamada 4,6,8-tri-O-D-glucano y está hecho de las reservas de almidón de maíz. El dextrano",0.90603771272,,,</s>,es
17,on_p50,1000,1,18,Entiendo que la otra parte también está de acuerdo y la discusión por tanto se centra en el punto en el que he hecho antes un paréntesis.,0.90603771272,,,</s>,es
18,on_p50,1000,1,19,"La Fiscalía de Distrito Centro y en los juzgados de guardia de Madrid solicitarán para el ex率领 de la Policía de Madrid Antonio Porras y el ex jefe de la Unidad de Inteligencia Financiera (UIF) de la Policía Nacional Eugenio Pino, atendiendo a su petición y con motivo de las pesquisas sobre el origen del dinero",0.90603771272,,,</s>,es
19,on_p50,1000,1,20,"The campionat del món de Fórmula Uno de 1973 va ser la primera edició del certamen disputada en el traçat del Circuito Internacional de Zolder de Bélgica, en el qual el circuit belga va ser el primer en albergar una carrera de Fórmula Uno.
El cap de setmana del 29 al 31 de juliol del 1973, el Gran",0.90603771272,,,</s>,es
20,on_p50,1000,1,21,"El gran problema de la conquesta de Siberia y el Altai en el siglo X, fue la contemplación del espectáculo del mítico hombre blanco.
Los expedicionarios se encontraron con una cultura que los asustó y aterradoramente diferente a todas las que ya conocían.
Los pueblos que los exploradores y conquistadores",0.90603771272,,,</s>,es
21,on_p50,1000,1,22,"Cuando tu hijo est en el cole, no porq te lo hace a ti podra siempre hacer lo mismo a tus cuatro hijos. Va a estudiar, se va a casa con los amigos, se va a comprar cualquier chatarra y luego con el dinero de las propinas de las clases de natacion, vas",0.90603771272,,,</s>,es
22,on_p50,1000,1,23,第四步，实施。管理者运用自己的全球视野，将战略规划与战略实施紧密联系，对战略实施过程进行全程管理，是企业战略实施过程中最为重要的环节。战略实施是一个系统工程，管理者要协调好战略、实施和反馈三个环节，使战略不断得以完善和更新,0.90603771272,,,</s>,es
23,on_p50,1000,1,24,"El Centro Municipal de Información para el Empleo (CEMIE) de la Diputación de Cáceres, con la colaboración de los Servicios Regionales de empleo y los ayuntamientos de la provincia, ha puesto en marcha un nuevo programa de inserción laboral itinerante para personas con discapacidad en el cual participan cuatro ayuntamientos cacereños.",0.90603771272,,,</s>,es
24,on_p50,1000,1,25,"Municípios
Prefeitura de Uiraúna
Prefeitura Municipal de Uiraúna
Localizada no sul de Minas Gerais, na região Central, Uiraúna é sede de importantes serras.O seu território está longe dos pólos de desenvolvimento do Estado e ainda assim, está cercado por áreas também",0.90603771272,,,</s>,es
25,on_p50,1000,1,26,"Leur ambition : être le premier opérateur de services financiers au monde, en créant un modèle unique et disruptif de banque mobile qui modernise la relation client.
Leur vision : mettre le Digital au service de la bancarité et être le partenaire de référence dans la relation client.
Contrat de Remplacement pour",0.90603771272,,,</s>,es
26,on_p50,1000,1,27,"Antes de adquirir os serviços de análise de solo, os clientes devem primeiro estar cientes dos diferentes processos analíticos utilizados para sua análise de solo.",0.90603771272,,,</s>,es
27,on_p50,1000,1,28,"Un an après le crash de ""AirAsia QZ8501"" qui a entraîné la mort de casi 400 personnes, le Comité d'enquête sur la tragedia a remis mardi un rapport final sur les causes de la catastrophe, qui sera transmis au Conseil des droits de l'homme de l'ONU à Genève.
""C'est le dernier rapport que nous allons réd",0.90603771272,,,</s>,es
28,on_p50,1000,1,29,PHP y MySQL: Los principios de la programación Perspicaz Código Lo que es la Différence entre la Différence entre la Différence entre la Diferencia entre la Differencia entre la Differencia entre la Differencia entre la Differencia entre la Différence entre la Différence entre la Différence entre la Différence entre,0.90603771272,,,</s>,es
29,on_p50,1000,1,30,"حصلت صحيفة """"نيويورك تايمز"""" الأمريكية على نسختين من المذكرة التى أعدها مسئول كبير فى وزارة الدفاع الأمريكية من أجل الاستعداد للموت.
وحسب ما جاء فى المذكرة التى وضعتها إدارة العمليات الحربية الأمريكية، أن المسئولين الأمريكيين ما زالوا يعتمدون على نفس الأساليب التى",0.90603771272,,,</s>,es
30,on_p50,1000,1,31,"“Según el ministro del Interior Andrés Chadwick, el objetivo de la nueva ley tiene que ver con proteger los derechos de los hogares vulnerables y con los hogares que viven en la calle y que no cuentan con ningún tipo de vivienda, y con los que tienen una vivienda y que son de bajo riesgo y a los que se",0.90603771272,,,</s>,es
31,on_p50,1000,1,32,"Ellos están sintiendo el poder de Dios y el Espíritu de Dios y lo están haciendo por nosotros. Eso es lo que el Espíritu de Dios quiere, lo que el Espíritu de Dios quiere que hagamos.",0.90603771272,,,</s>,es
32,on_p50,1000,1,33,"Charles, ahora en el negocio de los enólogos, como todos los buenos enólogos, era un entusiasta de la calidad. Como expresó en una ocasión: ""Otro día, cuando el clima y el río permitan otra cosecha, tomaremos otra barra de vino y otra, y otra y otra y otra!"".
",0.90603771272,,,</s>,es
33,on_p50,1000,1,34,"En 1938, un contrat de douze ans a été signé entre Ford Motor Company et Henry Ford para le développement de la Ford Tender, la première voiture produite en série par Ford Motors. La marque a été officiellement enregistrée en 1939. Par la suite, Ford a continué à produire des voitures et des camions, y compris",0.90603771272,,,</s>,es
34,on_p50,1000,1,35,"Dung tích lồng giặt: 6.2 Lít Dung tích bình chứa nước: 2.5 Lít Công suất: 1900 W Sensor Eco: cảm biến tự ngắt khi lồng trắng khô Công nghệ iQ : Công nghệ điều khiển nhiệt độ nước bằng điện tử, giúp nhiệt độ nước được điều chỉnh thích hợp cho",0.90603771272,,,</s>,es
35,on_p50,1000,1,36,"En cuanto au stationnement, il y a beaucoup de places, avec, en plus, pas mal de possibilités en parking privé, surtout autour du château.
De nombreuses dalles sur pierre calcaire sont disséminées dans la ville. Elles donnent des informations sur l’histoire locale et surtout sur les activités agricoles au XVIIIème siècle",0.90603771272,,,</s>,es
36,on_p50,1000,1,37,Las Eliminatorias sudamericanas para el Mundial de Rusia 2018 apenas están comenzando y muchas cosas pueden pasar hasta el día del arranque oficial del torneo. Pero lo que ya está sucediendo en la capital sudamericana es algo que ya está dando que hablar y todo por culpa de un jugador que ya se ha convertido en tendencia: el,0.90603771272,,,</s>,es
37,on_p50,1000,1,38,"PEM análisis danjuran: Data ini diambil dari laporan proses produksi yang di bagikan dari semua perusahaan di Indonesia
Jika Anda adalah seorang trader, Anda mungkin tahu bahwa ada banyak indikator yang tersedia untuk digunakan. Cara terbaik untuk mengenalinya adalah dengan mencoba memetakan pola sederhana yang umum dengan lilin dan indikator lainnya. Ini",0.90603771272,,,</s>,es
38,on_p50,1000,1,39,"En el caso de que el cliente no haya réalisé un pago en la tarjeta de crédito para que este no sea cargado, y el mismo no pueda hacer otro y así sucesivamente hasta que el importe total sea cargado a la tarjeta de crédito, en el caso de que la falla de la tarjeta de crédito impida al cliente",0.90603771272,,,</s>,es
39,on_p50,1000,1,40,"A partir de então, a empresa começou a investir no setor de construção nas áreas civil e comercial. Já na área de sistemas de automação, a empresa se especializou em projetos de controle de processos e automação predial.",0.90603771272,,,</s>,es
40,on_p50,1000,1,41,Rated 5 de 5 por Fundy de pedido antes de la fecha de entrega. Productos de calidad. Además el envió rápido y seguro. Gracias.,0.90603771272,,,</s>,es
41,on_p50,1000,1,42,"Manolo García y Mikel Laboa durante el concierto de presentación de 'Travesía' en la sala Zeltij. JOSÉ LUIS ROCA
La irrupción de la pandemia en el engranaje de la cultura y el entretenimiento, y la innegable eclosión que está experiment",0.90603771272,,,</s>,es
42,on_p50,1000,1,43,"Arquivo para setembro, 2008
Nhan Trang, Viet Nam
É fato que a culinária vietnamita já causou algumas convulsões por aqui, principalmente à minha custa.Desde que cheguei, há cerca de quatro meses, tenho sido constantemente solicitada para servir comida vietnamita à meus clientes.Minha primeira reação ao que",0.90603771272,,,</s>,es
43,on_p50,1000,1,44,"“Occupant número 4.000”, dice el cartel que Mary Wilson pone en el reverso de una copia del disco “Helter Skelter”, del grupo The Beach Boys, en el que ya no está. En marzo de 2014, el pasado 23, la estrella de la música en vivo y el",0.90603771272,,,</s>,es
44,on_p50,1000,1,45,"A quem la de que sufrir por amor?
La de siempre... pero esta vez va peor.
No... no es por eso... pero...
Cuando una relación se alarga mucho tiempo y se hace muy rutinaria y monótona y cuando ya no sientes la misma pasión por el otro y lo que te hace el",0.90603771272,,,</s>,es
45,on_p50,1000,1,46,"Está a planear ir a Varsovia de vacaciones, en negocios hay un solo objetivo: ganar dinero. Para ello, el plan de viaje a Varsovia será perfecto. A continuación, te daremos algunas ideas sobre lo que puedes hacer en un viaje que te aportará dinero. Conocerás otras personas y aumentarán tus",0.90603771272,,,</s>,es
46,on_p50,1000,1,47,"La economía del país es de economía de mercado, apertura económica al exterior y alta productividad. La inversión extranjera y el comercio exterior están muy orientados al sector servicios y al comercio de productos primarios y manufacturados. La economía de los Estados Unidos tiene un patrón de crecimiento de mercado capitalista hacia el interior y crecimiento de mercado",0.90603771272,,,</s>,es
