,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: The nucleus is the part of the atom that is made up of the atoms that make up the atom. The electrons are the part of the atom that is made up of the atoms that make up the atom. The electrons are the part of the atom that is made up of the atoms that make up the atom. The electrons are the part of the atom that is made up of the atoms that make up the atom. The electrons are the part of the atom that is made up of the atoms that make up the atom. The electrons are the part of the atom that is made up of the atoms that make up the atom. The electrons",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: Pests can cause allergic reactions, spread venom, or transmit infections.
English: The word “spoiled” can be used to describe a situation where something is ruined or destroyed.
Target Language: The word “spoiled” can be used to describe a situation where something is ruined or destroyed.
English: The word “spoiled” can be used to describe a situation where something is ruined or destroyed.
English: The word “spoiled” can be used to describe a situation where something is ruined or destroyed.
English: The word “spoiled” can be used to describe a situation where something is",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: Italian is the language of the Italian government, the Italian language is also the language of the Italian people.
English: Italian is the language of the Italian government, the Italian language is also the language of the Italian people.
Target Language: Italian is the language of the Italian government, the Italian language is also the language of the Italian people.
English: Italian is the language of the Italian government, the Italian language is also the language of the Italian people.
English: Italian is the language of the Italian government, the Italian language is also the language of the Italian people.
English: Italian is the language of the Italian government, the Italian language",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: English
English: The teacher should be able to provide a variety of activities to support the learning process.
Target Language: English
English: The teacher should be able to provide a variety of activities to support the learning process.
English: The teacher should be able to provide a variety of activities to support the learning process.
English: The teacher should be able to provide a variety of activities to support the learning process.
English: The teacher should be able to provide a variety of activities to support the learning process.
English: The teacher should be able to provide a variety of activities to support the learning process.
English: The teacher should be able",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: Spanish
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
Target Language: English
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
Target Language: English
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
English: The first settlers of the New World were the Spanish, Portuguese, and Dutch.
Target Language: The first settlers of the New World were the Spanish, Portuguese, and Dutch.
English: The first settlers of the New World were the Spanish, Portuguese, and Dutch.
English: The first settlers of the New World were the Spanish, Portuguese, and Dutch.
English: The first settlers of the New World were the Spanish, Portuguese, and Dutch.
English: The first settlers of",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: The cave is a place where people can escape from the world. It is a place where people can escape from the world. It is a place where people can escape from the world.
English: The cave is a place where people can escape from the world. It is a place where people can escape from the world. It is a place where people can escape from the world.
Target Language: The cave is a place where people can escape from the world. It is a place where people can escape from the world. It is a place where people can escape from the world.
English: The cave is a place where people can escape from",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
English: The police have arrested the driver of the vehicle that hit the photographer.
Target Language: The police have arrested the driver of the vehicle that hit the photographer.
English: The police have arrested the driver of the vehicle that hit the photographer.
English: The police have arrested the driver of the vehicle that hit the photographer.
English: The police have arrested the driver of the vehicle that hit the photographer.
English: The police have arrested the driver of the vehicle that hit the photographer.
English: The police",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
10,on_p50,2000,1,11,"Translate an English sentence into a target language.
English: This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see.
Target Language: This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see.
English: The first thing I noticed was that the sun was shining, and the sky was blue. I also noticed that the trees were green, and the grass was green. I also noticed that the clouds were blue, and the sky was blue.
Target Language: The first thing I noticed was that the sun was shining, and the sky was blue. I also noticed that the trees were green, and the grass was green.",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
11,on_p50,2000,1,12,"Translate an English sentence into a target language.
English: But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.
Target Language:
But, after losing the captain's wicket, India only made 36 runs, losing 7 wickets to end the innings.
English: The first thing I noticed was that the weather was very hot. I was wearing a long, light, cotton t-shirt and a long, light, cotton shorts. I was also wearing a long, light, cotton socks.
Target Language:
The first thing I noticed was that the weather was very hot. I was wearing a long, light, cotton t-shirt and a long, light, cotton shorts. I was also wearing a long, light, cotton socks.
English:",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
12,on_p50,2000,1,13,"Translate an English sentence into a target language.
English: In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent, coconut milk is commonly used.
Target Language: In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent, coconut milk is commonly used.
English: In the United States, the term “cheese” is used to refer to a variety of different types of milk-based products, including:
Target Language: In the United States, the term “cheese” is used to refer to a variety of different types of milk-based products, including:
English: In the United States, the term “cheese” is used to refer to a variety of different types of milk-based",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
13,on_p50,2000,1,14,"Translate an English sentence into a target language.
English: Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""
Target Language: Chinese: 环境问题必须从一开始就处理好。

English: Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.

English: Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.

English: Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.

English: Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.

English: Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.

English: Hu encouraged developing countries to avoid the old path of polluting first",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
14,on_p50,2000,1,15,"Translate an English sentence into a target language.
English: Yet, Spanish is also widely used in public transport and other facilities.
Target Language: Spanish
English: The Spanish language is also widely used in public transport and other facilities.
Target Language: Spanish
English: The Spanish language is also widely used in public transport and other facilities.
Target Language: Spanish
English: The Spanish language is also widely used in public transport and other facilities.
Target Language: Spanish
English: The Spanish language is also widely used in public transport and other facilities.
Target Language: Spanish
English: The Spanish language is also widely used in public transport and other facilities.
English: The Spanish language is also widely used in public transport and other facilities.
English: The Spanish language is also widely used in",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
15,on_p50,2000,1,16,"Translate an English sentence into a target language.
English: Machu Picchu consist of three main structures, namely Intihuatana, the Temple of the Sun, and the Room of the Three Windows.
Target Language: The three main structures of Machu Picchu are the Intihuatana, the Temple of the Sun, and the Room of the Three Windows.
English: The Inca Empire was a powerful and prosperous civilization that flourished in the Andes of South America from the 16th to the 19th centuries.
Target Language: The Inca Empire was a powerful and prosperous civilization that flourished in the Andes of South America from the 16th to the 19th centuries.
English: The Inca Empire was a powerful and prosperous civilization that flourished in the Andes of South America from the 16th to the 19th centuries.
English: The Inca Empire was a powerful and prosperous",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
16,on_p50,2000,1,17,"Translate an English sentence into a target language.
English: The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.
Target Language: The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.
English: The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.
Target Language: The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.
English: The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but",0.48887528642850003,,,translation_text_flores200_en_zh.pkl,zh
