,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual entrenador de los colchoneros, Jorge Sampaoli, está de vuelta en Puebla, una ciudad donde el equipo se despide de sus fanáticos y vuelven a la carga para la Liga MX, donde llegan a los 27 puntos tras verse goleados por el líder Cruz Azul para quedarse a un sólo punto de los líderes",0.8002447884200001,,,</s>,fr
1,on_p50,1000,1,2,"/*
 *  Copyright (c) 2003-2015 Jeroen van der Merwe <http://www.jeroenvenom.org>
 *
 *  This program is free software: you can redistribute it and/or modify
 *  it under the terms of the GNU General Public License as published by
 *  the Free Software",0.8002447884200001,,,</s>,fr
2,on_p50,1000,1,3,"#!/usr/bin/env python

# -*- coding: utf-8 -*-
#
# Copyright (c) 2009-2011, Emmanuel Deschamps <Emmanuel.deschamps@gmail.com>
#
# This file is part of PySQLEdit.
#
# PySQLEdit is free software; you can redistribute it",0.8002447884200001,,,</s>,fr
3,on_p50,1000,1,4,"TOMATE. Jared Kagan, a 42-year-old male and his 25-year-old son, Jared Kagan, were charged with domestic violence at onset in June 2016, according to a federal judge in the New York State Supreme Court.
The 35-year-old Kagan, who was born in Los Angeles, was placed in a pren",0.8002447884200001,,,</s>,fr
4,on_p50,1000,1,5,"En 1292, pour une raison inconnue, s’établissent les frontières du royaume des seigneurs de son royaume respectifs, afin de lutter contre l’expansion anglaise. Mais avec l’anglais toujours au pouvoir, des seigneurs de ce royaume s’unissent pour de nouvelles duels.",0.8002447884200001,,,</s>,fr
5,on_p50,1000,1,6,"En la hipótesis de que exista un boleto de un solo día, el monto total será de $ 12.990 y no se podrá solicitar como entrada ni para la actividad ni para el tour de las rutas.",0.8002447884200001,,,</s>,fr
6,on_p50,1000,1,7,"Neuromorphisms
Neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozoon neurozo",0.8002447884200001,,,</s>,fr
7,on_p50,1000,1,8,"A curiosité que me ataca me lleva a buscar en Internet la definición de capitalismo para luego abrumar a mis amigotes. Capitalismo es un medio aceptable de consumo, no es un fin en si mismo, es un medio de intercambio de bienes y servicios. Las leyes laborales son el producto de la acumulación de capital,",0.8002447884200001,,,</s>,fr
8,on_p50,1000,1,9,"The two queued up in the middle. Ken had been walking around the school and he was happy to see Olivia. He stepped to the side of the courtyard and came over to look at Olivia.
“I’m sorry,” Olivia said in a broken voice. “You smelling like a rat, Ken.",0.8002447884200001,,,</s>,fr
9,on_p50,1000,1,10,"The human immune system is controlled by a complex network of interrelated antigen-presenting cells (APCs), which release potent proinflammatory cytokines such as TNFα, IL1β, and IL6. The activation of these molecules triggers the production of IL-6, IL-8, IL-10, IL-17",0.8002447884200001,,,</s>,fr
