,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"En ce qui concerne votre équipement, par exemple, plutôt que de vous lancer dans un projet sans aucune information préalable, vous pouvez prendre quelques minutes et passer en revue votre équipement et vos compétences, et ainsi définir un budget pour vous aider à vous lancer dans la bonne voie.
Ce budget doit être réaliste et éviter les",0.8727830815299998,,,</s>,fr
1,on_p50,1000,1,2,"Les més petites de la casa també podran ser les protagonistes d’un dia increïble! La colonie d’estiu de les Naus de Can Gori s’adapta als més petits, comptant amb un variat ventall d’activitats (jocs, gincana, sortides, tallers, etc.) pensades per a",0.8727830815299998,,,</s>,fr
2,on_p50,1000,1,3,"#!/usr/bin/env python

import os
import cherrypy
from cherrypy.lib.eid.隋义西式身份证DownloadHandler import EIDHandler

class login(EIDHandler):
    '''
    This is the CRUD controller for login. 
    '''
    
    # Logins are",0.8727830815299998,,,</s>,fr
3,on_p50,1000,1,4,"Ce projet s'inscrit dans un programme à long terme dans lequel les organisations non gouvernementales des droits des femmes et des hommes, en particulier des femmes rurales et des femmes autochtones et des femmes des communautés en situation de pauvreté, et des organisations féminines de la société civile des pays donateurs et des pays en développement, travaillent en partenariat",0.8727830815299998,,,</s>,fr
4,on_p50,1000,1,5,"En este sentido, consideró que, si bien, en el marco de una estrategia integral de seguridad son prioridad las acciones de erradicación del uso de la marihuana para la fabricación de marihuana y derivados, el combate al narcomenudeo y a la delincuencia, las acciones específicas que se desarrollen en este rubro, de",0.8727830815299998,,,</s>,fr
5,on_p50,1000,1,6,"En la hipótesis simple, podemos considerar que los ordenadores de hoy en día son al final bastante similares, que no se diferencien entre si, que sus riscos, fallas, o bugs, son comunes, y que no haya grandes diferencias en el nivel de atención que chacun de ustedes, los usuarios, les da a los",0.8727830815299998,,,</s>,fr
6,on_p50,1000,1,7,"Neuromorphisms
Neuroimaging analyses of brain function are commonly performed using data from patient-specific magnetic resonance imaging (MRI) images (Braunstein et al., 2009). However, this is not possible for studies that are performed on large panels of patients. Fortunately, the in vivo performance of computations allowed",0.8727830815299998,,,</s>,fr
7,on_p50,1000,1,8,"A larger collection of new and other rare books, manuscripts, and monographs: abridged from eleven volumes. Includes bibliographical indexes to 1,522 volumes with descriptions of all publications, with additional information about each publication, including: title, author, place and date of publication, editor, composer, and",0.8727830815299998,,,</s>,fr
8,on_p50,1000,1,9,"A partir que vous recevez une nouvelle lettre, vous êtes en droit d’agir en justice. En général, vous devez agir dans un délai d’un an après la réception de la lettre de l’organisme de recouvrement.
Si vous donnez de votre temps, vous pouvez même vous défaire économiquement de votre dette et de vos frais",0.8727830815299998,,,</s>,fr
9,on_p50,1000,1,10,"Introduction
Devised more than a century ago, the sea opinion is an important concept in the management of marine resources. It is a legal position which a particular state or group of states may adopt. This state or group of states, which represents the ""state of the sea"", may similarly adopt the opinion of",0.8727830815299998,,,</s>,fr
10,on_p50,1000,1,11,"Il y a un peu moins de 2 mois, j’ai eu la chance de recevoir dans le cadre du #parcosansabois de #coupducarbon 🌿 un joli coffret « Essentiels » avec produits à la cire de soja 🥕 et huile…
Découvrez notre",0.8727830815299998,,,</s>,fr
11,on_p50,1000,1,12,"A partir del 1 de octubre del 2014, los autónomos, y en particular los que desarrollan su actividad por cuenta propia, que tributen como personas físicas y no facturen más de 6.000 euros, podrán dedujerse, en su declaración del IRPF, la aportación a la Seguridad Social que les corresponda",0.8727830815299998,,,</s>,fr
12,on_p50,1000,1,13,"Por todo isso, hoje identificamos principalmente 4 núcleos para unificar, agregar e centralizar. Voltaremos a abordar essa forma de organização a partir do capítulo 3 “Organizar, Concentrar e Unificar”.",0.8727830815299998,,,</s>,fr
13,on_p50,1000,1,14,"En tout cas merci pour cette nouvelle série en plein dans le actuel. Et pour tout ce que tu nous as appris au fil des ans, les connaissances que j’ai accumulé et puis surtout la actualité et la créativité du blog qui m’a beaucoup appris aussi. Merci beaucoup pour tout, à bientôt!!
L’objectif de cette prestation",0.8727830815299998,,,</s>,fr
14,on_p50,1000,1,15,"♥ Inspiration for this look is a casual summer kimono style outfit I wore for a wedding reception in South Korea. Designed by Yuki Sato, the kimono-inspired ensemble is a perfect dress for a bridal shower, or something a bit more casual than a wedding. I found this kim",0.8727830815299998,,,</s>,fr
15,on_p50,1000,1,16,"Introduction
The first symptoms of cancer are typically vague, non-specific. Pain and other gastrointestinal symptoms are the most common symptoms; however, pain can seem non-specific and can be caused by a wide array of conditions. Importantly, pain is a self-experienced symptom, and is not necessarily linked to physical damage",0.8727830815299998,,,</s>,fr
16,on_p50,1000,1,17,"Cette dexterité lui permet notamment de doubler aisément n’importe quel obstacle et aussi de sortir de un groupe (Aragorn ou Gandalf). Cette agilité lui permet aussi d’esquiver les projectiles et même d’opérer des sauts qui pourraient être dangereux à une autre vitesse.
Cette maitrise du corps",0.8727830815299998,,,</s>,fr
17,on_p50,1000,1,18,"Après avoir franchi un premier cap avec la sortie du livre Post-Internet et de la révolution numérique en 1994, et d’avoir tenté un retour au préface en 1999, l’ouvrage de Pierre Cardini, qui porte désormais le titre de Post-Internet : une crise de la raison, et qui sera publié en France en",0.8727830815299998,,,</s>,fr
18,on_p50,1000,1,19,"Les bateaux de croisière à l’ancienne ou traditionnels, sont de nouveau à la mode, mais à une condition : ils doivent être mis à l’eau dans les eaux territoriales et non à la vue des navires qui peuvent perturber leur bon fonctionnement. En effet, dans Pornic, les bateau de croisière sont souvent en",0.8727830815299998,,,</s>,fr
19,on_p50,1000,1,20,"3.5. Si el Usuario no se opone al tratamiento de sus datos con finalidades publicitarias, marketing directo: en caso de que el Usuario no se oponga al tratamiento de sus datos con finalidades publicitarias, marketing directo; Asegurés* puede comunicar sus datos a sus Herederos,",0.8727830815299998,,,</s>,fr
20,on_p50,1000,1,21,"Pour une fois que les sportifs français se mobilisent vraiment, c’est vrai que les résultats sont là! bravo les bleus!
Les sportifs français se mobilise pour les autres….La seule façon de voir les français comme des français c’est en s’impliquant.
Une fois de plus, la France se porte bien! Les",0.8727830815299998,,,</s>,fr
21,on_p50,1000,1,22,"Le fait que tout cela soit déjà dans ce pays me semble pour le moins suspecte. On voit mal le gouvernement français vouloir faire du tort à notre peuple ou à notre armée.
Je suis tout à fait d’accord avec vous, le fait que l’Algérie soit un Etat de droit et de démocratie et qu’elle respecte les lois et",0.8727830815299998,,,</s>,fr
22,on_p50,1000,1,23,"On sait que Marshall et ses copains, à l’occasion du concert à l’Alhambra à Paris, le 26 mars, sont just in case … En fin de concert, après avoir pris la route de retour dans un «e = mc²» de grande classe, les Pixies ont écrit à leur manager pour lui",0.8727830815299998,,,</s>,fr
23,on_p50,1000,1,24,"﻿/*
 * Created by SharpDevelop.
 * User: ntian
 * Date: 2014/5/9
 * Time: 22:07
 * 
 * To change this template use Tools | Options | Coding | Edit Standard Headers.
 */
namespace Unifi.Monitor.Interface
{
	partial class EditCisco",0.8727830815299998,,,</s>,fr
24,on_p50,1000,1,25,"Le projet est réalisé dans les locaux du Nœud du Sud : une association fondée en 1992 qui s’est donné pour vocation de développer des dynamiques sociales et culturelles en région grenobloise et plus largement en Isère dans les domaines du spectacle vivant, du cinéma, des arts et du patrimoine. Le Nœud du",0.8727830815299998,,,</s>,fr
25,on_p50,1000,1,26,"Leur ambition : être le premier opérateur de services financiers au monde à proposer des produits innovants et des services de qualité à un large public.
Le groupe SOFICA compte 6600 collaborateurs et 2,5 millions de clients dans 31 pays et sur les continents de l’Amérique du Nord, du Moyen-Orient et de l’Afrique",0.8727830815299998,,,</s>,fr
26,on_p50,1000,1,27,"Mais voilà que, sur la plus haute marche du podium du podium des 10 meilleurs albums de hip-hop, le 11ème du classement, il y a… Kendrick Lamar. Vous vous souvenez? Oui, bien sûr, avec cette voix à la fois (super) aiguë et profonde, cette bouffée d’",0.8727830815299998,,,</s>,fr
27,on_p50,1000,1,28,"Un lieu pour des soirées, des apéros, des petits déjeuners, des grillades ou encore des repas. Les vins sont à base des raisins des vignes du domaine, et le tout est réalisé dans un décor moderne et agréable.
Le Cassis est une ville où les commerces et entreprises sont",0.8727830815299998,,,</s>,fr
28,on_p50,1000,1,29,"PHPDoc fournit modèles qui vous guideront dans la rédaction de vos messages de documentation. Cela vous aidera à améliorer la structure et les contenus de vos fichiers de documentation. Voici un exemple de comment un message de documentation est produit à partir de PHPDoc:
Dans cet exemple, tout le code du projet est document",0.8727830815299998,,,</s>,fr
29,on_p50,1000,1,30,"La Zona Norte, queueillement appelée « guinguette » en raison de la fréquentation des jeunes et des moins jeunes par les bars et les restaurants du Boulevard des Capucins et du Boulevard des Italiens, demeure un des pôles importants de la vie nocturne. Parmi les établissements de cette zone, on compte",0.8727830815299998,,,</s>,fr
30,on_p50,1000,1,31,"“Plusieurs des [signataires des] 14’000 arrestations dont je parle […] sont des journalistes et des blogueurs qui ont été arrêtés lors de manifestations à Douala, à Yaoundé et dans d’autres villes du Cameroun. Nous représentons des individus qui ont été injustement arrêtés, sans mandat et sans aucune",0.8727830815299998,,,</s>,fr
31,on_p50,1000,1,32,"Les PME et les PMI ont pour mission de créer ou développer une entreprise et leur gestion requiert certaines compétences et savoir-faire spécifiques. En dépit de la tendance de l’entrepreneuriat, l’évolution des spécialisations et des compétences demande à ce que les PME et PMI aient à leur disposition des gestionnaires et",0.8727830815299998,,,</s>,fr
32,on_p50,1000,1,33,"Charles, le beau-frère de Viateur, lui avait aussi fait jouer les trouble-fêtes. Il avait été reçu à l’Opéra avec une grande réserve : tout le monde le trouvait trop jeune et lui avait fait une vive liste des noms de ceux avec lesquels il avait déjà été en compagnie. Il avait alors fait",0.8727830815299998,,,</s>,fr
33,on_p50,1000,1,34,"- Ah, bien sûr. Mais vous...[Silence. L'épée est dans son carquois. Trebuchet à la main, il la place dans un étui et la sort.]
- Un autre. Un autre que j'ai fait refaire il y a deux ou trois ans, par un",0.8727830815299998,,,</s>,fr
34,on_p50,1000,1,35,"Dung dịch tẩy rửa, hoá chất, chất giặt tẩy, từ nhà sản xuất bị phát hiện có chứa chất N-nitroso. Nguyên nhân được xác định là do sự cố kỹ thuật - Ảnh: động thổ
Chiều 8.2, công ty TNHH Môi trường và công viên xanh Việt Nam (đơn vị",0.8727830815299998,,,</s>,fr
