,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,20000,1,1,"
El 2018 began on the one with the postponing of the I.e. a. the present year due to the Ob'. it therefore the on the one with the postponing of the first and the second & the one with the postponing of the second and the second and the one with the postponing",0.27020294569465,,,</s>,en
1,on_p50,20000,1,2, the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the,0.27020294569465,,,</s>,en
2,on_p50,20000,1,3, the last one which revealed the even better that any one of the two that this one of the two that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the one that the,0.27020294569465,,,</s>,en
3,on_p50,20000,1,4, the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the two the the the in the the the the with the the in the the the the the the the the the the the the the the,0.27020294569465,,,</s>,en
4,on_p50,20000,1,5, and 12 getting together with a new and the culture of the advice and the culture of the not and the the culture of the member as the and the and the and the and the and the and the and the and the and the and the and the and the and the and the and the and the and the and the,0.27020294569465,,,</s>,en
5,on_p50,20000,1,6, the amazing and the the amazing how to described how to describe how to tell how to tell the how to described how to to and the the the the the the the the the the the the the the the the the the the the the the the the so the the the the the whether the the the the off the the,0.27020294569465,,,</s>,en
6,on_p50,20000,1,7, the Are a a the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the over the on the the the the years in the the the in the the the and the the in the made the the the,0.27020294569465,,,</s>,en
7,on_p50,20000,1,8, of the present and its analogy of the future questions intrac belong of the present and its analogy of the future questions intrac belonging of the present and its analog in their relation of the present and its analog in their relation of the present and its analog in their relation of the present and its analog in their relation of the present and,0.27020294569465,,,</s>,en
8,on_p50,20000,1,9,", since que most of the right away intro.
, because you will not want to pay this again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again again",0.27020294569465,,,</s>,en
9,on_p50,20000,1,10, the make up become extremely high and in spite of of the sea opinion that the make up graduation become extremely powerful and the work make up become very high and in spite of of the make up become extremely high and in spite of the make up become extremely high and in spite of the make up becoming extremely high and in,0.27020294569465,,,</s>,en
10,on_p50,20000,1,11, the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the one and the,0.27020294569465,,,</s>,en
11,on_p50,20000,1,12, or you can to how this or you can to a man right is able to where the or the them some in the it and the they from the or the they from the or the they from the which it and the them or the and their or the and their or the and their or the and their or the and,0.27020294569465,,,</s>,en
12,on_p50,20000,1,13, the are a a the are a the are a the are a the are a the are a the is is is is is is is is is is is is is is i is is is is i is is is is is is is is is is is is is is is is is is i is i is is is,0.27020294569465,,,</s>,en
13,on_p50,20000,1,14, the we are a members of the first of the living with the first of the of the first of the of the of the of the of the of the of the of the of the of the of of the of the of the of the of the of the of the of the of the of the of the of the,0.27020294569465,,,</s>,en
14,on_p50,20000,1,15, the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the can of the,0.27020294569465,,,</s>,en
15,on_p50,20000,1,16, the last thing that you can say when they are a good to me after they my them every time you can say when they are a good you can say when their they can to be a very cold and cold and cold and cold and cold and cold and cold and cold and cold and cold and cold and cold and cold,0.27020294569465,,,</s>,en
16,on_p50,20000,1,17, this single on the scene of this single on the scene of this single on the scene of this single on the scene of this single on the scene of this single on the scene of this single on the scene of this single on the scene of this single on the scene of this single on the scene of this single on the,0.27020294569465,,,</s>,en
17,on_p50,20000,1,18, the inherent the the the inherent the the inherent the the inherent the the inherent the the inherent the the inherent the the inherent the the inherent the the inherent the the inherent the the inherent the the inherent the the inherent the the inherent the the inherent the the the the rising the the increasing the the the the which the the the,0.27020294569465,,,</s>,en
18,on_p50,20000,1,19, when of the making of the getting of the what of the and the of the found the blade of the and the not the that of the of the by the of the what of the and the of the of the that of the what of the and the of the not the that of the and the of the that of,0.27020294569465,,,</s>,en
