,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"Anzeiger die Februar 2010 in der Welt
Weihenstephan hohen, er ist nicht mit Russland' gescheitert.
Shall we vone?
Quelle das es nach der Fäter?
Mit der Fäter?
Das ist vorbei!
Fallen von der F",0.98761676338,,,</s>,de
1,on_p50,1000,1,2,"/*
 *  Copyright (C) 2005 - 2006 Deutsches für Konsolen, Elektronik und
 *  Nachrichtenverbindung (BIBN), Heinrich Heftl
 * 
 *  Dieser Logic ist der Neue 1812 gezeigte computer für BIBN.
 *
 * ",0.98761676338,,,</s>,de
2,on_p50,1000,1,3,"Siege, o Die Gut der kämpfer, se sitúa en 1573, en la Baja-Alemania, um die Zeit der Antike auf sich einzelner oder underseite der sicher ist und unsere Zeit und unsere Zeitaufserträge, die sicher auf der",0.98761676338,,,</s>,de
3,on_p50,1000,1,4,"TOMATE: Fusilli mitten ou Creamstutze, Schnapps, Gesundheit, Vahin, Kolak, Hänrs, Hänrs Hänrs, Klosterheben, Smallchok, Schmecke, Schmecke Hänrs, H",0.98761676338,,,</s>,de
4,on_p50,1000,1,5,"3. Betrachtung der allgemeinen licht- oder aufgrund der notwendigen str_replace functions über den originalfalls vergleichgten Text der Bild auf der in der Bilderartikel angezeigten dessen „besuchten"""" dann auf den vergleichgerichteten Text der Bild",0.98761676338,,,</s>,de
5,on_p50,1000,1,6,"module ngVerwaltung
  module DownloadSummary
    include Einfügen
    erzeugte
      arbeiten_verwaltung.tabellen_detail
    end

    def abm(través_verwaltung)
      zipper.abm.füge übergeben, oben sicher

      durch_f",0.98761676338,,,</s>,de
6,on_p50,1000,1,7,"Neuromorphisms
Neuromechanische Verzeichnisses (NMV) der nachgleichende Neustadt der alten nachgleichende Neustadt der Alten nachgleichende Neustadt der Paläontologie und der für die Kognitive-, anklogische-",0.98761676338,,,</s>,de
7,on_p50,1000,1,8,"Apresesung dessen sicher auf die erfolgende Energiewerbe im Vorderen der Stadt im 20. Jahrhundert in der Stadt und in der oder in der Stadt, deren Energien für die Stadt schwerer sind, aber für alle diese Energien henein und der",0.98761676338,,,</s>,de
8,on_p50,1000,1,9,"A partir que você der a ordem de colocação, a negociação é final. Os preços de compra e venda são gerados em segundos, você não tem que esperar pelo final das 2:30 am ()- 05:00 am () hoje para poder começar a operação. In der Aktäle der Vkontakte sind die Akt",0.98761676338,,,</s>,de
9,on_p50,1000,1,10,"Q.8.1 b) Le technischen, die sea opinionen und die dziaußplöse der workzell vornehmen ist, für damit der verbindung der tausendliche clienten zu begrenzten ist, and wo der corpora konzentrierter und makin",0.98761676338,,,</s>,de
10,on_p50,1000,1,11,"Wennt es sicher als er ist, dass der an dax ist, ist sich rabatten der akzeptionen der besonders:
""Er ist für aber auch wirklich ein ersten anders anders einfache sicht als er ist. Das für geboren werden sicher",0.98761676338,,,</s>,de
11,on_p50,1000,1,12,"A entsetzung kräftig Appetit. Marx ist mir hinauf die geschlosseneren transition aufgewieser ist, ist es nicht sicher, wie dem dem vorübergehenden gebädigten zhurtig dereske, wird sich im das yahrtig dessen h",0.98761676338,,,</s>,de
12,on_p50,1000,1,13,"Por eso antes de nada tienes que elegir un método para hacerte con los datos. Es posible que te encuentres con que la plataforma en la que desees registrarte no sea un portal de inversión profesional, ni un legitichtwebsite.",0.98761676338,,,</s>,de
13,on_p50,1000,1,14,Merkuri und seine nee der ende aktiv wie kleine SOS o die ende aktiv wie kleine Bitte bevor sie Weitere Bitte bevor sie auf Weitere Bitte bevor sie auf Wiener Klaas winkeln und winkeln mit der säulen. W,0.98761676338,,,</s>,de
14,on_p50,1000,1,15,"♥ Inspiration, moderne et décontractée. Un look décontracté, idéal pour le quotidien, à la fois sobriwe et original.",0.98761676338,,,</s>,de
