,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"Blitzkrieg – The Secret Guest
Spire of the Living Dead, The
Slaytrixx
British Death Metal troop BLIZZKRIEG make no bones about the fact that they regard the then very influential BATHORY (Beware the BATH",0.98777437697,,,,fr
1,on_p50,1000,1,2,"« First « 1 2 3 » Last » 152 pages of 404
Chronorium : Chronicles of the Artificers - Chapter 75: ""Santa's Magic""
Posted by: MissedFreedom
The Mage pursed her",0.98777437697,,,,fr
2,on_p50,1000,1,3,"« The Tale of the Brave Prince and the Bold Princess | Main | The Tale of a Girl who was Tired of Everything and Wanted to be a Bird »
Today's tale is ""Little Red Hen"" (La petite moucheronne). It was first published in",0.98777437697,,,,fr
3,on_p50,1000,1,4,"« 12/23/16: Merry Christmas!
Father’s Day »
By Eric Kessler, on June 20th, 2016
“This is a great gift to our community,” said John Taylor, Commissioner of Cultural Affairs, “And",0.98777437697,,,,fr
4,on_p50,1000,1,5,"Rev. John (Jack) Allan Baird
Jack Baird departed this mortal life at home on Wednesday, August 2, 2017 at the age of 89.
He was born May 10, 1928 to the parents of",0.98777437697,,,,fr
5,on_p50,1000,1,6,"19 Serious Reasons to Visit Canada
Of course, you need to see Niagara Falls. And the Northern Lights. And drive the Cabot Trail. But there’s a lot more to see, do and eat in Canada.
Sailing Canada's Fj",0.98777437697,,,,fr
6,on_p50,1000,1,7,"« The AI’s Social Media Predictions
Here’s a quick webinar on that which was sent to me by a mother of one of my students. I think it’s something everyone should see.
Click here to view: https://www.youtube.com/watch?v=D",0.98777437697,,,,fr
7,on_p50,1000,1,8,"Home > Opinion > 609-word-genre-fiction
“Protagonists from genres like romance, mystery, science fiction, and young adult fiction echo life and the literary joys that are waiting to be translated to the screen.”
— Kristian Sandberg, “",0.98777437697,,,,fr
8,on_p50,1000,1,9,"« F as in France (1952)
Sans Chaleur et Faim (1910) »
F for Fake (1973): C
If you like convoluted, self-serious, avant-garde filmmaking that has nothing to do with",0.98777437697,,,,fr
9,on_p50,1000,1,10,"« Peanut Gallery
An Opinion Is Just an Opinion »
The airline I’ve decided to use for my upcoming trip to Washington (and possibly a couple other places in between) is known for their customer service, their belief that they serve the customer, and their generally good employee",0.98777437697,,,,fr
10,on_p50,1000,1,11,"A Grammar of the Burmese Language
By U Lac Kham
Ancient history of Hindustan: From the first invasion of India by the Aryans
By L. M. Joshi
The Ancient History of India
By Edward Moor
Fragments of Ancient History of",0.98777437697,,,,fr
11,on_p50,1000,1,12,"# Xã Little Falls, Quận Minnehaha, Nam Dakota

Xã Little Falls (tiếng Anh: Little Falls Township) là một xã thuộc quận Minnehaha, tiểu bang Nam Dakota, Hoa",0.98777437697,,,,fr
12,on_p50,1000,1,13,"The Malta-based company has released an updated version of its E-mail Marketing solution
Everest is going stronger following the release of its new version of its E-mail Marketing solution.
The Everest Group, a consulting and marketing company based in Malta, has unveiled",0.98777437697,,,,fr
13,on_p50,1000,1,14,"News Archive for Samsung
P6900 - 24 July 2015 - 1 comments
South Korean electronics giant Samsung has now officially released its new flagship smartphone - the Galaxy S6. The new phone is a real return to the successful design of the",0.98777437697,,,,fr
14,on_p50,1000,1,15,"package com.github.jxm.sdk.client;

import com.github.jxm.sdk.model.Response;
import org.slf4j.Logger;
import org.slf4j.LoggerFactory;

import java.io.IOException;
import",0.98777437697,,,,fr
15,on_p50,1000,1,16,"Tags: python, pytorch, type-hinting

Question: Could not infer type of TorchTensor ""input""

I'm using this model:

\begin{code}
class Composition:
    def __init__(self):
        self.next_",0.98777437697,,,,fr
16,on_p50,1000,1,17,"# ガラスの城

『ガラスの城』（カステラのじょう）は、福田瞳による小説。『小説新潮』において、第23回長編新人",0.98777437697,,,,fr
17,on_p50,1000,1,18,"# 1997 Barcelona Ladies Open – Doubles

Mary Pierce and Caroline Wozniacki were the defending champions but only Wozniacki competed that year, partnering Julie Halard.

Wozniacki and Halard lost in the final 6–4",0.98777437697,,,,fr
18,on_p50,1000,1,19,"Our one of a kind 100% pre-shrunk cotton flannel shirt is guaranteed to keep you warm and comfy this winter, and beyond!
You're viewing the mens fit, but we also offer a unisex fit and a women's fit.",0.98777437697,,,,fr
19,on_p50,1000,1,20,"# Gheorghe Hagi

Gheorghe ""Gică"" Hagi (Bălăuți, 5 de agosto de 1965) è un calciatore, dirigente ed ex calciatore di calcio a 5 ed ex calciatore di calcio a 5, tecnico di",0.98777437697,,,,fr
20,on_p50,1000,1,21,"Public domain software, hackers and the GPL
GPL software is hatred incarnate.
That is the opinion of a freedom-loving, libertarian outfit recently featured in the Guardian.
The quote, which appears on the “About” page of the organisation’s website, is part",0.98777437697,,,,fr
21,on_p50,1000,1,22,"Enhanced OpenStreetMap web map (beta)
OpenStreetMap's web map allows you to view and explore the world's geographical data. You can use it to visualise the extent of the OpenStreetMap project, as well as navigate to street level detail in any part of the",0.98777437697,,,,fr
22,on_p50,1000,1,23,"« Three days in Victoria BC by bike lanes
On the opening night of the Expo79 cycling exhibition »
Did you know that the memorial opening of the new Seafair Bridge in Victoria BC on August 31st, 1975 was one of the 10",0.98777437697,,,,fr
23,on_p50,1000,1,24,"# Jean-François Boissière

Jean-François Boissière, dit aussi Jean-François Boisseire, né le 21 novembre 1713 à Babeuf et mort le 29 novembre 1777 à Paris, est un graveur et sc",0.98777437697,,,,fr
24,on_p50,1000,1,25,"Colour Vision Deficiency (CVD) is a way of seeing colours where one of the three basic colours (red, green, blue) is weak. CVD is a common genetic disorder affecting approximately 1 in 12 males with 1 in 200 females. Over",0.98777437697,,,,fr
25,on_p50,1000,1,26,"« Words Fail Me
The Hedge Funny »
Bad Witty
The Bloggess Express is wheels up
I’m writing this from the completely-not-comfortable, don’t-have-a-knee-to-lean-on-so-",0.98777437697,,,,fr
26,on_p50,1000,1,27,"The following are the complete results for the Los Angeles County Fair 2016 Art & Craft Fine Crafts Fibers from the mediums and categories shown here.
There are 49 fiber entries for the 2016 Los Angeles County Fair Fine Crafts Competition.",0.98777437697,,,,fr
27,on_p50,1000,1,28,"« Fleshing Out the ‘Street of Delights’
Thursday's Cool NYC Stories: Oct. 10, 2014 »",0.98777437697,,,,fr
28,on_p50,1000,1,29,"Home/Équipe/Ramón de la Fuente
CMO and CPO, ITCE
Ramón de la Fuente
RaMón De La Fuente is a Certified Public Accountant (CPA) and has a degree in Industrial Engineering. He joined the company in ",0.98777437697,,,,fr
29,on_p50,1000,1,30,"09/15/2018 08/20/2019 Posted in Interviews, Music, SpotlightTagged alternative, American, interview, Memphis, Music, Nashville, rock, singer-songwriter, The Rural
Jake C",0.98777437697,,,,fr
30,on_p50,1000,1,31,"« The Reason For the Season
The Quiet Ones »
“No! You fool, it’s true! That’s what I’m doing here! I’m saving her! Giving her back to her fah-ther!”
“Her fah-ther?”
“The",0.98777437697,,,,fr
31,on_p50,1000,1,32,"« Thoughts on Some of the Easter Programs
by David Fitch, in Easter, Missional Church, Society of Evangelical Arminians	»
Thoughts on Some of the Easter Programs
March 31, 2016 by David Fitch
",0.98777437697,,,,fr
32,on_p50,1000,1,33,"« INTERVIEW WITH FORMER ASYLUM SEEKER MOHAMMED HUSSEIN
MARY HOWARD: CHICAGO TEACHERS STRIKE WAS ALL ABOUT MONEY »
MICHAEL HUTCHEN",0.98777437697,,,,fr
33,on_p50,1000,1,34,"Home » News » WWE News, WWE Rumors and Spoilers » Seth Rollins Reveals How He Almost Died in a Consumer Product
Seth Rollins Reveals How He Almost Died in a Consumer Product
WWE star Seth Rollins spoke with Crown",0.98777437697,,,,fr
34,on_p50,1000,1,35,"Tags: vector-spaces

Question: How does a vector space behave like a vector space?

I have a question: a vector space is defined in the following way:

\begin{blockquote}

An ordered set where the operation is defined for every pair of
  elements
\end",0.98777437697,,,,fr
35,on_p50,1000,1,36,"« Tips On Surviving The Great Recession
2 Ways to Make Money in The Recession »
Staying Safe in the Recession
April 15th, 2009 by Sarah St. John
With job and housing losses, stagnant wages",0.98777437697,,,,fr
36,on_p50,1000,1,37,"« The Current State of Austin
Publisher Weekly on the State of the Book »
The State of the Book in the USA
Published August 15, 2008	Blogroll, Books, Current, Economics, Education, Publishing 1 Comment
Tags: Book Publishing",0.98777437697,,,,fr
37,on_p50,1000,1,38,"# Вольф, Володимир Михайлович

Володимир Михайлович Вольф (1862—1922) — профессор, заведующий кафедрой, декан медицинского факультета Санкт-Петербургского университета, доктор медицинских наук",0.98777437697,,,,fr
38,on_p50,1000,1,39,"# Legend of the Lizzard

Legend of the Lizzard is the second studio album by Scottish rock band The Jesus and Mary Chain, released on 24 June 1993.

## Background

The album was released after the band's first tour in the",0.98777437697,,,,fr
39,on_p50,1000,1,40,"Tags: ios, core-data, core-data-migration

Question: Can't unlock coredata model

So i try to unlock coredata model with this method:

\begin{code}
NSAppTransportSecurity.begin();
NSMutableDictionary * parameters",0.98777437697,,,,fr
40,on_p50,1000,1,41,"« Back to Cavendish Bay, fourth day of our cruise
100th post »
Cavendish Bay – Third day
Saturday 26 June 2010 by Kara
Again, a calm, quiet-ish morning. We packed up the boat and",0.98777437697,,,,fr
41,on_p50,1000,1,42,"« Nigel Farage: Determined to stop the UK from voting for Brexit | Main | A high-profile Conservative Party donor has defected to UKIP »
Douglas Carswell: this is the battle for the future of Britain
Douglas Carswell is",0.98777437697,,,,fr
42,on_p50,1000,1,43,"« The Bookseller’s Tale
Posted May 4, 2011 by Angry Spud in Book Review, Books. Tagged: books, cooking, Kimberley Farr, Kepler's, love, reading, recipes, research, romance, science,",0.98777437697,,,,fr
