,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"Blitzkrieg – The Secret Guerrilla War in the Philippines, 1944-1945
The Secret Guerrilla War in the Philippines, 1944-1945
by: Quintin Smith
The Philippine guerrilla movement proved to be highly",0.088788585823,,,,de
1,on_p50,1000,1,2,"# 罗萨诺

罗萨诺（義大利語：），是意大利卡塞塔省的一个市镇。总面积9平方公里，人口2",0.088788585823,,,,de
2,on_p50,1000,1,3,"Systematic and comparative review of process in interprofessional education in healthcare
Ferdousi, D. M. and Hargreaves, N. and O’Neill, E. and Rafaeli, A. and Sweeney, R.
Background: Interprofessional education (I",0.088788585823,,,,de
3,on_p50,1000,1,4,"2020-09-15T23:20:13-04:00September 15th, 2020|News|
“This is a great example of how inventors can improve the care of patients. The international team of scient",0.088788585823,,,,de
4,on_p50,1000,1,5,"1. (See the previous post for more background information.)
I thought the title would be more exciting if I just named a bunch of cool things, or at least cool things I like.
2. Let’s start with rap.
For a while, I figured that rap music was one of",0.088788585823,,,,de
5,on_p50,1000,1,6,"19 Seriously Good Reasons to Visit Singapore
19 Seriously…
Singapore is arguably the best city in the world. It’s one of the safest, cleanest, and most technologically and culturally advanced. It’s also one of the most",0.088788585823,,,,de
6,on_p50,1000,1,7,"Tag Archives: The Darkness
While I was at Planet X, I decided to give the latest offering from The Darkness a go. I think I’ve only ever heard three songs and I know that their second album is their best (I think).
I did enjoy this, though, and I’",0.088788585823,,,,de
7,on_p50,1000,1,8,"be advised that you are about to submit forms on the Arizona Department of Education’s database. K-12 and higher education students and faculty can order the best available educational markdowns for books, software, computers, music, movies, and more.
Free Educational Activities. Free",0.088788585823,,,,de
8,on_p50,1000,1,9,"20 Things You Didn't Know About Coffee
1. It is not actually addictive.
2. It could be helpful when consumed in moderation.
3. It does not give you cancer.
4. It may actually help you live longer.
5. It",0.088788585823,,,,de
9,on_p50,1000,1,10,"2016 Apr 15 Comments Off on 6-Year-Old Boy’s Death in Connecticut School Bathroom Was an Accident, Police Say
The Hartford Courant reports that state police on Thursday said the death of a 6-year-old boy in a",0.088788585823,,,,de
10,on_p50,1000,1,11,"A Grammar of the Burmish Language
By U Lac Kham
Ancient history of Hindustan: Translated from the Persian of Firishta; with notes and an appendix, containing the Mahrati, Glossary, and rare tracts, vol. 1
",0.088788585823,,,,de
11,on_p50,1000,1,12,"# 上海市清河公园

清河公园是上海市浦东新区的一座公园。为浦东新区计划的公园。

## 外部链接",0.088788585823,,,,de
12,on_p50,1000,1,13,"The Malachite Room is located on the lower ground floor of the Main House. Occupying 114 sq m, the Malachite Room features a large window opening onto the front garden, which allows natural light to stream into the room.",0.088788585823,,,,de
13,on_p50,1000,1,14,U.S. Customs and Border Protection (“CBP”) recently issued a newly revised Cargo System Programming Interface (“C-SPI”) Test Plan (the “Test Plan”). This Test Plan is the quintessential technical document for all parties involved in testing the C,0.088788585823,,,,de
