,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: I never get to slow down and smell the roses.""
Target Language: ""I never get to slow down and smell the roses.""
English: ""I never get to slow down and smell the roses.""
Target Language: ""I never get to slow down and smell the roses.""
English: ""I never get to slow down and smell the roses.""
Target Language: ""I never get to slow down and smell the roses.""
English: ""I never get to slow down and smell the roses.""
Target Language: ""I never get to slow down and smell the roses.""
English: ""I never get to slow",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: A few. Probably about as many as there are creative people here.
Target Language: A few. Probably about as many as there are creative people here.
English: A few. Probably about as many as there are creative people here. Target Language: A few. Probably about as many as there are creative people here.
English: A few. Probably about as many as there are creative people here. Target Language: A few. Probably about as many as there are creative people here.
English: A few. Probably about as many as there are creative people here. Target Language: A few. Probably about as many as there are creative people here.
English: A few",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: There was a case study done in 1960s Britain,  when they were moving from grammar schools to comprehensive schools.
Target Language: There was a case study done in 1960s Britain, when they were moving from grammar schools to comprehensive schools.
English: The case study was done in 1960s Britain, when they were moving from grammar schools to comprehensive schools.
Target Language: The case study was done in 1960s Britain, when they were moving from grammar schools to comprehensive schools.
English: The case study was done in 1960s Britain, when they were moving from grammar schools to comprehensive schools.
Target Language: The case study was done in 19",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: It's been seen nearly 200 million times this year.
Target Language: It's been seen nearly 200 million times this year.
English: It's been seen nearly 200 million times this year. Target Language: It's been seen nearly 200 million times this year.
English: It's been seen nearly 200 million times this year. Target Language: It's been seen nearly 200 million times this year.
English: It's been seen nearly 200 million times this year. Target Language: It's been seen nearly 200 million times this year.
English: It'",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: We were told afterward that if that had gone through normal channels,  it would have taken at least two years  and it would have cost about two million dollars.
Target Language: 我们被告知，如果通过正常途径，那么这将耗费至少两年时间，并且花费约两百万美元。
I'm not sure if this is the correct translation.
I'm not sure if this is the correct translation. I'm not sure if this is the correct translation. I'm not sure if this is the correct translation. I'm not sure if this is the correct translation. I'm not sure if this is the correct",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: I became enamored of the power of evolution,  and I realized something very fundamental:  in most of the existence of life  in single-celled organisms,  each cell simply divides,  and all of the genetic energy of that cell  is carried on in both daughter cells.
Target Language: 我对进化的力量感到惊奇， 我意识到了一件很基本的事情： 在生命的大部分时间里， 单细胞生物的每个细胞都只是分裂， 所有的基因能量都在两个女儿细胞中传播。
I became enamored of the power of evolution, and I realized something very fundamental: in most of the existence of",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: And I studied in my little garret  at the nurses' residence at Toronto General Hospital,  not far from here.
Target Language: అందుబాటు మరియు మా పొట్టి గారెట్టు తోరన్టో జానరాల్",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: Another flash alerts you to an open receiver.
Target Language: 另一个闪光警告你一个打开的接收器。
English: The receiver is open.
Target Language: 接收器打开了。
English: The receiver is closed.
Target Language: 接收器关闭了。
English: The receiver is in the process of opening.
Target Language: 接收器正在打开。
English: The receiver is in the process of closing.
Target Language: 接收器正在关闭。
English: The receiver is in the process of",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: It's about time. Thank you.
Target Language: 它是时候了。谢谢。
I'm not sure if I'm doing this right.
I'm not sure if I'm doing this right. I'm not sure if I'm doing this right. I'm not sure if I'm doing this right. I'm not sure if I'm doing this right. I'm not sure if I'm doing this right. I'm not sure if I'm doing this right. I'm not sure if I'm doing this right. I'm not sure if",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: Then if you drive over the road, you take out the aggregates --  what we just saw here.
Target Language: 如果你驾车经过这条路，你就要把这些粗粒混凝土挖出来。
English: And then you take out the aggregates.
Target Language: 然后你就要把这些粗粒混凝土挖出来。
English: And then you take out the aggregates, and you put in the cement.
Target Language: 然后你就要把这些����",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
10,on_p50,0,1,11,"Translate an English sentence into a target language.
English: Raise your hand if you're in your 20s.
Target Language: 你们20岁吗？
I'm not sure if this is correct.
I'm not sure if this is correct. 你们20岁吗？
@Jenny: 你们20岁吗？
@Jenny:
你们20岁吗？
@Jenny: 你们20岁吗？
@Jenny: 你们20岁吗？
@Jenny: 你们2",0.0,,,translation_text_iwslt2017_en_ja.pkl,ja
