,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
English: The nucleus is the center of the atom.
Target Language: The nucleus is the center of the atom.
English: The nucleus is the center of the atom. The nucleus is the center of the atom.
Target Language: The nucleus is the center of the atom. The nucleus is the center of the atom.
English: The nucleus is the center of the atom. The nucleus is the center of the atom. The nucleus is the",0.5373920299745,,,translation_text_flores200_en_es.pkl,es
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: Los insectos pueden contaminar los alimentos, causar irritación, o en el peor de los casos causar reacciones alérgicas, transmitir veneno, o causar infecciones.
English: The pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: Los insectos pueden contaminar los alimentos, causar irritación, o en el peor de los casos causar reacciones alérgicas, transmitir veneno",0.5373920299745,,,translation_text_flores200_en_es.pkl,es
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: El comportamiento a menudo resulta en desacuerdos entre los líderes y el resto del equipo.
English: The team is made up of a diverse group of people.
Target Language: El equipo está formado por una diversa gente.
English: The team is made up of a diverse group of people.
Target Language: El equipo está formado por una diversa gente.
English: The team is made up of a diverse group of people.
Target Language: El equipo está formado por una diversa gente.
English: The team is made up of a diverse group",0.5373920299745,,,translation_text_flores200_en_es.pkl,es
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: El italiano es también el idioma cotidiano de los que trabajan en el estado y el latín es utilizado en los rituales religiosos.
English: The Spanish language is the most widely spoken language in the world.
Target Language: El español es el idioma más hablado del mundo.
English: The Spanish language is the most widely spoken language in the world.
Target Language: El español es el idioma más hablado del mundo.
English: The Spanish language is the most widely spoken language in the world.
Target Language: El español es el idi",0.5373920299745,,,translation_text_flores200_en_es.pkl,es
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: El aprendizaje basado en proyectos debería hacer que el aprendizaje sea más fácil y más interesante, pero el soporte va más allá.
English: The teacher will provide the students with a list of vocabulary words to study.
Target Language: El profesor proporcionará a los estudiantes una lista de palabras a estudiar.
English: The teacher will provide the students with a list of vocabulary words to study. The students will study the words and then take a quiz on the words.
Target Language: El profesor proporcion",0.5373920299745,,,translation_text_flores200_en_es.pkl,es
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: El Estado de la Ciudad del Vaticano tiene una población de alrededor de 800. Es el país más pequeño del mundo y el país con la población más baja.
English: The Vatican City is the smallest country in the world.
Target Language: El Estado de la Ciudad del Vaticano es el país más pequeño del mundo.
English: The Vatican City is the smallest country in the world. It is the smallest independent country in the world and the country with the lowest population.
Target Language: El Estado de la Ciudad del Vaticano es el país más",0.5373920299745,,,translation_text_flores200_en_es.pkl,es
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants y de plantas y nosotros hacemos nuestras ropas de plantas y la mayoría de los alimentos que comemos son plantas y sin plantas los animales no podrían sobrevivir.
English: We make our houses from plants y de plantas y nosotros hacemos nuestras ropas de plantas y la mayoría de los alimentos que comemos son plantas y sin plantas los animales no podrían sobrevivir.
Target Language: We make our houses from plants y de plantas y nosotros ha",0.5373920299745,,,translation_text_flores200_en_es.pkl,es
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: Por la distancia de la tierra del continente los mamíferos no pudieron hacer el viaje y el tortuga gigante se convirtió en el animal principal de la alimentación en las Galápagos.
English: The Galapagos Islands are located in the Pacific Ocean, 600 miles from the coast of Ecuador.
Target Language: Las Islas Galápagos se encuentran en el océano Pacífico, a 600 millas de la costa de Ecuador.
English: The Galapagos Islands are located in the Pacific Ocean",0.5373920299745,,,translation_text_flores200_en_es.pkl,es
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: Nada puede ser visto más que el cielo claro y hermoso y las montañas alrededor. Nada de este mundo puede ser visto o oído desde dentro de la cueva.
English: The sky is clear and beautiful.
Target Language: El cielo está claro y hermoso.
English: The sky is clear and beautiful. The mountains are all around.
Target Language: El cielo está claro y hermoso y las montañas están alrededor.
English: The sky is clear and beautiful. The mountains are all around. The cave is dark.
",0.5373920299745,,,translation_text_flores200_en_es.pkl,es
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: El conductor del vehículo que impactó con el fotógrafo no está probablemente a enfrentar cargos criminales.
English: The driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: El conductor del vehículo que impactó con el fotógrafo no está probablemente a enfrentar cargos criminales.
English: The driver of the vehicle that hit the photographer is not likely to face criminal charges.
Target Language: El conductor del vehículo que impactó con el fotógrafo no está probablemente a en",0.5373920299745,,,translation_text_flores200_en_es.pkl,es
