,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language. English: I never get to slow down and smell the roses."" Target Language: 日本語",0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
1,on_p50,2000,1,2,Translate an English sentence into a target language. English: A few. Probably about as many as there are creative people here. Target Language: English.,0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
2,on_p50,2000,1,3,"Translate an English sentence into a target language. English: There was a case study done in 1960s Britain, when they were moving from grammar schools to comprehensive schools. Target Language: English.",0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
3,on_p50,2000,1,4,Translate an English sentence into a target language. English: It's been seen nearly 200 million times this year. Target Language: Japanese.,0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
4,on_p50,2000,1,5,"Translate an English sentence into a target language. English: We were told afterward that if that had gone through normal channels, it would have taken at least two years and it would have cost about two million dollars. Target Language: Japanese.",0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
5,on_p50,2000,1,6,"Translate an English sentence into a target language. English: I became enamored of the power of evolution, and I realized something very fundamental: in most of the existence of life in single-celled organisms, each cell simply divides, and all of the genetic energy of that cell is carried on in both daughter cells. Target Language: 日本語",0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
6,on_p50,2000,1,7,"Translate an English sentence into a target language. English: And I studied in my little garret at the nurses' residence at Toronto General Hospital, not far from here. Target Language: English.",0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
7,on_p50,2000,1,8,Translate an English sentence into a target language. English: Another flash alerts you to an open receiver. Target Language: English.,0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
8,on_p50,2000,1,9,Translate an English sentence into a target language. English: It's about time. Thank you. Target Language: English.,0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
9,on_p50,2000,1,10,"Translate an English sentence into a target language. English: Then if you drive over the road, you take out the aggregates -- what we just saw here. Target Language: English.",0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
10,on_p50,2000,1,11,Translate an English sentence into a target language. English: Raise your hand if you're in your 20s. Target Language: Japanese.,0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
11,on_p50,2000,1,12,"Translate an English sentence into a target language. English: And the first project is something we did a couple of years ago in Zaragoza, Spain. Target Language: Spanish.",0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
12,on_p50,2000,1,13,"Translate an English sentence into a target language. English: And they're both accurate. Okay, but in addition, voice-based tests are non-expert. Target Language: English.",0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
13,on_p50,2000,1,14,Translate an English sentence into a target language. English: There's never been a time like this. Target Language: English.,0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
14,on_p50,2000,1,15,Translate an English sentence into a target language. English: And we also saw that they are very professionally engineered by people who obviously had all insider information. Target Language: English.,0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
15,on_p50,2000,1,16,Translate an English sentence into a target language. English: There are crazy examples from around the world of how people tweak and adjust the system. Target Language: English.,0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
16,on_p50,2000,1,17,"Translate an English sentence into a target language. English: Well it was a Friday, this is true. Target Language: 日本語.",0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
17,on_p50,2000,1,18,"Translate an English sentence into a target language. English: the majesty of the people of the United States may not be hazarded by an appearance of singularity, i.e., we don't want to look like bloody weirdos. Target Language: English.",0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
18,on_p50,2000,1,19,Translate an English sentence into a target language. English: We didn't have polio in this country yesterday. Target Language: 日本語.,0.534811878206,,,translation_text_iwslt2017_en_ja.pkl,ja
