,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,,0.08967821928400001,,,,en
1,on_p50,1000,1,2,UAE(UAE is an acronym for UAE),0.08967821928400001,,,,en
2,on_p50,1000,1,3,日本語が含まれない投稿は無視されますのでご注意ください。(スパム対策),0.08967821928400001,,,,en
3,on_p50,1000,1,4,"Billie Eilish: Caught on Tape, Fans Don't Want to Miss",0.08967821928400001,,,,en
4,on_p50,1000,1,5,"The very most affluent. America's wealthiest person doesn't have a lot of money,",0.08967821928400001,,,,en
5,on_p50,1000,1,6,A one-time Complaints...,0.08967821928400001,,,,en
6,on_p50,1000,1,7,,0.08967821928400001,,,,en
7,on_p50,1000,1,8,2ch - DVD - video - video games - online games - music - software - tv - wav,0.08967821928400001,,,,en
8,on_p50,1000,1,9,"We're Looking For That ""Someone"" (or a Couple) to Join us on Our 2018 Holiday Playdate!",0.08967821928400001,,,,en
9,on_p50,1000,1,10,"#32 Usually, this relaxes to the stimulation of the mind.#33 This relaxation is a long term process that develops over time.. #learntolive #sanantonio #innerself #consciousness #mindful #selflove #loveyourself #world #posit",0.08967821928400001,,,,en
10,on_p50,1000,1,11,Next post: A walk through the West End: San Francisco,0.08967821928400001,,,,en
11,on_p50,1000,1,12,"the term social media on which there was a discussion last week was ’social media’. i don’t think that’s a good term and, frankly, if i was the president of the united states and i’m talking about twitter, i would use it as such. but then you say it",0.08967821928400001,,,,en
12,on_p50,1000,1,13,,0.08967821928400001,,,,en
13,on_p50,1000,1,14,He’s nice to talk to. He’s adorable. He’s pretty. He’s dad friendly. He’s nice to talk to.,0.08967821928400001,,,,en
14,on_p50,1000,1,15,"Firefighters saluted 23-year-old Taco Bell employee, who was fired for standing up to the sheriff",0.08967821928400001,,,,en
15,on_p50,1000,1,16,raw cakes that are gluten free but have more protein.,0.08967821928400001,,,,en
16,on_p50,1000,1,17,These are all the other things that I asked of me.,0.08967821928400001,,,,en
17,on_p50,1000,1,18,"科学家在高中树立为学生重要科目进行重点培养我省部分省市:中考报考人数居全国首位,第一名等候的功率是17点",0.08967821928400001,,,,en
18,on_p50,1000,1,19,the best of everything,0.08967821928400001,,,,en
19,on_p50,1000,1,20,"in the fourth quarter of 2016 from Week/AMTV, and it's",0.08967821928400001,,,,en
20,on_p50,1000,1,21,The gutters in the home are yours to keep. We are a water damage restoration company and the contractors are licensed and insured to perform repairs. We are the go to window cleaning company for both residential and commercial properties. We are always on standby service.,0.08967821928400001,,,,en
21,on_p50,1000,1,22,,0.08967821928400001,,,,en
22,on_p50,1000,1,23,See all results (' + data.results_count + '),0.08967821928400001,,,,en
23,on_p50,1000,1,24,The best place to get your jobs.,0.08967821928400001,,,,en
24,on_p50,1000,1,25,Glass sliding door and glass partition door series for homes and offices,0.08967821928400001,,,,en
25,on_p50,1000,1,26,"According to the List of International Classification System for Machinery Parts, IMO is the world's largest membership-based organization for the design, development, manufacturing and supply of mining equipment.",0.08967821928400001,,,,en
26,on_p50,1000,1,27,Trending Now For The Week,0.08967821928400001,,,,en
27,on_p50,1000,1,28,"the spoilers are my own, while I'm in",0.08967821928400001,,,,en
28,on_p50,1000,1,29,This time I was told to put sunscreen in my face so it wouldn’t sparkle so much. It’s a really good idea.,0.08967821928400001,,,,en
29,on_p50,1000,1,30,"(Source: jibberish_rocks, via stankplayer)",0.08967821928400001,,,,en
30,on_p50,1000,1,31,what's good during a dating scan,0.08967821928400001,,,,en
31,on_p50,1000,1,32,ファッション好き。見てるだけで興奮しちゃうな。,0.08967821928400001,,,,en
32,on_p50,1000,1,33,"Yummy, simple and flattering!",0.08967821928400001,,,,en
33,on_p50,1000,1,34,(From outside the villa),0.08967821928400001,,,,en
34,on_p50,1000,1,35,Group CUSTOM 3D modeling experience in Hydrogeology and Geotechnical for predictive geotechnical design,0.08967821928400001,,,,en
35,on_p50,1000,1,36,"Effectively plumes of water will flow in and out of the river through bulkheads, bridges, sewers, water mains, and streams. This water is a source of livelihood and strength to our people.",0.08967821928400001,,,,en
36,on_p50,1000,1,37,,0.08967821928400001,,,,en
37,on_p50,1000,1,38,Is your Bernd  Wägemann-Stiftung gegründet?,0.08967821928400001,,,,en
38,on_p50,1000,1,39,"The Kora charts a fair share of Dutch traditional stitches, but also features a wide variety of knots, lanyards, and stitches. The first two editions were published in Holland in 1884 and 1886. Denmark and Sweden published the first editions in 1889.",0.08967821928400001,,,,en
39,on_p50,1000,1,40,,0.08967821928400001,,,,en
40,on_p50,1000,1,41,Support your local chapter,0.08967821928400001,,,,en
41,on_p50,1000,1,42,I would rather have a few other volunteers at my place.,0.08967821928400001,,,,en
42,on_p50,1000,1,43,"That's quite a deal. She is a normal dogged person, in her own terms.",0.08967821928400001,,,,en
43,on_p50,1000,1,44,health.gov. You'll find a lot of useful links here.,0.08967821928400001,,,,en
44,on_p50,1000,1,45,like we know what they're doing.,0.08967821928400001,,,,en
45,on_p50,1000,1,46,El pont de la República és un pont (rival d'Alpina) un pont (al de l'Alcúdia) amb un anella (al de l'Alcúdia),0.08967821928400001,,,,en
