,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: The target language of the original. The original language of the original.
The original language of the original. The original language of the original.
The original language of the original. The original language of the original.
The original language of the original. The original language of the original.
The original language of the original. The original language of the original.
The original language of the original. The original language of the original.
The original language of the original. The original language of the original.
The original language of the original. The original language of the original.
The original language of the original. The original language of the original.
The original",0.4586506036855,,,translation_text_flores200_en_es.pkl,es
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: English. The English translation of the original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is",0.4586506036855,,,translation_text_flores200_en_es.pkl,es
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the líderes and the rest of the team.
Eligible: This behavior oftentimes results in rifts between the líderes and the rest of the team.
Eligible: This behavior oftentimes results in rifts between the líderes and the rest of the team.
Eligible: This behavior oftentimes results in rifts entre el líder y el resto del equipo.
Eligible: This behavior detentimes result en rifts entre el líder y el resto del equipo.
Eligible: This behavior detentimes result en rifts entre el líder y el resto",0.4586506036855,,,translation_text_flores200_en_es.pkl,es
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: English is the lingua franca of the Estado de São Paulo, and Latin is the lingua franca of the Estado de Minas Gerais.
Elaboración de un proyecto de investigación para el desarrollo de una aplicación móvil para el uso de los sistemas de información y comunicación para el control de la calidad de los alimentos.
El objetivo de este proyecto de investigación fue el de desarrollar una aplicación móvil para el uso de los sistemas de información y comunicación para el control de la calidad de los alimentos. Para ello, el proyecto se basó en el uso de los sistemas de información y comunicación para el control de la calidad de los alimentos y en el desarrollo de una aplicación",0.4586506036855,,,translation_text_flores200_en_es.pkl,es
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: The target language of a proyecto debe ser el idioma del proyecto en el cual el estudiante esta estudiando.",0.4586506036855,,,translation_text_flores200_en_es.pkl,es
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: English. The Vatican City English Wikipedia page has a list of Wikipedia articles en español.",0.4586506036855,,,translation_text_flores200_en_es.pkl,es
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: English. The English translation of the original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is a translation of the original Spanish text. The original Spanish text is",0.4586506036855,,,translation_text_flores200_en_es.pkl,es
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: English. The tortoise is a tropical animal, and the Galápagos Islands are a tropical archipelago. The tortoise is a tropical animal, and the Galápagos Islands are a tropical archipelago. The tortoise is a tropical animal, and the Galápagos Islands are a tropical archipelago. The tortoise is a tropical animal, and the Galápagos Islands are a tropical archipelago. The tortoise is a tropical animal, and the Galápagos Islands are a tropical archipelago. The tortoise is a tropical animal, and the Galápagos Islands are a tropical archipelago. The tortoise is a tropical",0.4586506036855,,,translation_text_flores200_en_es.pkl,es
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: English. The Cave is a natural, unexplored, and unexplored area in the Sierra Madre Occidental, Mexico. The Cave is a natural, unexplored, and unexplored area in the Sierra Madre Occidental, Mexico. The Cave is a natural, unexplored, and unexplored area in the Sierra Madre Occidental, Mexico. The Cave is a natural, unexplored, and unexplored area in the Sierra Madre Occidental, Mexico. The Cave is a natural, unexplored, and unexplored area in the Sierra Madre Occidental, Mexico. The Cave is a natural, unexplored, and",0.4586506036855,,,translation_text_flores200_en_es.pkl,es
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: English.
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
Eliminate the “”
",0.4586506036855,,,translation_text_flores200_en_es.pkl,es
