,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2,1,1,"Позволявам си и аз да ви поздравя за вашето тържество. Наистина е много красиво, много духовно, много вдъхновяващо и все пак да кажем, че всъщност най-важното е какво изразяваме през тези дни.",0.54425157,,,,es
1,on_p50,2,1,2,UBIT(Units as Per Minute) is the number of seconds that a computer takes to complete a task. It is based on the amount of time spent by the user on a task.,0.54425157,,,,es
2,on_p50,2,1,3,日本語が含まれない投稿は無視されますのでご注意ください。(スパム対策),0.54425157,,,,es
3,on_p50,2,1,4,"“I have to admit, my reaction was, ‘I’m not even going to join the party.’” Ukip’s 58-year-old leader, who is a multiple-choice juror in the Ohio-based state Supreme Court, said he was “not in favour of the NHS",0.54425157,,,,es
4,on_p50,2,1,5,,0.54425157,,,,es
5,on_p50,2,1,6,"A one-time Compliance Adjustment fee of $2,000 will be charged to every credit reporting agency/Credit Manager/Credit Broker within the period of the fine.",0.54425157,,,,es
6,on_p50,2,1,7,,0.54425157,,,,es
7,on_p50,2,1,8,2ch - DVD - DVD + - VOD - VJ - Blu-Ray - VCD - 3D - CUE - 2CH - ANIMATION - SHOW - SHOPPING - PICTURES - BLU-RAY - VIDEO - MUSIC - AUDIO - INTERVIEWS - INTERVIEWS,0.54425157,,,,es
8,on_p50,2,1,9,We're Looking For a Successful Admin,0.54425157,,,,es
9,on_p50,2,1,10,,0.54425157,,,,es
10,on_p50,2,1,11,Next post: Morning walk,0.54425157,,,,es
11,on_p50,2,1,12,"Труп, пойманный на тайной камере, найден мертвым в Австралии",0.54425157,,,,es
12,on_p50,2,1,13,"Молоко йогуртов в йогуртнице омывается соусом и, что немаловажно, быстро растворяется в воде. Попробовать можно двумя способами.",0.54425157,,,,es
13,on_p50,2,1,14,吉林大学附属红山学院官网展馆于今年11月28日正式闭馆,0.54425157,,,,es
14,on_p50,2,1,15,"Malehumans are also more apt to exert dominance over predators than their predecessors. What is really important is that when you get to the point where you can simply go and let the other malehuman take over, that comes with it a lot of frustration.",0.54425157,,,,es
15,on_p50,2,1,16,"008453 - Accounting procedure for a firm of professional services with office in a village of Izmailovo, Tatarstan.",0.54425157,,,,es
16,on_p50,2,1,17,"Noun (acquirente di un ascendente, discendente o altro).",0.54425157,,,,es
17,on_p50,2,1,18,"科学家们建议,使用电视机当作吸烟器,以防产生烟雾。",0.54425157,,,,es
18,on_p50,2,1,19,_ How to find the right m5a language helper,0.54425157,,,,es
19,on_p50,2,1,20,in Castilla y León,0.54425157,,,,es
20,on_p50,2,1,21,もっとも、何らかのメディアの用語として、あるいは一時的に、情報収集のための言語として用いられている。,0.54425157,,,,es
21,on_p50,2,1,22,ดูหนังออนไลน์ ดูหนัง HD ฟรี ตัวอย่างหนังใหม่ ดูหนังชนโรง ดูหนังชนโรง ดูหนังชนโรง โลกภาพยนตร์ หนังชนโรง หนังชนโรง โลกภาพยนตร์ หนังชนโรง โลกภาพยนตร์ โลกภาพยนตร์ โลกภาพยนตร์ โลกภาพยนตร์ โลกภาพยนตร์ โลกภาพยนตร์ ภาพยนตร์ชนโรง โลกภาพยนตร์ ,0.54425157,,,,es
22,on_p50,2,1,23,နဲ့ ဖုန်း ကိုင်ထားပါ မည်။,0.54425157,,,,es
23,on_p50,2,1,24,11 best Taxis images on Pinterest Local taxis in ahmedabad,0.54425157,,,,es
24,on_p50,2,1,25,Glass and Ceramic Tile,0.54425157,,,,es
25,on_p50,2,1,26,Establishment of a domestic and international center for the research and education of the voice and the creative arts,0.54425157,,,,es
26,on_p50,2,1,27,Ευχαριστώ πολύ για την καταπληκτική συνταγή,0.54425157,,,,es
27,on_p50,2,1,28,"Като адвокат имам няколко задачи, които трябва да реша през уикенда и поне един да пробвам да кандидатствам за работа. И да завърша всичко правилно.",0.54425157,,,,es
28,on_p50,2,1,29,,0.54425157,,,,es
29,on_p50,2,1,30,"(Source: jibberish_rocks, via stankplayer)",0.54425157,,,,es
30,on_p50,2,1,31,B&B / Guest Houses,0.54425157,,,,es
31,on_p50,2,1,32,ファッションは、見ていて飽きないもの。なおかつ塗りものもあって、楽しいですよね。,0.54425157,,,,es
32,on_p50,2,1,33,Ykkönen ja Kakkosen kärjessä,0.54425157,,,,es
33,on_p50,2,1,34,(From outside the villa),0.54425157,,,,es
34,on_p50,2,1,35,Page 1 of 2 1 2 >,0.54425157,,,,es
35,on_p50,2,1,36,"Effectively, what kind of diet plan is right for you depends on your lifestyle. You can opt to choose a diet plan that includes eggs and dairy products, fruits, vegetables, whole grains and lean meats.",0.54425157,,,,es
36,on_p50,2,1,37,,0.54425157,,,,es
37,on_p50,2,1,38,"Initial Bernd Michel, WWF CEO and founding member, and historian, gives an update on the organisation’s roots in the region. “Also speaking at this year’s WWF World Conference is a great tribute to the WWF UK Board and the community in general, who have made an ",0.54425157,,,,es
38,on_p50,2,1,39,“I want to start a new partnership with Boxer Robotics and bring together companies like Boxer Robotics and our relationship to play a key role in furthering the robotics industry.”,0.54425157,,,,es
39,on_p50,2,1,40,,0.54425157,,,,es
40,on_p50,2,1,41,Вопросы про информатику и дизайн,0.54425157,,,,es
41,on_p50,2,1,42,궁리 끝에 만난 신부님과 외교관이 베이징 현지에서 집으로 온 신랑과 신부님의 내외를 환영했다.,0.54425157,,,,es
42,on_p50,2,1,43,Não há espaço para mais de uma pessoa,0.54425157,,,,es
43,on_p50,2,1,44,"Това е макроскопична частица в ъгъл на проекция на видимата повърхност. Тя е включена в постоянен кръг, в който е наречена крива на инфрачервения лъч.",0.54425157,,,,es
44,on_p50,2,1,45,บทความนี้เราไม่ได้เอาสูตรมาเขียนถึง การทําความสะอาดหม้อ,0.54425157,,,,es
45,on_p50,2,1,46,"El pont de la República és una de les obres més emblemàtiques del barri de Gràcia. Situat a l’antiga estació de Psg, la façana és de pedra irregular i fou construïda entre els anys 1840 i 1860, una trentena de segles després del naixement de Barcelona,",0.54425157,,,,es
46,on_p50,2,1,47,,0.54425157,,,,es
47,on_p50,2,1,48,Is Your Man Overreacting to a Romance Story?,0.54425157,,,,es
48,on_p50,2,1,49,Posted at 02:42h in Blog by IamJ77 0 Comments,0.54425157,,,,es
49,on_p50,2,1,50,Create a free blog,0.54425157,,,,es
50,on_p50,2,1,51,"May 07, 2019 _ By _ Filed in: Home Improvement, Home Repair",0.54425157,,,,es
51,on_p50,2,1,52,"Pimenta do reino, 1 colher (sopa)",0.54425157,,,,es
52,on_p50,2,1,53,Copyright © 2015 - 2018 All rights reserved - Contact Us _ Privacy Policy,0.54425157,,,,es
53,on_p50,2,1,54,"ΥΓ..Η κατάλογοι από το google είναι πολύ ψιλά γράμματα, αυτό είναι και το ίδιο με το free stuff που υπάρχει στο aliexpress. Μια διαπίστωση που με εντυπωσίασε ήταν πως ένα e-shop από το aliexpress είχε αρκετές αγγελίες για ποια προϊόντα θα ήταν καλύτερα",0.54425157,,,,es
54,on_p50,2,1,55,. to help you make a faster decision on which programs you need to use..,0.54425157,,,,es
55,on_p50,2,1,56,,0.54425157,,,,es
56,on_p50,2,1,57,"(в) Данауриха, арабский регион, около 240 км к юго-востоку от Дамаска;",0.54425157,,,,es
57,on_p50,2,1,58,어떻게 나가면 좋겠다고 생각하셨나요? 꿈을 꾸는 지혜가 있어야합니다.,0.54425157,,,,es
58,on_p50,2,1,59,"法制晚报-中工网8月27日讯 朝鲜称,报告表示,中国不能无视国际规则,而大多数国家正在为自己的意愿而冒险,而这种冒险也带来了国际和平的负面影响。",0.54425157,,,,es
59,on_p50,2,1,60,"They say that the most important thing to note is that the order codes are limitless. They can be used to place your order, allow you to return items, add a charge for your delivery or change your online account details. There is no need to worry about keeping track of all your orders or individual orders.",0.54425157,,,,es
60,on_p50,2,1,61,un cuadro de reflexión con,0.54425157,,,,es
61,on_p50,2,1,62,Puntuació de pertinença a la comunitat,0.54425157,,,,es
62,on_p50,2,1,63,С.нкеша анга и его сын  а так классно все 2014год выпуска,0.54425157,,,,es
63,on_p50,2,1,64,"The Elephant Queen, Book 1 – Book 1",0.54425157,,,,es
64,on_p50,2,1,65,"与腾讯的合作,是看谁是最有能力的",0.54425157,,,,es
65,on_p50,2,1,66,婚の手続きや、親子手帳の提出をお願いするなら、近くの相続相談所や司法書士事務所に相談してみるのがよいでしょう。相続や遺言の整理に関する相談も行いたい場合は、こちらのサイトも参考にしてみてください。,0.54425157,,,,es
66,on_p50,2,1,67,Not (for) each other!,0.54425157,,,,es
67,on_p50,2,1,68,สําหรับมือใหม่ก็อาจจะงงนิดหน่อยกับการตั้งค่าของโปรแกรมนี้ แต่สําหรับผู้ใช้ทั่วไปก็มีช่องให้เข้าไปลองปรับแต่งหลายช่อง เช่น การปรับแต่งค่าต่างๆ เช่น การตั้งค่า สเปกของเครื่อง การปรับแต่งหน้าตา ปรับแต่งระบบเสียง ฯลฯ,0.54425157,,,,es
68,on_p50,2,1,69,"도를 돌고, 기차를 타고, 버스, 택시, 기차를 타고 신세계 쇼핑몰로 가자.",0.54425157,,,,es
69,on_p50,2,1,70,恋活サイトを利用するときは、登録料がかからないだけに求人広告を見たときに、評価を押さえたり人脈まで作ったりするようなサービスに慣れるには自分でも不安があったりします。,0.54425157,,,,es
70,on_p50,2,1,71,"इस डॉक्युमेंट्री का दूसरा भाग, सिर्फ उन्हीं के लिये है, जो हमारा बचपन हुए हैं, इस कविता के माध्यम से जवाहरलाल नेहरू ने एक कविता की भूमिका निभाई है और इसे हमने व्यक्तिगत रूप से संघर्षों के दौरान अपने जीवन का एक अभिन्न हिस्सा बना लिया है",0.54425157,,,,es
71,on_p50,2,1,72,เติมความสดชื่นให้ผิว,0.54425157,,,,es
72,on_p50,2,1,73,The Amazing New Twist on Wedding Cakes!,0.54425157,,,,es
73,on_p50,2,1,74,Usually placed on the countertop or table top and offers a stunning look into the interior of the home.,0.54425157,,,,es
74,on_p50,2,1,75,1 Tag 4 Nädalat,0.54425157,,,,es
75,on_p50,2,1,76,Unisys is a global communications company centered on delivering quality services to the world's leading organisations.,0.54425157,,,,es
76,on_p50,2,1,77,Но я не могу возразить. Расскажи мне лучше.,0.54425157,,,,es
77,on_p50,2,1,78,"Un certanimitat d’opinió, doncs, és que les eleccions de la campanya del bloc son un èxit important, si no es renova, la pèrdua de vots no haurien estat una novetat.",0.54425157,,,,es
78,on_p50,2,1,79,A história do fim do mundo,0.54425157,,,,es
79,on_p50,2,1,80,Beautiful Roll Up Doors,0.54425157,,,,es
80,on_p50,2,1,81,"1А, 3ИН, Приморский, Лазурная, ТЦ «Украина» бул. Союза, д. 68",0.54425157,,,,es
81,on_p50,2,1,82,6월 18일 공연을 했다고 하는데요. 신촌의 맥도날드 매장에서 공연이 이루어지고 있는 거고요.,0.54425157,,,,es
82,on_p50,2,1,83,"Post-Methyl Methacrylate, washes out the moisture and protects the skin's water repellent properties, whilst also leaving it soft and comfortable. It's a great moisturizer for once-a-week use and while a great scent, it's very fragrance free,",0.54425157,,,,es
83,on_p50,2,1,84,"以王某公司签订的AOC产品、II5产品第六文电路板为例,如果在城某公司签订的代码为3S5S5M5M4M1M1M1M2M1M2M1M1M2M2M",0.54425157,,,,es
84,on_p50,2,1,85,"yleiskiitoa, kunnon töitä ja hyvää mieltä.",0.54425157,,,,es
85,on_p50,2,1,86,映画「0円」の公式Twitterアカウントはこちらから,0.54425157,,,,es
86,on_p50,2,1,87,Ryhmää johtaa Arto Henttonen.,0.54425157,,,,es
87,on_p50,2,1,88,"USS Barracuda (1985/78) Japanese Navy, British Navy",0.54425157,,,,es
88,on_p50,2,1,89,"首都师范大学考研分数线 同时,我国已基本实现从农业转移人口向农村转移的局面,农业转移人口数量继续减少,农村转移人口数量持续减少",0.54425157,,,,es
89,on_p50,2,1,90,THE LETTI CLUB PREMIUM WINTER BREAK - RJ GRAND HOTEL,0.54425157,,,,es
90,on_p50,2,1,91,ขึ้นชื่อว่าเป็นพระมหาชนก ไม่ใช่ทุกคนจะดังแค่สองคน,0.54425157,,,,es
91,on_p50,2,1,92,"I got you a new charge card (Zenfone 5 Lite) yesterday, and I was super excited. I like the look of it, and I really like the idea of having a $30 credit, that I can use it for all the fun, stuff like that, when I go to Starbucks. I’",0.54425157,,,,es
92,on_p50,2,1,93,All times are GMT -8. The time now is 21:22.,0.54425157,,,,es
93,on_p50,2,1,94,의외의 한 방에 겨우 싸웠다. 요즘은 모바일게임이 집에 있다면 크게 걱정해야 할 일이 아니다. 망하고 망하는 버그에 도전하는 것도 없다. 극복했다. 그런데 재는 점은 이렇게 싸우는 이들을,0.54425157,,,,es
94,on_p50,2,1,95,"of the participating hotels in The City of Plymouth, VA",0.54425157,,,,es
95,on_p50,2,1,96,,0.54425157,,,,es
96,on_p50,2,1,97,The Climate Change Essay by Reid Simon,0.54425157,,,,es
97,on_p50,2,1,98,"据了解,虹国际仅与中国进口的梅德韦杰夫1号航母有着直接的关联。",0.54425157,,,,es
98,on_p50,2,1,99,So I'm unsure whether I'm a good candidate for the job or if I'm in a better position to do it. We're military in the mountains and I live in a reservation. I'm going to be working as a photographer and also strive for a college degree and still,0.54425157,,,,es
99,on_p50,2,1,100,"At the end of the day, I got the feeling that the Pioneer Woman had been involved with a lot of things but actually did not do a lot with it. I guess if she had even been involved in this, she and Matt have been quite an active bunch, I would think that it would be interesting to see",0.54425157,,,,es
