,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"Blaydes vs. Stamann UFC Moncton: Official weigh-in results
Katlyn Chookagian came in a half pound lighter than her opponent at UFC Moncton. Perhaps, for the sake of her health, Chookagian vs. Berm",0.99069655705,,,,de
1,on_p50,1000,1,2,"import React, { Component } from'react'
import PropTypes from 'prop-types'


class TalentItem extends Component {
  constructor(props) {
    super(props)
  }

  render() {
    let {
      name,
      position,",0.99069655705,,,,de
2,on_p50,1000,1,3,"Systematic Tips, Guidelines & Tricks
This article is a part of the series: Systematic Tips, Guidelines & Tricks
Nailing Vocabulary
Practice, Practice and Practice
Globe-Trotting English
Making the",0.99069655705,,,,de
3,on_p50,1000,1,4,"2324239 Guerlain L'Orchidée Secrète
Mysterious and hypnotic, the Orchidée Secrète by Guerlain can be compared to the Orchidée Bleue by Balmain. Both share an irresistible arom",0.99069655705,,,,de
4,on_p50,1000,1,5,"Opinion (Seeing From God's Eyes)
I do not think that I should be the only one who thinks he has a better idea of what God wants.
I do not think that I should be the only one who thinks he has a better idea of what God wants. I do not",0.99069655705,,,,de
5,on_p50,1000,1,6,"19 Seriously Good Reasons to Visit Singapore
Everyone should visit Singapore at least once in their life. An island city-state located in Southeast Asia, Singapore is a bustling metropolis where East meets West. From its rich cultural heritage to its delicious local cuisine",0.99069655705,,,,de
6,on_p50,1000,1,7,"Tag Archives: The Dark Knight Rises
Book Review: Batman – The Killing Joke
August 13, 2016 by Kitty Howard
Batman – The Killing Joke is a graphic novel. The hero is Batman and the villain is the J",0.99069655705,,,,de
7,on_p50,1000,1,8,"Home > Makers > KaMi
Piano *
- [ 1 ] 2 KAIno (KaMi)
12 Gifts for Christmas markets - what to buy
The selection of what to buy and what to make in a Christmas market is really difficult. Sometimes it",0.99069655705,,,,de
8,on_p50,1000,1,9,"A Farewell to the Nuttall Ornithological Club
It is rather as if your Grandmother is ill or that you have just broken up a family business. Now I have no grandmother but I do have the Nuttall Ornithological Club. It has been a joy and",0.99069655705,,,,de
9,on_p50,1000,1,10,"← Roxanne Presents: Town Brewing’s 6-Pack packs a punch
Roozbeh Presents: Brewers Guild of Indiana’s Gear Up IPA →
The Cask was given a simple mission: brew the best cask-condition",0.99069655705,,,,de
10,on_p50,1000,1,11,"A Grammar of the Burmish Language
By U Lac Kham
The Burmish language, or Burmese, is the national language of Burma. The Burmish language is a tonal language that uses two separate standards of vowels and consonants. According to the Oxford English",0.99069655705,,,,de
11,on_p50,1000,1,12,"# Президентские выборы в Руанде (2020)

Выборы президента Руанды прошли 30 сентября 2020 года, весной перед ими были проведены выборы премьер-министра. В пер",0.99069655705,,,,de
12,on_p50,1000,1,13,"The Malibu Seaside Inn is located on the Pacific Coast Highway in Malibu, California, just 30 miles west of Los Angeles. A popular place with locals, this cozy beachfront inn provides the perfect place for a relaxed stay.
The Malibu Seaside Inn",0.99069655705,,,,de
13,on_p50,1000,1,14,"ALBUM REVIEW: Elvis Costello & The Roots ‘Wise Up Ghost’
Elvis Costello and The Roots have delivered a record of rare musical bravery. One of the best, most daring blends of musical styles we've seen in the last few years,",0.99069655705,,,,de
14,on_p50,1000,1,15,"GERMANY HITS THE GROOVE: WITH GERMAN MUSIC
Germany is renowned globally as the land of Beethoven and Brahms, but there is so much more to explore, from rock to reggae.
For more information on German Music",0.99069655705,,,,de
15,on_p50,1000,1,16,"Tags: python, pytorch, cuda, gpu

Question: Could not initialize cudnn_benchmark mode

I am running the following code to evaluate a LSTM-CNN-GAN on a large dataset (10,000+ images) on a single",0.99069655705,,,,de
16,on_p50,1000,1,17,"# ガールズ・アンド・パンツァー

ガールズ&パンツァーは、狛乃かずきによる日本のライトノベル（および、それを原作とした",0.99069655705,,,,de
17,on_p50,1000,1,18,"# 1997–98 Rochdale A.F.C. season

The 1997–98 season was Rochdale's fourth consecutive season in the third tier of English football.

Rochdale

## Final League Table

Source: R",0.99069655705,,,,de
18,on_p50,1000,1,19,"Our one of a kind Cure Vintage Glass beer mats are designed and hand painted by our in-house design team. Each are 100% unique and one of a kind. Made from high quality, durable and food safe acrylic and polyester, this coaster can",0.99069655705,,,,de
19,on_p50,1000,1,20,"The title of this article is ambiguous. It may refer to the chemical element with the symbol Y, the Yoruba language, or the Yoruban people.
For other uses, see Yoruba (disambiguation).
African (Yoruba)
62,000,",0.99069655705,,,,de
20,on_p50,1000,1,21,"This is a placeholder page for Ashley Hulsey, which means this person is not currently on this site. We do suggest using the tools below to find Ashley Hulsey.
You are visiting the placeholder page for Ashley Hulsey. This page is here because someone used our placeholder utility to",0.99069655705,,,,de
21,on_p50,1000,1,22,"Enhanced OpenStreetMap
This is a GPRS based solution that integrates with conventional streetmaps to provide navigation and other services. The advantage of this technology is that the enhanced data is downloaded from the internet, so it can be freely used in any part of the world.
This solution is primarily",0.99069655705,,,,de
22,on_p50,1000,1,23,"5 Secrets to be an Effective Team Leader
Find out the secrets to being an effective team leader and how to keep your team motivated and productive.",0.99069655705,,,,de
23,on_p50,1000,1,24,"❤ Giveaway: Rumors & Bonus Content With JA Huss! ❤
Title: Rumors
Series: Tragic #1
I was supposed to be a good wife.
I loved my husband. I did. I tried, but after the accident, when",0.99069655705,,,,de
24,on_p50,1000,1,25,"Jaime V. Geyen
Geyen is a second-year law student at Loyola University Chicago School of Law.
Prior to attending law school, Jaime received a Bachelor of Arts degree in Hispanic and Intercultural Studies, with Summa Cum Laude",0.99069655705,,,,de
25,on_p50,1000,1,26,"Mathematical Statistics 2
Mathematical Statistics 2 (STAT10017)
This course covers a number of advanced topics in probability and statistics. It also includes more challenging applications to some of the topics covered in the first year, extensions to these topics and more advanced applications.
Topics",0.99069655705,,,,de
26,on_p50,1000,1,27,"The following are excerpts from my book, Just One More Thing Before You Go, By Marti Oakley, 2015
Download and read this book for free
https://www.smashwords.com/books/view/543451
To those on this",0.99069655705,,,,de
27,on_p50,1000,1,28,"Home Fashion and Beauty The difference between men’s and women’s clothing
Humankind is divided into two sexes: male and female. This fact is reflected in all aspects of life. One of the most obvious aspects is clothing.
In order to understand the difference between men’",0.99069655705,,,,de
28,on_p50,1000,1,29,"Home/Funders/International Funders
International Funders
International Funders	CFC	2017-01-13T08:08:22+00:00
The following funders are based outside the UK. We believe that the",0.99069655705,,,,de
29,on_p50,1000,1,30,"09/15/2018 08/20/2019 Posted by: vanessa burden Category: Featured, Highlights
The work of Dutch fashion-infused design studio, Muller van Severen, was a highlight at this year",0.99069655705,,,,de
30,on_p50,1000,1,31,"A WWII U.S. Army Quilted Blanket
A WWII U.S. Army Quilted Blanket, the twill “Thermo-Quilt” type, with the cotton and wool “filler” strips, measuring 88",0.99069655705,,,,de
