,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,このブログはトラックバック専用です。ぜひ応援してくださいね!,0.9807827621599999,,,,ja
1,on_p50,1000,1,2,ただいま(25日の午前11時47分)は、ソウル、大韓航空の所属機「TK-104」のMCAS(移動式衝突支援システム)が、韓国ソウル発のソウル機関に追跡され、韓国ソウル発,0.9807827621599999,,,,ja
2,on_p50,1000,1,3,いつものモテテクニックは、まずはトレーニングに費やせる時間の少なめにしましょう。,0.9807827621599999,,,,ja
3,on_p50,1000,1,4,"“I tend to think a lot about myself, because I tend to have to be a more focused person. So, I tend to be a bit of an observer of myself.”",0.9807827621599999,,,,ja
4,on_p50,1000,1,5,,0.9807827621599999,,,,ja
5,on_p50,1000,1,6,ルートヴァスタのホテルについて質問しよう,0.9807827621599999,,,,ja
6,on_p50,1000,1,7,ご利用の環境ではJavaScriptの設定が無効になっています。このサイトをご利用の際には、ブラウザ設定でJavaScriptを有効にしてください。,0.9807827621599999,,,,ja
7,on_p50,1000,1,8,2つの異なった紙の使用で異なった視界での印刷,0.9807827621599999,,,,ja
8,on_p50,1000,1,9,イオンカードをお持ちのお客様は、お友達にプレゼントしてあげるや、めたポイントをプレゼントするなど、さまざまなサービスをご利用いただけます。,0.9807827621599999,,,,ja
9,on_p50,1000,1,10,このは、なんとも言えない京味に、じんわりとした甘さとごまの風味が特徴のベーグルです。,0.9807827621599999,,,,ja
10,on_p50,1000,1,11,奈良県高市にある、お食事処御です。,0.9807827621599999,,,,ja
11,on_p50,1000,1,12,ネパールのタクシードライバーは、日本の高速道路で、実に100倍の速度で、クルマの挙動や、走行距離を、測定します。,0.9807827621599999,,,,ja
12,on_p50,1000,1,13,可愛いポロシャツの柄が ニットでカジュアルに可愛いジリジリのシャツです♪ アウトレットのコットン素材で とっても柔らかで 楽ちんで!! 編み込みの波の模様は とても細で 肌触,0.9807827621599999,,,,ja
13,on_p50,1000,1,14,メールで送信BlogThis!Twitter で共有するFacebook で共有するPinterest に共有,0.9807827621599999,,,,ja
14,on_p50,1000,1,15,東京の大きなパチンコは、街の入口、近くのコンビニ、駅からちょっと離れた場所にあります。大体1時間に1回くらいのペースで、お店から巷のほとんどが閉まります。,0.9807827621599999,,,,ja
15,on_p50,1000,1,16,やはり日本にはソーセージを提供する「罪」がある。,0.9807827621599999,,,,ja
16,on_p50,1000,1,17,何かが起きたのではなく、何かが始まっている,0.9807827621599999,,,,ja
17,on_p50,1000,1,18,とても可愛らしいバッグです。オフホワイトのバッグではあるけれど、そのバッグの底に何かを飾ってあるので、,0.9807827621599999,,,,ja
