,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: No matter when the 2017-18 season kicks off, James is within the contract.
Target Language: Spanish
English: James is within the contract.
Target Language: French
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English: James is within the contract.
English",0.0,,,translation_text_wmt_en_zh.pkl,zh
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: You represent the CBC and Canada and make us all sound like a bunch of racists. #disgusted.
Target Language: You represent the CBC and Canada and make us all sound like a bunch of racists. #disgusted.
English: I am a Canadian and I am proud of my country. #disgusted.
Target Language: I am a Canadian and I am proud of my country. #disgusted.
English: I am a Canadian and I am proud of my country. #disgusted.
Target Language: I am a Canadian and I am proud of my country. #disgusted.
English: I am a Canadian and I am proud of my country. #disgusted.
Target Language: I am a Canadian and",0.0,,,translation_text_wmt_en_zh.pkl,zh
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
Target Language: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
English: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
Target Language: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
English: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
Target Language: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kemp",0.0,,,translation_text_wmt_en_zh.pkl,zh
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: ""We have reason to believe that the cross-ocean Grand Canal project, also led by the HKND Group, will bring more benefits to the majority of the Nicaraguan people and create more jobs for the local community.""
Target Language: ""We have reason to believe that the Grand Canal project, also led by the HKND Group, will bring more benefits to the majority of the Nicaraguan people and create more jobs for the local community.""
English: ""With the help of the HKND Group, the project will be completed in time and on budget.""
Target Language: ""With the help of the HKND Group, the project will be completed in time and on budget.""
English: ""With the help of the HKND Group, the project will be completed in time and on budget.""
Target Language: ""With the help of the",0.0,,,translation_text_wmt_en_zh.pkl,zh
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.
Target Language: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.
English: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.
Target Language: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.
English: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.
Target Language: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Pek",0.0,,,translation_text_wmt_en_zh.pkl,zh
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: That said, they were inappropriate and an unfortunate choice of words and Byron is very sorry for what he said.
Target Language: That said, they were inappropriate and an unfortunate choice of words and Byron is very sorry for what he said.
English: I am sorry for what I said. I am sorry for what I said. I am sorry for what I said.
Target Language: I am sorry for what I said. I am sorry for what I said. I am sorry for what I said.
English: I am sorry for what I said. I am sorry for what I said. I am sorry for what I said.
Target Language: I am sorry for what I said. I am sorry for what I said. I am sorry for what I said.
",0.0,,,translation_text_wmt_en_zh.pkl,zh
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: And over in the pool, South African swimmer Cameron van der Burgh has been getting compared to Glee star Matthew Morrison for years now.
Target Language: Dutch: And over in the pool, South African swimmer Cameron van der Burgh has been getting compared to Glee star Matthew Morrison for years now.
English: The first time I saw the movie, I was a little bit confused. I thought it was a comedy, but it wasn’t. It was a horror movie.
Target Language: Dutch: The first time I saw the movie, I was a little bit confused. I thought it was a comedy, but it wasn’t. It was a horror movie.
English: The first time I saw the movie, I was a little bit confused. I thought it was a comedy,",0.0,,,translation_text_wmt_en_zh.pkl,zh
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: The third party company (non-Chinese company) commissioned by the Olympic Organizing Committee is located in the Sao Paulo state, Brazil, about 75 kilometers away from the city of Sao Paulo.
Target Language: Chinese: The third party company (non-Chinese company) commissioned by the Olympic Organizing Committee is located in the Beijing city, China, about 100 kilometers away from the city of Beijing.
The translation of the English sentence into Chinese is shown in Table 1. The translation of the English sentence into Chinese is shown in Table 1. The translation of the English sentence into Chinese is shown in Table 1. The translation of the English sentence into Chinese is shown in Table 1. The translation of the English sentence into Chinese is shown in Table 1. The translation of the English sentence into Chinese is shown in Table 1. The translation of the English",0.0,,,translation_text_wmt_en_zh.pkl,zh
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: Julius Nielsen, who has been studying the sharks, says record goes to a female thought to be between 272 and 512 years old and is five metres in length
Target Language: English
English: The record goes to a female thought to be between 272 and 512 years old and is five metres in length
English: The record goes to a female thought to be between 272 and 512 years old and is five metres in length
English: The record goes to a female thought to be between 272 and 512 years old and is five metres in length
English: The record goes to a female thought to be between 272 and 512 years old and is five metres in length
English: The record goes to a female thought to be between 272 and 512 years old and is five metres in length
English: The record goes to",0.0,,,translation_text_wmt_en_zh.pkl,zh
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: But firstly, the team that signed contract with the air force must prove that the scientific principles will work.
Target Language: The team that signed contract with the air force must prove that the scientific principles will work.
English: The team that signed contract with the air force must prove that the scientific principles will work.
Target Language: The team that signed contract with the air force must prove that the scientific principles will work.
English: The team that signed contract with the air force must prove that the scientific principles will work.
Target Language: The team that signed contract with the air force must prove that the scientific principles will work.
English: The team that signed contract with the air force must prove that the scientific principles will work.
Target Language: The team that signed contract",0.0,,,translation_text_wmt_en_zh.pkl,zh
