,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"Interné à la Schwindel, à Cologne, dans les hôpitaux psychiatriques de la ville, il y entame une thérapie. Il ne supporte pas les nuitées dans la chambre, que ses cellules soient compartimentées soit avec des personnes malades, soit avec des détenus. Il se vexe des box,",0.9907599001799999,,,</s>,de
1,on_p50,1000,1,2,-Superficie de la mache: 200 x 300 mm -Materie gramm richtig -Mache von sicht -Taille max. de la mache: 180 x 300 mm -Kraft -Schneider 2. g/Exzellenz -Policarbonat -Pf,0.9907599001799999,,,</s>,de
2,on_p50,1000,1,3,"#!/usr/bin/env python

# -*- coding: utf-8 -*-
#
# Copyright (c) 2009 ""Theräumsch""
# bitstertiger@ bitstertiger.de
#
# This program is free software; you can redistribute it and/or
# modify it under the terms of the GNU General Public License",0.9907599001799999,,,</s>,de
3,on_p50,1000,1,4,"TOMDIN - Kraftwerk were one of the biggest bands of the 1980s. But also one of the most controversial, if with their music and style this was not always easy to be understood. Today they are more than 35 years since their first event. And also the long awaited reunion concert is",0.9907599001799999,,,</s>,de
4,on_p50,1000,1,5,"Personnes de la région étaient d’ailleurs très sensibilisées au projet de Paul Pfeiffer. En 1888, Henniger von Mohrberg (7) lui écrivit pour lui demander une aide financière pour la rénovation de la paroisse de Rante. Fruit de cette lettre, Paul Pfeiffer devait, lui",0.9907599001799999,,,</s>,de
5,on_p50,1000,1,6,"KulturVerre, Mineral & Alumen und Erbe. Klangform & Heraus. Glas & Glass. Glas & Glassware. Glas & Glasswerkstätten. -(Halle und Zentroon). Glass. Glas & Glasswerkstätten. -(Halle und",0.9907599001799999,,,</s>,de
6,on_p50,1000,1,7,"Neuromorphisms
Neuromorphisms were first developed by Abhandlungen zur physikalischen und mathematischen und alten und moderne mathematik.
Zur mathematischen und alten und moderne mathematik.
Abhandlungen zur physikalischen und mathematischen und",0.9907599001799999,,,</s>,de
7,on_p50,1000,1,8,"A Speedy Steigmark GmbH & Co. KG est spécialisée dans la fabrication et la vente de chausspittel für der Hausch. in der Gestaltung und Die móveis in der Hasselverhaltnisse, das est ideal für den Klimatiser und Hennigbau für der Haus,",0.9907599001799999,,,</s>,de
8,on_p50,1000,1,9,Auch que merz flirtieren. Vor allem für das andere. Dieser ist der erste somit China hat sie gesagt. Einige deutsche Gesellschaften haben sie klickt.,0.9907599001799999,,,</s>,de
9,on_p50,1000,1,10,"z. B. la bürgerliche Frau und der opinionreformist Fritz Reuss, die sie auf den schlechten vor- und nünchsten bestimmten Rheinlandes als eine regionale oder internationale Gesellschaft der Chöpfungsrevolutionäre Vereinigten",0.9907599001799999,,,</s>,de
10,on_p50,1000,1,11,"Showing 2 out of a total Größen: 2. Mitgliederhersteller: us/cosmovers.net. Mitgliedergebnisse für: mitgliedergebnisse. US/
Als echt mitglied. Mitglied für Deutschland. Mitglied",0.9907599001799999,,,</s>,de
11,on_p50,1000,1,12,"A compresser votre maison et ses habitants vous avez la possibilité de faire appel à une conseils-engglichien.in en tant que prestataire dans votre ville. Lors de notre rencontre avec vous, nous nous basons sur votre profil, c’est-à-dire sur votre situation actuelle et sur vos souhaits pour optimiser la maison",0.9907599001799999,,,</s>,de
12,on_p50,1000,1,13,"stuft et aberlaufend (mütter)：Stuft : stark, gross und schwer und aberlaufend (mit züge zünden) Aberlaufend : vor allem vor oder vorbei. 2.) Erneuerbende und die Zustand von",0.9907599001799999,,,</s>,de
13,on_p50,1000,1,14,"Messer Vonderheid spricht en Deutsch:
""Richard, SOS!""
He's got a good voice, but he's got a terrible accent.
- Tell him to stop.
- Richard!
- Richard!
- What's the matter?
- No!
Richard!
Richard!
- Richard!
Richard!
- Hey,",0.9907599001799999,,,</s>,de
14,on_p50,1000,1,15,"Hal schottte tegen eckraum. You leicht und zu spielen. DE: Der Frankfurter Kirsch. Ein schließend panzer generales statt Spielrecht. Spielrecht. HER: Der Vorname ist Spielrecht, der von Michael Han mm",0.9907599001799999,,,</s>,de
15,on_p50,1000,1,16,"Für schon 15 Jahre: 13,75 € / Ofereşire Präsentation: 12,95 € / Leicht: 306,00 € / Zustand: neu / New: leicht: 306,00 € / Zustand: neu
Alexander Schnabel, jeune compositeur allemand",0.9907599001799999,,,</s>,de
16,on_p50,1000,1,17," überweisung und locomotion ; triangle ; rondonen ; schöne ; schwarz ; ramp ; sign ; schwachele ; symbol ; schwarzle
Kloris est une pierre qui ouvre l’intuition, à qui sait l’utiliser, une pierre de clarification, idéale pour dés",0.9907599001799999,,,</s>,de
17,on_p50,1000,1,18,"#!/usr/bin/env python
# This script is part of Erever's Herrahmaier Module. It was originally written by
# Peter Hartmann. S.iebenblicks ist im Meinander von Erlustim.
#
# This module was rausgeben von Michael Porter, zu das",0.9907599001799999,,,</s>,de
18,on_p50,1000,1,19,"Beaucer-Schefter (H.-W. von) was a German writer, author, chaplain, and professor. His works deal primarily with the imagery of the German Erinnerung.
Beaucer-Schefter was born in Darmstadt in Düsseldorf. He studied philosophy under the scholas",0.9907599001799999,,,</s>,de
19,on_p50,1000,1,20,此后，多特蒙德晋级到德国杯。但在1/8决赛中，多特蒙德再次被被拜仁慕尼黑送至加时，加时赛中，双方缠斗到120分钟，最终只得1比1/4。加时赛后，多特蒙德的主帅博阿滕还向出目�,0.9907599001799999,,,</s>,de
20,on_p50,1000,1,21,"back yard butcher had to be stopped by klosterliefers (also known as klosterloher) and the #33 Schloss Bauer 🇩🇪
Christina zu am Sonntag (PI:USER): I usually do not like to see so many people in Berlin. It",0.9907599001799999,,,</s>,de
21,on_p50,1000,1,22,"T.I. – Wenn echt herrscht, ich bin ein guten Herr. Sie haben mit mir cuatro oder five Videos made, die ich habe gesicht. Erkundig ich nachvieh mit mir kontaktieren und ich bin meinen besten Bruder. Ich bin mein Sch",0.9907599001799999,,,</s>,de
22,on_p50,1000,1,23,"j’habite dans une obese, j’ai un pre procurin mais il n y en a plus, j ai un klein pre,il n y en a pas non plus. Est ce possible d’avoir un pre mitig = 19 cm pre mitig witht eerste chambre mitig mitig mitig",0.9907599001799999,,,</s>,de
23,on_p50,1000,1,24,"Merkur zuminderst brauchschreibrechte mit demempfehlenen Klopfechton. Zubereinander colorsuche und dirkussuche bis zu 12 Stunden. Für alles, die Sie für Unser Haus und Wohnen like. Kocharte mit schwar",0.9907599001799999,,,</s>,de
24,on_p50,1000,1,25,"Perspektive Psychoweiss: Nachtmarken.” Studien zur früherenImagination und auf der Monarchie und Schöpfung des Reiches.” Berlin, 1912. Octo- cercles von Johann Georg von Sternberg. von Georg Heinrich Tockanz von Zerbst - zu",0.9907599001799999,,,</s>,de
25,on_p50,1000,1,26,"Selo Berzerkek em Kerkrecht
Selo Berzerkek em Kerkrecht (Tanzanie) -  - Schleissnitzer Artikel 2: Sicherung der Landes und deines freien Landes („Schleissnitzer Artikel 2“).",0.9907599001799999,,,</s>,de
26,on_p50,1000,1,27,"diagnostique sur la chaudière. quelle type de gaz et combien cale. mitre fusil thermometre weiss stg 663 ne es. Frauenlos: 24.07.2018 · vorher, von weiss gas mitre fusstempaturmittel stg 663 es, nach. inci",0.9907599001799999,,,</s>,de
27,on_p50,1000,1,28,"Hausse des primes pour les voitures et les camions : le gouvernement de Merkel veut se hussser sur le chemin de Helmut Kohl
Le gouvernement allemand veut augmenter les primes pour l'acquisition d'une voiture et d'un camion. Au terme d'un débat à huis clos, le ministre des finances Wolfgang Schäuble a demandé",0.9907599001799999,,,</s>,de
28,on_p50,1000,1,29,"diagnostique. Pour simuler des pathologies et des processus de patauhe, les médecins ont besoin de fichiers
bildungsvorlagen, dans lesquels les structures anatomiques sont tirées de schemata bles. En allemand,
mettre au format BMB. Il est possible d’an",0.9907599001799999,,,</s>,de
29,on_p50,1000,1,30,hött nein hut mit der sicht des unbekannten seinwalden. der seicht vormg na se seinwalden erst mit diensta plasticien die w oner n nicht verhe er er da. wir mikt d vorn ab und mir ze vort mir,0.9907599001799999,,,</s>,de
30,on_p50,1000,1,31,"“If the [Germany-Äwärtzer] home was besieged, the Germans would not be able to bring so much help.”
“We could not get help except by going to war. So, as von der Groeben said, it was better to fight than to wait. But it",0.9907599001799999,,,</s>,de
31,on_p50,1000,1,32,"Antenne, dichroism, größe: 50 x 3 x 5 mm. Durchführen: 2,5 W. Dimension: 100 x 15 x 8 mm. Durchführen: 3 W. Très joli produit. Qualitäts, qualitäts, qualitäts, me",0.9907599001799999,,,</s>,de
