,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,20,1,1,Hast du auch schon eine Frage gestellt?,0.5442794452499998,,,,de
1,on_p50,20,1,2,UAE(United Arab Emirates),0.5442794452499998,,,,de
2,on_p50,20,1,3,いつものモテテクニックはもう通用しない!?気になる彼氏の「モテ度」と「冷たさ」を知ってモテ男になろう!,0.5442794452499998,,,,de
3,on_p50,20,1,4,"“I tend to think we should try to find the two-fold path to improvement, in terms of our ability to intercept the ball,” he said. “Don’t let them get too comfortable with [their offense] — we want to take advantage of the short passing” in the game.",0.5442794452499998,,,,de
4,on_p50,20,1,5,in-depth.com Webserver Hosted in Scottsdale Arizona United States 85260 (480),0.5442794452499998,,,,de
5,on_p50,20,1,6,A one-time Compliance Officer...,0.5442794452499998,,,,de
6,on_p50,20,1,7,Schneller Zugang zum größten inhalts- und zielgruppenorientierten Suchmaschinenindex,0.5442794452499998,,,,de
7,on_p50,20,1,8,2ch-tokyo : 2chまとめブログのまとめ,0.5442794452499998,,,,de
8,on_p50,20,1,9,"We're Looking For That ""Something Special""",0.5442794452499998,,,,de
9,on_p50,20,1,10,Mehr zum Thema,0.5442794452499998,,,,de
10,on_p50,20,1,11,Next articleRoberval a été victime d’un sabotage,0.5442794452499998,,,,de
11,on_p50,20,1,12,"Schlüsseldienst Straussfurt, Schlüsselnotdienst Straussfurt 24 Std.",0.5442794452499998,,,,de
12,on_p50,20,1,13,,0.5442794452499998,,,,de
13,on_p50,20,1,14,引用するにはまずログインしてください,0.5442794452499998,,,,de
14,on_p50,20,1,15,Male Nach Ostern küssen mit Ratten und den Liebsten,0.5442794452499998,,,,de
15,on_p50,20,1,16,Klo 16-20 Boomslangin toimipisteessä on myynnissä:,0.5442794452499998,,,,de
16,on_p50,20,1,17,"Baumarktartikel im Test: Schon gewusst, dass es den Baumärkten zahlreiche Baumarktartikel gibt, die nicht nur nützlich sind, sondern auch optisch einen guten Eindruck auf Ihre Wohnung vermitteln? Wie zum Beispiel das passende Pflanzengefäß für den Garten.",0.5442794452499998,,,,de
17,on_p50,20,1,18,とても可愛かったので、ずっとそばに置いてました。,0.5442794452499998,,,,de
18,on_p50,20,1,19,0 สมาชิก และ 1 บุคคลทั่วไป กําลังดูหัวข้อนี้,0.5442794452499998,,,,de
19,on_p50,20,1,20,"in User Guides, Windows 10 We don't have much time to get a",0.5442794452499998,,,,de
20,on_p50,20,1,21,もっとも、何らかの事情で用紙が確保できなかった場合は、必ず録音してください。,0.5442794452499998,,,,de
21,on_p50,20,1,22,,0.5442794452499998,,,,de
22,on_p50,20,1,23,Zwei Hochhäuser für die islamische Spezialitäten-Bar,0.5442794452499998,,,,de
23,on_p50,20,1,24,"Diese Website benutzt Cookies. Wenn Sie die Website weiter nutzten, gehen wir von Ihrem Einverständnis aus.OK",0.5442794452499998,,,,de
24,on_p50,20,1,25,"100+ [ Paver Patio Installation Cost ] _ Patio Installation San Angelo Tx Outdoor Patio,Stone Patio Installation Prices,100 Stone Patio Cover Designs And Ideas Design Trends",0.5442794452499998,,,,de
25,on_p50,20,1,26,"Es ist gut zu wissen, dass dieser Tempel auch heute noch von Priestern besetzt wird. Er ist ein der höchsten in Asien.",0.5442794452499998,,,,de
26,on_p50,20,1,27,Trending: More Than Ever,0.5442794452499998,,,,de
27,on_p50,20,1,28,Като адвокат практиката му е насочена в областта на търговското право и несъстоятелността.,0.5442794452499998,,,,de
28,on_p50,20,1,29,Haut de page des forums,0.5442794452499998,,,,de
29,on_p50,20,1,30,"(Source: jibberjabberrocks, via stanleyorange)",0.5442794452499998,,,,de
30,on_p50,20,1,31,ich glaub ich kann gar nicht genug kriegen von deinen bildern <3,0.5442794452499998,,,,de
31,on_p50,20,1,32,ファッション業界が注目する人気ブランドなだけに、ネットでは高い人気を誇っています。,0.5442794452499998,,,,de
32,on_p50,20,1,33,"Yvonne Manzo, Key Account Manager,",0.5442794452499998,,,,de
33,on_p50,20,1,34,"Seit Anfang der 90er-Jahre haben sich die inneren Werte des Menschen stark verändert. Die Veränderung dieses Wandels, das im Lichte ihrer Umwelt sichtbar wird, ist eine Folge der Modernisierung des Wirtschafts- und Wissensstandorts. Dies hat zur Folge, dass die Machtverhältnisse in der Gesellschaft",0.5442794452499998,,,,de
34,on_p50,20,1,35,ดิฉันขอลาไปก่อนนะคะ,0.5442794452499998,,,,de
35,on_p50,20,1,36,このような体験により、人は、自分の感情をコントロールできるようになり、薬物依存症の防止にもつながります。,0.5442794452499998,,,,de
36,on_p50,20,1,37,,0.5442794452499998,,,,de
37,on_p50,20,1,38,Bei den Berner herrscht das Zusammenspiel in allen Bereichen. Mit acht Anträgen wurde auf die Vorbereitung der grossen Ehrung für die Schweiz im Jahr 2020 hingearbeitet.,0.5442794452499998,,,,de
38,on_p50,20,1,39,,0.5442794452499998,,,,de
39,on_p50,20,1,40,,0.5442794452499998,,,,de
40,on_p50,20,1,41,"Supports all types of devices up to 13""",0.5442794452499998,,,,de
41,on_p50,20,1,42,Bauhaus-Stil Möbel Weiße Möbel Wohnzimmer Antike Möbel,0.5442794452499998,,,,de
42,on_p50,20,1,43,"Dabei gilt es, auf gleichgewichtsmäßige und einheitliche die auf eines der Ziele gerichtete Einnahme von Nahrung während der täglichen Aktivität (z.B. einer bestimmten Dauer in Form von Mahlzeiten oder Aufsätzen). Außerdem vermitteln die Vereinbarungen zwischen den beiden Kooperationsverbänden",0.5442794452499998,,,,de
43,on_p50,20,1,44,"Für die Annahme der Demographieauswertung haben wir das Beobachtungsregime der Demografie-Beurteilung in der gmp-Studie gewählt, mit dem wir auch in der vgmp-Studie bearbeitet wurden.",0.5442794452499998,,,,de
44,on_p50,20,1,45,"Verständlich, verständlich, klar und überzeugend. Ich bin erstaunt, wie gut Ihre Meinung zu meine eindrücklichen und überaus spannenden Erlebnisse betreffend einer Expedition im Herzen der Antarktis ausgeht, die ich abseits aller bekannten Medienlandschaften in einem seitherigen Zustand erlebte",0.5442794452499998,,,,de
45,on_p50,20,1,46,El pont de Kàrbica és una infraestructura ferroviària que connecta Turquia i Grècia.,0.5442794452499998,,,,de
46,on_p50,20,1,47,,0.5442794452499998,,,,de
47,on_p50,20,1,48,Das könnte Sie auch interessieren,0.5442794452499998,,,,de
48,on_p50,20,1,49,,0.5442794452499998,,,,de
49,on_p50,20,1,50,"In this tutorial, we’ll walk you through the process of setting up a new multi-site WordPress installation for your clients.",0.5442794452499998,,,,de
50,on_p50,20,1,51,"Für die erste Nacht wird die kleine Unterkunft bei einigen meiner Freunde (und lieben Menschen) sehr eng und es kann nicht besser sein, mit euren Mittagsschlaf zu beginnen.",0.5442794452499998,,,,de
51,on_p50,20,1,52,"Ps: En Afrikdi, Ülehomme on Pühapäev, Minu Aafrika. Hummingbird.",0.5442794452499998,,,,de
52,on_p50,20,1,53,"Such a spectacular reflection, the colors are so real and vivid.",0.5442794452499998,,,,de
