,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"12月27日,在京召开的第十九届中国国际进口博览会期间,国家发改委农业计划生育规划司司长陈建华在《国家发改委关于开展国家粮食战略规划(2016-2020年)启动仪式》上表示,国家粮食战略",0.9346009197400001,,,,zh
1,on_p50,1000,1,2,"UTF(UTF-8),.EXF(.EXF,)或.EXPC(.EXP,)格式文件或文本中包含的字格,程序名称、命名项和用户名,电子邮件功能等信息。",0.9346009197400001,,,,zh
2,on_p50,1000,1,3,地点: 北京市朝阳区华东师范大学创新大学创新创业学院,0.9346009197400001,,,,zh
3,on_p50,1000,1,4,"“那、你为什么不让我来看看,我可是大王的儿子啊,我怎么也想不出来呢,你看你怎么可爱啊,你也被我给弄的脏了。”",0.9346009197400001,,,,zh
4,on_p50,1000,1,5,,0.9346009197400001,,,,zh
5,on_p50,1000,1,6,"回路杯赛圆满落幕,昆明站取得16分佳绩,昆明站共计1名选手获得了冠军。",0.9346009197400001,,,,zh
6,on_p50,1000,1,7,,0.9346009197400001,,,,zh
7,on_p50,1000,1,8,"2张无限风暴的预告和2张无限风暴的插曲,让我们目以待!",0.9346009197400001,,,,zh
8,on_p50,1000,1,9,"红色大, 社会, 日本, 少女, 伊人,, 日韩, 淫乱, 在线, 性爱, 少女 淫乱, 丝袜, 在线电影",0.9346009197400001,,,,zh
9,on_p50,1000,1,10,,0.9346009197400001,,,,zh
10,on_p50,1000,1,11,奈多酸指南: 奈多酸是酸常用量的一小部分。,0.9346009197400001,,,,zh
11,on_p50,1000,1,12,纪念碑》节 台歌《生死悔 念》 纪念阿尔兹海默病患者 李海军,0.9346009197400001,,,,zh
12,on_p50,1000,1,13,宁夏回族自治区发展和改革委员会办公室,0.9346009197400001,,,,zh
13,on_p50,1000,1,14,吉林大学附属中学胡金汉(左)与马伯(右)陈静小朋友 (左)和肖玉莲同学 (右)在吉林大学附属中学举行“我们的老师”表彰演习。,0.9346009197400001,,,,zh
14,on_p50,1000,1,15,"为了让村子更加美丽,根据“百村千乡,美丽村庄”的理念,我镇在村民们的意见建议和建议下,在5个镇村共同推进,先后成立了村卫生室、民俗文化广场、养殖场、小区卫生室",0.9346009197400001,,,,zh
15,on_p50,1000,1,16,"禁忌:超高风险,暴露罪数,秘密护,上门服务",0.9346009197400001,,,,zh
16,on_p50,1000,1,17,"我们的道格拉斯海冰广场还有多个乐园、华纳童话城,一律为孩子们们准备一个温馨的和谐的休闲之地。",0.9346009197400001,,,,zh
17,on_p50,1000,1,18,"科学家, 潜水 水罩 吸入 水 部 记录 时间 时间 拍摄 时间 视频 脚 等 的功率 发动机 发动机 充电 车 温室 橡胶 橡胶 发动机",0.9346009197400001,,,,zh
18,on_p50,1000,1,19,"0个美国网友在论坛发帖说:""气泡子?是小孩子做的。有点奇怪的。""",0.9346009197400001,,,,zh
19,on_p50,1000,1,20,您的当前位置: 首页 » 新闻资讯 » 公司新闻,0.9346009197400001,,,,zh
20,on_p50,1000,1,21,"有趣的是,这场世界杯上用过的不是中国队,而是韩国队!当时的日本队在决赛中凭借着强大的排球实力一波三折,险些被淘汰出局。韩国队在倒数第二个球后,头球被对方球员解围",0.9346009197400001,,,,zh
21,on_p50,1000,1,22,"由于缺乏相关知识和技术,大家买此书有很多是像我的。",0.9346009197400001,,,,zh
22,on_p50,1000,1,23,"那位老天爷只能大了眼,淡淡地微笑着说了一句“好兄弟,你这不是帮别人了吗”",0.9346009197400001,,,,zh
23,on_p50,1000,1,24,"有点股权价值被损了,但却没有将股票参与过",0.9346009197400001,,,,zh
24,on_p50,1000,1,25,"100彩票完整版下载广州作为中国最大的塑料药厂之一,在积极促进国际化发展的过程中,上海始终发扬着欧美地区的先锋思维。今天,上海正努力成为成为全球塑料行业领跑者。",0.9346009197400001,,,,zh
25,on_p50,1000,1,26,"现在很多同学都有不孕了,不孕不育好了,但是还没有孩子,现在很多女性朋友都想通过中后海妇产医院妇科来生孩子但是发现有很多妇科医院不好做了的。 今天我们来看看关于你的问题。",0.9346009197400001,,,,zh
26,on_p50,1000,1,27,"学习中心第二天,我参加了永昌县第八届运动会。",0.9346009197400001,,,,zh
27,on_p50,1000,1,28,上一篇:全省一季度GDP同比增长3.5% 环迅达三季度销售超63亿元,0.9346009197400001,,,,zh
